model,pair,positive_class,negative_class,point_feature_bal_acc,direct_pair_margin_bal_acc,direct_minus_point_bal_acc,base_positive_iou,positive_to_negative,top2_hit_rate,top5_hit_rate,oracle_top2_positive_iou,oracle_top5_positive_iou,oracle_top2_headroom,oracle_top5_headroom
Concerto,picture_vs_wall,picture,wall,0.7040500044822693,0.6986833214759827,-0.005366683006286621,0.40341168540303096,0.4381658487673663,0.8929242872706588,0.9598538386633372,0.8579395185756431,0.9426719628070803,0.45452783317261214,0.5392602774040494
Concerto,door_vs_wall,door,wall,0.8661500215530396,0.9517750144004822,0.08562499284744263,0.7602724770243473,0.06817311183477473,0.9839987851450233,0.9984701826219495,0.9555297848673467,0.988282820535342,0.19525730784299944,0.2280103435109947
Concerto,counter_vs_cabinet,counter,cabinet,0.9276483952999115,0.930490106344223,0.0028417110443115234,0.686053410191341,0.09471926340494674,0.9333543961003792,0.9853989889871818,0.8984988377397837,0.9821364307050056,0.21244542754844264,0.29608302051366453
Sonata,picture_vs_wall,picture,wall,0.7501083314418793,0.6451500058174133,-0.10495832562446594,0.358235289889966,0.4783361132268297,0.7101695895720249,0.8926205879233714,0.69717993251525,0.8866834904779459,0.338944642625284,0.5284482005879799
Sonata,door_vs_wall,door,wall,0.9206833243370056,0.9298166632652283,0.009133338928222656,0.6544406958616196,0.11446383587959187,0.9614902221047362,0.9969928589774596,0.9135244930712363,0.9918118802648348,0.2590837972096167,0.33737118440321523
Sonata,counter_vs_cabinet,counter,cabinet,0.9487273395061493,0.9453183114528656,-0.0034090280532836914,0.6269185317164515,0.08666726846001083,0.9051904675934285,0.9803800324968406,0.8567974230371589,0.9767166836787456,0.22987889132070738,0.34979815196229413
PTv3 supervised,picture_vs_wall,picture,wall,0.9626244008541107,0.8891502916812897,-0.07347410917282104,0.490766240077757,0.23264967251929522,0.8790627594477415,0.9952338488976353,0.8785224793337609,0.9952338488976323,0.38775623925600394,0.5044676088198754
PTv3 supervised,door_vs_wall,door,wall,0.9360666573047638,0.9384583532810211,0.0023916959762573242,0.743057101858037,0.0999590709277788,0.9765871532324222,0.9984514281765655,0.9459830086672958,0.9865942777507377,0.20292590680925882,0.24353717589270074
PTv3 supervised,counter_vs_cabinet,counter,cabinet,0.9581583440303802,0.9708999991416931,0.012741655111312866,0.7777818188430827,0.02203850983675178,0.9700188363331939,0.9952909167015488,0.928695948382959,0.9907085269056884,0.15091412953987626,0.21292670806260572
Utonia,picture_vs_wall,picture,wall,0.8847210705280304,0.9319574534893036,0.04723638296127319,0.29520821448944456,0.12842105263157894,0.9993684210526316,1.0,0.9747433264886863,0.9999999999999789,0.6795351119992418,0.7047917855105343
Utonia,door_vs_wall,door,wall,0.7294166684150696,0.9624083340167999,0.23299166560173035,0.8049200452464139,0.05857927011322661,0.990023196527411,0.9993753014400221,0.9644721386300326,0.9988797730163027,0.15955209338361864,0.1939597277698888
Utonia,counter_vs_cabinet,counter,cabinet,0.6740499287843704,0.9499191641807556,0.2758692353963852,0.7229960267639532,0.051882011983713526,0.9857760076809559,0.9992888003840478,0.931126561870212,0.9990578782707604,0.20813053510625878,0.2760618515068072
