checkpoint,stress,batches,enc2d_loss_mean
arkit-full-causal-baseline,clean,20,3.453537
arkit-full-causal-baseline,local_surface_destroy,20,3.897785
arkit-full-causal-baseline,z_flip,20,3.980001
arkit-full-causal-baseline,xy_swap,20,3.450245
arkit-full-causal-baseline,roll_90_x,20,3.845464
arkit-full-causal-coord-mlp,clean,20,3.536469
arkit-full-causal-coord-mlp,local_surface_destroy,20,3.544549
arkit-full-causal-coord-mlp,z_flip,20,3.620394
arkit-full-causal-coord-mlp,xy_swap,20,3.537728
arkit-full-causal-coord-mlp,roll_90_x,20,3.601248
arkit-full-causal-coord-residual-target,clean,20,3.628110
arkit-full-causal-coord-residual-target,local_surface_destroy,20,4.223210
arkit-full-causal-coord-residual-target,z_flip,20,4.181930
arkit-full-causal-coord-residual-target,xy_swap,20,3.624020
arkit-full-causal-coord-residual-target,roll_90_x,20,4.302245
arkit-full-causal-global-target-permutation,clean,20,3.404321
arkit-full-causal-global-target-permutation,local_surface_destroy,20,3.448366
arkit-full-causal-global-target-permutation,z_flip,20,3.525088
arkit-full-causal-global-target-permutation,xy_swap,20,3.401597
arkit-full-causal-global-target-permutation,roll_90_x,20,3.491385
arkit-full-causal-cross-image-target-swap,clean,20,2.922118
arkit-full-causal-cross-image-target-swap,local_surface_destroy,20,2.921208
arkit-full-causal-cross-image-target-swap,z_flip,20,2.920336
arkit-full-causal-cross-image-target-swap,xy_swap,20,2.920222
arkit-full-causal-cross-image-target-swap,roll_90_x,20,2.919963
arkit-full-causal-cross-scene-target-swap,clean,20,3.405929
arkit-full-causal-cross-scene-target-swap,local_surface_destroy,20,3.397875
arkit-full-causal-cross-scene-target-swap,z_flip,20,3.406161
arkit-full-causal-cross-scene-target-swap,xy_swap,20,3.405618
arkit-full-causal-cross-scene-target-swap,roll_90_x,20,3.406542
