domain,model,task,top1_or_miou,top2_oracle_proxy,top5_oracle_proxy,hardest_pair,hardest_pair_confusion,pair_probe_bal_acc,random_keep20_down,structured_keep20_down,feature_zero_down
scene,Concerto,ScanNet20 picture_vs_wall,0.40341168540303096,0.8929242872706588,0.9598538386633372,picture->wall,0.4381658487673663,0.7040500044822693,,,
scene,Sonata,ScanNet20 picture_vs_wall,0.358235289889966,0.7101695895720249,0.8926205879233714,picture->wall,0.4783361132268297,0.7501083314418793,,,
scene,PTv3 supervised,ScanNet20 picture_vs_wall,0.490766240077757,0.8790627594477415,0.9952338488976353,picture->wall,0.23264967251929522,0.9626244008541107,,,
scene,Utonia,ScanNet20 picture_vs_wall,0.29520821448944456,0.9993684210526316,1.0,picture->wall,0.12842105263157894,0.8847210705280304,,,
scene-support,Concerto decoder,ScanNet20 support-stress severity,0.7864418955685705,,,,,,0.03423561779801587,0.4919534203425616,0.7182751688024664
scene-support,Concerto linear,ScanNet20 support-stress severity,0.7695830671504098,,,,,,0.01800670575794394,0.46878891114028,0.7304666486045087
scene-support,Sonata linear,ScanNet20 support-stress severity,0.7164145358211679,,,,,,0.029729738636428804,0.4403465134727149,0.6557947561670701
scene-support,PTv3 ScanNet20,ScanNet20 support-stress severity,0.771287754340529,,,,,,0.07497310109357291,0.5211589186154193,0.7442345511131176
scene-support,PTv3 ScanNet200,ScanNet200 support-stress severity,0.34200226000439876,,,,,,0.0829462048045273,0.2562282969520657,0.34014006060345386
scene-support,PTv3 S3DIS,S3DIS Area-5 support-stress severity,0.7112280636359818,,,,,,0.2661430859742592,0.44857964807278494,0.5965541551184009
scene-support,Utonia,ScanNet20 full-scene support stress,0.7580185294461793,,,,,,0.011127258601804413,0.46803558699793446,0.010285256132697373
object,PointGPT-S official,ScanObjectNN obj_bg,0.9104991555213928,0.977624773979187,0.9948365092277527,bag->box,0.23529411852359772,0.8466386554621849,0.47676419965576594,0.7005163511187608,0.8175559380378657
object,PointGPT-S no-mask,ScanObjectNN obj_bg,0.8726333975791931,0.9466437101364136,0.9913941621780396,pillow->bag,0.2380952388048172,0.8753501400560224,0.3803786574870912,0.6609294320137693,0.7986230636833046
object,PointGPT-S no-mask order-random,ScanObjectNN obj_bg,0.8726333975791931,0.9586918950080872,0.9931153059005737,pillow->bag,0.2857142984867096,0.8221288515406162,0.4509466437177281,0.6592082616179002,0.802065404475043
object,PointGPT-S mask-on order-random,ScanObjectNN obj_bg,0.8795180916786194,0.955249547958374,0.9982788562774658,bed->sofa,0.1818181872367859,0.8971861471861472,0.30464716006884685,0.6333907056798622,0.8123924268502581
object-support,PointGPT-S official,ShapeNetPart support stress,0.8335479052878281,,,,,,0.1406597166057557,0.18818102781832757,0.5747068177801421
object-support,PointGPT-S no-mask,ShapeNetPart support stress,0.8287059057878794,,,,,,0.12707801562670817,0.17414213920118304,0.5960478172800461
