metric,value
job,133363.qjcm
resource,rt_QF=1
walltime_used,00:02:53
exit_status,0
picture_cos_train_heldout,0.99604052
picture_cos_train_val,0.96149695
picture_cos_heldout_val,0.93708783
picture_var_trace_train,60.36005863
picture_var_trace_heldout,50.49385598
picture_var_trace_val,95.33374087
wall_cos_train_val,0.99979115
heldout_base_picture_gt_top1,0.92586268
heldout_base_picture_wall_top1,0.07271231
heldout_base_picture_margin_mean,4.08197344
val_base_picture_gt_top1,0.53565334
val_base_picture_wall_top1,0.43881181
val_base_picture_margin_mean,-0.34201304
val_heldout_selected_picture_gt_top1,0.62118568
val_heldout_selected_picture_wall_top1,0.34858900
val_heldout_selected_picture_margin_mean,1.33634759
val_base_picture_iou,0.40217380
val_heldout_selected_picture_iou,0.37758627
val_heldout_selected_picture_delta_iou,-0.02458752
val_heldout_selected_picture_pred_count,262691
val_base_picture_pred_count,179966
val_heldout_selected_desk_delta_iou,-0.02536686
val_heldout_selected_sink_delta_iou,-0.01708937
val_heldout_selected_wall_delta_iou,-0.01622061
decision,CoDA transfer failure is explained by picture train-val distribution shift plus overprediction/calibration failure; avoid class-balanced cached heldout selection for method decisions.
