pair,positive_class,negative_class,feature,probe,balanced_acc,bal_acc_std,bal_acc_ci_low,bal_acc_ci_high,auc,auc_std,auc_ci_low,auc_ci_high,positive_acc,negative_acc,acc,train_positive,train_negative,val_positive,val_negative,train_samples_probe,pos_weight
picture_vs_wall,picture,wall,dino_exact,unweighted,0.49541667103767395,0.00041636020597604455,0.4946010455489159,0.4962104231119156,0.41282060742378235,0.023787587217876806,0.3566089168190956,0.4547382719814777,0.0,0.9908333420753479,0.9811850190162659,64,12000,118,12000,12064,
picture_vs_wall,picture,wall,dino_exact,balanced,0.5800572037696838,0.02166355329911316,0.5324141159653664,0.6147794555872679,0.5996772646903992,0.026820643745886465,0.5427107721567154,0.6514246508479118,0.7118644118309021,0.4482499957084656,0.45081695914268494,64,12000,118,12000,128,
picture_vs_wall,picture,wall,dino_exact,weighted,0.48894562711939216,0.0039581508331676925,0.48357916474342344,0.49768165946006776,0.42269280552864075,0.0230803120453334,0.3839773818850517,0.472617320716381,0.008474576286971569,0.9694166779518127,0.960059404373169,64,12000,118,12000,12064,187.5
picture_vs_wall,picture,wall,encoder_pooled,unweighted,0.4846539436839521,0.004033158620372379,0.4788291655480862,0.4928222790360451,0.48057204484939575,0.021861184869265717,0.440911952406168,0.5159607380628586,0.008474576286971569,0.9608333110809326,0.9515596628189087,64,12000,118,12000,12064,
picture_vs_wall,picture,wall,encoder_pooled,balanced,0.5771892815828323,0.019483480895468055,0.5458792861551046,0.6156413149088621,0.5648961663246155,0.02614130226355025,0.5168797120451927,0.6117581412196159,0.7627118825912476,0.3916666805744171,0.39527973532676697,64,12000,118,12000,128,
picture_vs_wall,picture,wall,encoder_pooled,weighted,0.46761934645473957,0.011988738018310718,0.45114831402897837,0.4938555814325809,0.5197076201438904,0.024166806253125294,0.4722358129918575,0.5614080011844635,0.05932203307747841,0.8759166598320007,0.8679649829864502,64,12000,118,12000,12064,187.5
picture_vs_wall,picture,wall,patch_proj,unweighted,0.49032061686739326,0.004648091157750742,0.4843531265854836,0.49986185878515244,0.5700232982635498,0.019015713582954914,0.5349394991993904,0.6031111419200897,0.008474576286971569,0.9721666574478149,0.962782621383667,64,12000,118,12000,12064,
picture_vs_wall,picture,wall,patch_proj,balanced,0.5216701924800873,0.02346482840386683,0.4830252192914486,0.5686301551759242,0.4999081790447235,0.02970166589766415,0.44457600116729734,0.5603151082992553,0.5254237055778503,0.5179166793823242,0.5179897546768188,64,12000,118,12000,128,
picture_vs_wall,picture,wall,patch_proj,weighted,0.4727245746180415,0.004910137978135843,0.463665634393692,0.4829929057508707,0.5077683329582214,0.022925305402700165,0.46151032522320745,0.5545003846287727,0.016949152573943138,0.9284999966621399,0.9196236729621887,64,12000,118,12000,12064,187.5
counter_vs_cabinet,counter,cabinet,dino_exact,unweighted,0.49124613404273987,0.0019437546927750335,0.4876416027545929,0.4946060761809349,0.5161173939704895,0.0635492555104623,0.37893666625022887,0.6239417970180511,0.0,0.9824922680854797,0.9626639485359192,47,3043,20,971,3090,
