pair,positive_class,negative_class,feature,probe,balanced_acc,bal_acc_std,bal_acc_ci_low,bal_acc_ci_high,auc,auc_std,auc_ci_low,auc_ci_high,positive_acc,negative_acc,acc,train_positive,train_negative,val_positive,val_negative,train_samples_probe,pos_weight
picture_vs_wall,picture,wall,dino_exact,unweighted,0.5086314985528588,0.012977177395551471,0.49685640782117846,0.5417113661766052,0.4089217185974121,0.0427487184391443,0.33462634682655334,0.48866964578628524,0.02222222276031971,0.995040774345398,0.9902401566505432,113,12000,45,9074,12113,
picture_vs_wall,picture,wall,dino_exact,balanced,0.6145886927843094,0.029612295241732794,0.5564350608736277,0.6671094834804535,0.6333063840866089,0.03527654392414384,0.5549848645925521,0.6861441925168037,0.7777777910232544,0.4513995945453644,0.4530102014541626,113,12000,45,9074,226,
picture_vs_wall,picture,wall,dino_exact,weighted,0.4969301838427782,0.01386422859521078,0.47428504973649976,0.5256015181541442,0.41630545258522034,0.04732974234528045,0.305994775891304,0.4977813400328159,0.04444444552063942,0.949415922164917,0.9449501037597656,113,12000,45,9074,12113,106.19469026548673
picture_vs_wall,picture,wall,encoder_pooled,unweighted,0.5184005536139011,0.01675778803638774,0.4856637105345726,0.5509362809360028,0.5630127787590027,0.03290780829413167,0.5035150319337844,0.6267656236886977,0.06666667014360428,0.970134437084198,0.9656760692596436,113,12000,45,9074,12113,
picture_vs_wall,picture,wall,encoder_pooled,balanced,0.5548098385334015,0.03319321396129525,0.48837874047458174,0.6127458281815051,0.5656405091285706,0.03517220106476301,0.48005657121539114,0.6312180131673812,0.644444465637207,0.46517521142959595,0.4660598635673523,113,12000,45,9074,226,
picture_vs_wall,picture,wall,encoder_pooled,weighted,0.5169446244835854,0.030238786346705,0.46156402342021463,0.5784616351127624,0.5533955097198486,0.039247467952154454,0.4853232681751251,0.6366034060716628,0.15555556118488312,0.8783336877822876,0.8747669458389282,113,12000,45,9074,12113,106.19469026548673
picture_vs_wall,picture,wall,patch_proj,unweighted,0.5103751737624407,0.01733031469350121,0.4871032699942589,0.5448973566293717,0.7830407023429871,0.04261851790552513,0.7037597641348838,0.8709249228239059,0.04444444552063942,0.9763059020042419,0.9717074036598206,113,12000,45,9074,12113,
picture_vs_wall,picture,wall,patch_proj,balanced,0.5359133630990982,0.03509819018262361,0.47059532925486564,0.6088004615157842,0.581554114818573,0.037713813875564994,0.5052610665559769,0.641702787578106,0.5777778029441833,0.49404892325401306,0.49446210265159607,113,12000,45,9074,226,
picture_vs_wall,picture,wall,patch_proj,weighted,0.6226948946714401,0.034121850324008995,0.5707392245531082,0.6902721293270588,0.7598364353179932,0.039607802922383396,0.6994235754013062,0.8348223462700843,0.3333333432674408,0.9120564460754395,0.9092005491256714,113,12000,45,9074,12113,106.19469026548673
picture_vs_wall,picture,wall,linear_feat_pooled,unweighted,0.5186760760843754,0.021276986240075995,0.48519533649086954,0.5634538881480694,0.4140303134918213,0.04722327573605298,0.32539753392338755,0.506487038731575,0.06666667014360428,0.9706854820251465,0.9662243723869324,113,12000,45,9074,12113,
picture_vs_wall,picture,wall,linear_feat_pooled,balanced,0.5653148293495178,0.0345447875303915,0.49465185329318045,0.6290359273552895,0.5526828765869141,0.04002982741229668,0.471732372045517,0.6151664584875107,0.6666666865348816,0.46396297216415405,0.46496325731277466,113,12000,45,9074,226,
picture_vs_wall,picture,wall,linear_feat_pooled,weighted,0.5114184655249119,0.02148298545075074,0.4771690372377634,0.5559689842164516,0.4293194115161896,0.046582325432518494,0.34324443340301514,0.5220836892724037,0.1111111119389534,0.9117258191108704,0.9077749848365784,113,12000,45,9074,12113,106.19469026548673
picture_vs_wall,picture,wall,linear_logits_pooled,unweighted,0.5,0.0,0.5,0.5,0.6854186654090881,0.027315303576404104,0.6443884968757629,0.7365079149603844,0.0,1.0,0.9950652718544006,113,12000,45,9074,12113,
picture_vs_wall,picture,wall,linear_logits_pooled,balanced,0.7127580642700195,0.025440782450698474,0.6654138535261154,0.7520583443343639,0.7431538105010986,0.027058990667416544,0.695440961420536,0.7910185292363167,0.8666666746139526,0.5588494539260864,0.5603684782981873,113,12000,45,9074,226,
picture_vs_wall,picture,wall,linear_logits_pooled,weighted,0.6171344518661499,0.03132306163248049,0.5608887180685997,0.6813531711697578,0.7233438491821289,0.024669456007139087,0.673998299241066,0.7737068623304366,0.5777778029441833,0.6564911007881165,0.6561026573181152,113,12000,45,9074,12113,106.19469026548673
counter_vs_cabinet,counter,cabinet,dino_exact,unweighted,0.5100578404963017,0.022336248806593538,0.4732277462258935,0.5549321003258227,0.5842214226722717,0.0485065905787158,0.4665437750518322,0.6710698172450066,0.08888889104127884,0.9312267899513245,0.8974130153656006,189,4277,45,1076,4466,
counter_vs_cabinet,counter,cabinet,dino_exact,balanced,0.5458178520202637,0.036742759782858785,0.47069445066154003,0.6138168670237064,0.5773027539253235,0.042498393287209696,0.4982027024030685,0.659336020052433,0.6000000238418579,0.49163568019866943,0.4959857165813446,189,4277,45,1076,378,
counter_vs_cabinet,counter,cabinet,dino_exact,weighted,0.5307620838284492,0.03208566277638514,0.47159361094236374,0.5982768081128597,0.5900454521179199,0.041085361221057985,0.5186565384268761,0.6685615375638008,0.20000000298023224,0.8615241646766663,0.8349688053131104,189,4277,45,1076,4466,22.62962962962963
counter_vs_cabinet,counter,cabinet,encoder_pooled,unweighted,0.5156340338289738,0.022502067858741866,0.4788039537146688,0.5620337709784508,0.5775712728500366,0.038513813682520694,0.5141212299466134,0.6528753712773322,0.08888889104127884,0.9423791766166687,0.9081177711486816,189,4277,45,1076,4466,
counter_vs_cabinet,counter,cabinet,encoder_pooled,balanced,0.48476870357990265,0.03752647744173679,0.41519774347543714,0.5419839456677437,0.4872160255908966,0.03923190688712855,0.41665273159742355,0.5512752741575241,0.4444444477558136,0.5250929594039917,0.5218554735183716,189,4277,45,1076,378,
counter_vs_cabinet,counter,cabinet,encoder_pooled,weighted,0.5123399533331394,0.025642109154125833,0.46951026413589714,0.5678374119102955,0.5698265433311462,0.04114777805110909,0.49257383346557615,0.6538326099514961,0.1111111119389534,0.9135687947273254,0.8813559412956238,189,4277,45,1076,4466,22.62962962962963
counter_vs_cabinet,counter,cabinet,patch_proj,unweighted,0.498905424028635,0.024598792619833696,0.4581319771707058,0.548021475225687,0.5416769981384277,0.036110977343348366,0.4780514188110828,0.6129357665777206,0.08888889104127884,0.9089219570159912,0.8760035634040833,189,4277,45,1076,4466,
