expert,class,A,B,C,D,A_frac,B_frac,C_frac,D_frac,B_over_A
Concerto decoder,wall,320898,188325,10000710,426559,0.029341949868385585,0.01721987269775354,0.9144349028920791,0.03900327454178177,0.5868687246414749
Concerto decoder,floor,67610,44878,8734071,136737,0.0075261908324071695,0.0049957164942577865,0.972256842032145,0.01522125064119005,0.6637775477000444
Concerto decoder,cabinet,97811,48426,1109138,144520,0.0698702402680201,0.03459259444458335,0.7923008511352637,0.10323631415213284,0.4950976883990553
Concerto decoder,bed,53261,12644,797195,52195,0.05818998246466986,0.01381412550052169,0.8709705614037004,0.057025330631108005,0.23739696964007434
Concerto decoder,chair,67192,38286,3006423,82202,0.02103626589374231,0.011986463805331263,0.9412417195062276,0.025735550794698855,0.5697999761876413
Concerto decoder,sofa,15257,15171,719500,39841,0.01931830699862871,0.019209414398387376,0.9110258822516457,0.05044639635133818,0.9943632431015271
Concerto decoder,table,115333,20676,1229757,113121,0.07798635054605253,0.013980784197846083,0.8315422341260691,0.07649063113003225,0.1792721944283076
Concerto decoder,door,46088,85216,1365864,103023,0.028801561813558505,0.053253642846385216,0.8535631059042327,0.0643816894358236,1.8489845512931782
Concerto decoder,window,101593,71116,1115872,96550,0.0733454092067826,0.051342436202785155,0.8056075562528021,0.06970459833763015,0.7000088588780723
Concerto decoder,bookshelf,34120,46336,972732,72131,0.03032029140181584,0.04117587990605331,0.8644055596679697,0.06409826902416114,1.3580304806565064
Concerto decoder,picture,24277,14268,97379,71518,0.1170303024459849,0.06878067122376375,0.4694275990397316,0.3447614272905198,0.5877167689582733
Concerto decoder,counter,15409,11025,167711,27415,0.06954775230185954,0.049760787145694166,0.7569552265751941,0.12373623397725221,0.715490946849244
Concerto decoder,desk,29749,30400,532095,62919,0.04540702084824692,0.04640066670431633,0.8121566694089868,0.09603564303844997,1.0218830885071768
Concerto decoder,curtain,25299,12727,588595,30742,0.038485585589697016,0.01936068808253583,0.8953880884686238,0.046765637859143276,0.5030633621882288
Concerto decoder,refridgerator,8633,13431,186593,14601,0.03866826720655027,0.06015909844216109,0.8357729622230783,0.0653996721282104,1.5557743542221707
Concerto decoder,shower curtain,3666,14218,124255,16069,0.023172026699029125,0.08986903317152103,0.7853901193365695,0.10156882079288027,3.878341516639389
Concerto decoder,toilet,848,1361,109621,1831,0.0074607825023534895,0.011974203992574409,0.9644557060029386,0.016109307502133536,1.6049528301886793
Concerto decoder,sink,3328,4075,82789,12297,0.032471777459044386,0.03976036452692484,0.807784250017075,0.11998360799695577,1.2244591346153846
Concerto decoder,bathtub,1539,3568,88865,2383,0.015972186186497848,0.03702973379689689,0.9222666182346531,0.024731461781952156,2.318388564002599
Concerto decoder,otherfurniture,42861,124676,1178695,290945,0.02617982050810633,0.07615303659897495,0.7199557531042764,0.1777113897886423,2.90884487062831
Sonata linear,wall,454396,223069,9867212,391815,0.04154860626241029,0.02039675976537998,0.9022282464980544,0.035826387474155334,0.4909132122641925
Sonata linear,floor,96761,52394,8704920,129221,0.010771213594653899,0.0058323804536775815,0.9690118192698982,0.014384586681770254,0.5414784882338959
Sonata linear,cabinet,224434,60109,982515,132837,0.16032202415181138,0.04293822036652749,0.7018490672514724,0.09489068823018869,0.26782483937371343
Sonata linear,bed,89433,8711,761023,56128,0.09770948164253054,0.009517150208402755,0.8314510622258398,0.06132230592322694,0.097402524795098
Sonata linear,chair,154593,26453,2919022,94035,0.04839950371043138,0.008281824349433942,0.9138784816895386,0.029440190250596177,0.17111382792235094
Sonata linear,sofa,39778,16165,694979,38847,0.05036662619069627,0.020468010266293055,0.8799775630595782,0.0491878004834325,0.40638041128261854
Sonata linear,table,172702,25689,1172388,108108,0.11677836102420266,0.01737049551453221,0.792750223647919,0.07310091981334611,0.14874755358941993
Sonata linear,door,203597,63036,1208355,125203,0.12723293656819717,0.03939279748480025,0.755131731149594,0.07824253479740856,0.3096116347490385
Sonata linear,window,128064,56568,1089401,111098,0.09245623699130263,0.04083945850609076,0.7864967284682821,0.08020757603432455,0.4417166416791604
Sonata linear,bookshelf,50013,70699,956839,47768,0.04444339782763821,0.06282574096767228,0.8502824532421474,0.04244840796254218,1.4136124607602023
Sonata linear,picture,27669,5759,93987,80027,0.1333818609539052,0.027761976841719615,0.4530760405318113,0.3857801216725639,0.20813907260833422
