expert,class,A,B,C,D,A_frac,B_frac,C_frac,D_frac,B_over_A
Concerto decoder,wall,320895,188334,10000713,426550,0.029341675557390798,0.0172206956307379,0.9144351772030739,0.03900245160879741,0.5869022577478614
Concerto decoder,floor,67612,44878,8734069,136737,0.007526413467840757,0.0049957164942577865,0.9722566193967114,0.01522125064119005,0.663757912796545
Concerto decoder,cabinet,97806,48442,1109143,144504,0.06986666857157144,0.034604023873219064,0.7923044228317124,0.10322488472349713,0.4952865877349038
Concerto decoder,bed,53260,12646,797196,52193,0.05818888992073594,0.013816310588389535,0.8709716539476343,0.05702314554324016,0.2374389785955689
Concerto decoder,chair,67176,38288,3006439,82200,0.021031256662668675,0.011987089959215467,0.9412467287373012,0.02573492464081465,0.5699654638561391
Concerto decoder,sofa,15256,15180,719501,39832,0.01931704080560265,0.019220810135621935,0.9110271484446718,0.050435000614103616,0.9950183534347142
Concerto decoder,table,115338,20676,1229752,113121,0.07798973146697483,0.013980784197846083,0.8315388532051469,0.07649063113003225,0.17926442282682203
Concerto decoder,door,46105,85215,1365847,103024,0.028812185545350522,0.05325301792098568,0.8535524821724406,0.06438231436122313,1.8482810974948487
Concerto decoder,window,101587,71124,1115878,96542,0.07334107748653376,0.05134821182978361,0.8056118879730509,0.0696988227106317,0.7001289535078308
Concerto decoder,bookshelf,34129,46325,972723,72142,0.030328289134014443,0.04116610490003279,0.8643975619357711,0.06410804403018167,1.3573500542061003
Concerto decoder,picture,24278,14269,97378,71517,0.11703512307054502,0.06878549184832387,0.4694227784151715,0.34475660666595964,0.5877337507208172
Concerto decoder,counter,15408,11029,167712,27411,0.0695432388517783,0.049778840946019136,0.7569597400252753,0.12371818017692725,0.7157969885773624
Concerto decoder,desk,29746,30401,532098,62918,0.045402441835085315,0.04640219304203687,0.8121612484221484,0.09603411670072944,1.022019767363679
Concerto decoder,curtain,25294,12730,588600,30739,0.038477979442104286,0.01936525177109147,0.8953956946162166,0.046761074170587634,0.5032814106112121
Concerto decoder,refridgerator,8635,13431,186591,14601,0.038677225452167445,0.06015909844216109,0.8357640039774611,0.0653996721282104,1.5554140127388536
Concerto decoder,shower curtain,3667,14216,124254,16071,0.023178347491909387,0.08985639158576052,0.7853837985436893,0.10158146237864078,3.876738478320153
Concerto decoder,toilet,848,1361,109621,1831,0.0074607825023534895,0.011974203992574409,0.9644557060029386,0.016109307502133536,1.6049528301886793
Concerto decoder,sink,3328,4077,82789,12295,0.032471777459044386,0.03977987881626321,0.807784250017075,0.1199640937076174,1.2250600961538463
Concerto decoder,bathtub,1539,3566,88865,2385,0.015972186186497848,0.03700897721965648,0.9222666182346531,0.024752218359192567,2.317089018843405
Concerto decoder,otherfurniture,42862,124677,1178694,290944,0.02618043131561218,0.07615364740648078,0.7199551422967706,0.17771077898113644,2.9088003359619243
Sonata linear,wall,454349,223054,9867259,391830,0.041544308723491956,0.020395388210406044,0.9022325440369727,0.03582775902912927,0.4909309803697158
Sonata linear,floor,96773,52392,8704908,129223,0.010772549407255421,0.005832157818243994,0.9690104834572968,0.014384809317203841,0.5413906771516849
Sonata linear,cabinet,224450,60121,982499,132825,0.1603334535804471,0.042946792438004276,0.7018376378228367,0.09488211615871191,0.26785921140565827
Sonata linear,bed,89433,8711,761023,56128,0.09770948164253054,0.009517150208402755,0.8314510622258398,0.06132230592322694,0.097402524795098
Sonata linear,chair,154563,26452,2919052,94036,0.048390111402168305,0.008281511272491838,0.9138878739978016,0.029440503327538278,0.17114057051170073
Sonata linear,sofa,39776,16167,694981,38845,0.05036409380464414,0.02047054265234518,0.8799800954456303,0.04918526809738037,0.406451126307321
Sonata linear,table,172695,25691,1172395,108106,0.11677362773491146,0.017371847882901126,0.7927549569372102,0.0730995674449772,0.1487651640174875
Sonata linear,door,203608,63040,1208344,125199,0.127239810747592,0.03939529718639837,0.7551248569701992,0.07824003509581044,0.3096145534556599
Sonata linear,window,128062,56564,1089403,111102,0.09245479308455301,0.04083657069259153,0.7864981723750317,0.08021046384782378,0.44169230528962533
Sonata linear,bookshelf,50016,70709,956836,47758,0.044446063738371074,0.06283462733678184,0.8502797873314145,0.042439521593432616,1.413727607165707
Sonata linear,picture,27668,5759,93988,80027,0.13337704032934508,0.027761976841719615,0.4530808611563714,0.3857801216725639,0.20814659534480265
Sonata linear,counter,18931,9191,164189,29249,0.08544412348799423,0.04148311969669616,0.7410588553890594,0.13201390142625022,0.48549997358829433
Sonata linear,desk,61291,51630,500553,41689,0.09355076522941619,0.07880481651131092,0.7640129250278175,0.06363149323145538,0.842374900066894
Sonata linear,curtain,55607,13161,558287,30308,0.0845910098377913,0.020020901693584822,0.8492826642205296,0.04610542424809428,0.23667883539842105
Sonata linear,refridgerator,38012,4427,157214,23605,0.17026041620009139,0.019829076673624237,0.7041808132295371,0.10572969389674726,0.11646322214037673
Sonata linear,shower curtain,10829,8918,117092,21369,0.06844786610032362,0.056368830906148866,0.7401142799352751,0.13506902305825244,0.8235294117647058
Sonata linear,toilet,2091,1405,108378,1787,0.018396811571251354,0.012361320065809733,0.9535196769340407,0.015722191428898215,0.6719273075083692
Sonata linear,sink,8534,2972,77583,13400,0.08326747260681634,0.02899823395681488,0.756988554869303,0.13074573856706573,0.34825404265291776
Sonata linear,bathtub,3400,2719,87004,3232,0.035286181308702196,0.02821856675834155,0.9029526231124487,0.0335426288205075,0.7997058823529412
Sonata linear,otherfurniture,302218,87294,919338,328327,0.184597022802055,0.05331983041540408,0.5615385508103278,0.20054459597221314,0.28884447650371586
Utonia,wall,383349,229928,9938259,384956,0.035052281846866436,0.02102392613646131,0.9087245709135983,0.035199221103074003,0.5997876608521217
Utonia,floor,93980,50054,8707701,131561,0.010461639024251233,0.005571896996380839,0.9693213938403009,0.014645070139066997,0.5326026814215791
Utonia,cabinet,122380,58435,1084569,134511,0.08742084227745653,0.041742416395515375,0.7747502491258272,0.0960864922012008,0.4774881516587678
Utonia,bed,51570,14583,798886,50256,0.05634249067240617,0.015932568188398277,0.8728180531959642,0.05490688794323142,0.2827806864456079
Utonia,chair,144683,28811,2928932,91677,0.04529691121419691,0.009020059778911325,0.916981074185773,0.028701954821118793,0.19913189524685002
Utonia,sofa,29811,15714,704946,39298,0.037746480299935804,0.01989695721153907,0.8925977089503386,0.04975885353818648,0.52712086142699
Utonia,table,150574,28289,1194516,105508,0.10181575739052409,0.019128574394122067,0.8077128272815975,0.07134284093375626,0.18787440062693425
Utonia,door,107515,78632,1304437,109607,0.06718885433051429,0.049139134015876856,0.8151758133872768,0.06849619826633195,0.7313584151048691
Utonia,window,108192,53669,1109273,113997,0.07810957952713497,0.03874651567252484,0.8008433859324497,0.08230051886789047,0.4960533126293996
Utonia,bookshelf,22870,72093,983982,46374,0.02032312615356179,0.06406450082154483,0.8744027249162237,0.04120964810866963,3.1522955837341495
Utonia,picture,33439,16586,88217,69200,0.1611968646657861,0.07995487895411729,0.4252610368199304,0.33358721956016624,0.49600765573133165
Utonia,counter,12764,16479,170356,21961,0.05760967683697418,0.07437714388878859,0.7688933020400794,0.09911987723415779,1.2910529614540895
Utonia,desk,42197,34039,519647,59280,0.06440687279348803,0.05195500966934946,0.7931568174637457,0.09048130007341684,0.8066687205251558
Utonia,curtain,49394,12658,564500,30811,0.07513961083906456,0.01925572324575615,0.8587340632192564,0.046870602695922955,0.2562659432319715
Utonia,refridgerator,13374,12917,181852,15115,0.059903788442071504,0.05785682931854626,0.814537440987557,0.06770194125182524,0.9658292208763272
Utonia,shower curtain,9202,9281,118719,21006,0.058163936084142394,0.058663278721682845,0.7503982099514563,0.13277457524271843,1.008585090197783
Utonia,toilet,1631,1499,108838,1693,0.014349688987427526,0.013188340767721558,0.9575667995178645,0.014895170726986389,0.9190680564071122
Utonia,sink,6910,2966,79207,13406,0.06742186966406151,0.028939691088799773,0.7728341578120579,0.13080428143508083,0.429232995658466
Utonia,bathtub,4080,3011,86324,2940,0.04234341757044263,0.031249027035441856,0.8958953868507084,0.030512168543407193,0.7379901960784314
Utonia,otherfurniture,83589,119273,1137967,296348,0.05105678860624111,0.07285284364488384,0.6950787850061416,0.18101158274273338,1.426898276088959
PTv3_supervised,wall,213095,255790,10108513,359094,0.019484767144711486,0.023388669785521718,0.9242920856157532,0.03283447745401359,1.2003566484431827
PTv3_supervised,floor,48104,52211,8753577,129404,0.0053548274486335526,0.005812009311504374,0.9744282054159186,0.014404957823943462,1.085377515383336
PTv3_supervised,cabinet,128304,51724,1078645,141222,0.09165258822983152,0.036948485422120945,0.7705185031734523,0.10088042317459524,0.40313630128444944
PTv3_supervised,bed,51758,11955,798698,52884,0.056547888931983675,0.013061362730048782,0.8726126549363866,0.05777809340158091,0.2309787858881719
PTv3_supervised,chair,43050,31636,3030565,88852,0.013477962357506944,0.009904502140350515,0.9488000230424629,0.027817512459679603,0.7348664343786295
PTv3_supervised,sofa,20949,22839,713808,32173,0.026525477702973907,0.028918582522231184,0.9038187115473005,0.04073722822749437,1.0902191035371618
PTv3_supervised,table,100045,35281,1245045,98516,0.0676488467340642,0.023856454211849856,0.8418797379380575,0.06661496111602848,0.3526513069118897
PTv3_supervised,door,126141,62611,1285811,125628,0.0788287148221681,0.03912720418999982,0.8035359528956231,0.07850812809220899,0.4963572510127556
PTv3_supervised,window,117717,33583,1099748,134083,0.08498618542217307,0.02424536018614846,0.7939667800374116,0.09680167435426686,0.2852858975339161
PTv3_supervised,bookshelf,27350,48692,979502,69775,0.02430421951464429,0.043269508468265445,0.8704216315551413,0.062004640461949014,1.7803290676416819
PTv3_supervised,picture,28463,6753,93193,79033,0.13720943685463888,0.03255367765447691,0.4492484646310776,0.3809884208598066,0.2372553841829744
PTv3_supervised,counter,13283,5827,169837,32613,0.059952157429138835,0.026299873623397724,0.7665508214479148,0.14719714749954865,0.4386810208537228
PTv3_supervised,desk,35538,31820,526306,61499,0.054242989912434,0.04856806626747848,0.8033207003447997,0.09386824347528783,0.8953795936743767
PTv3_supervised,curtain,56144,8329,557750,35140,0.08540791008925054,0.012670320659970214,0.8484657639690704,0.053456005281708886,0.14835066970646907
PTv3_supervised,refridgerator,33458,6009,161768,22023,0.14986249092977633,0.026915048956812297,0.7245787384998522,0.09864372161355921,0.17959830234921395
PTv3_supervised,shower curtain,18744,4560,109177,25727,0.11847694174757281,0.028822815533980584,0.6900852042880259,0.16261503843042072,0.24327784891165172
PTv3_supervised,toilet,723,1106,109746,2086,0.006361020930662232,0.009730690386324245,0.9655554675746298,0.018352821108383703,1.5297372060857537
PTv3_supervised,sink,7926,3061,78191,13311,0.07733512864795246,0.029866619832372255,0.7629208988281669,0.12987735269150835,0.3861973252586424
PTv3_supervised,bathtub,3974,1462,86430,4489,0.04124331897670074,0.015173057962741944,0.8969954854444502,0.046588137616107105,0.36789129340714644
PTv3_supervised,otherfurniture,189529,51361,1032027,364260,0.11576573577566751,0.031371684307805445,0.6303698378367153,0.22249274207981176,0.2709928295933604
