model,pair,positive_class,negative_class,point_feature_bal_acc,point_feature_auc,linear_logits_bal_acc,linear_logits_auc,direct_pair_margin_bal_acc,direct_pair_margin_auc,base_positive_iou,base_positive_to_negative,top2_hit_rate,top5_hit_rate,oracle_top2_positive_iou,oracle_top5_positive_iou
Concerto,picture_vs_wall,picture,wall,0.7040500044822693,0.7753373384475708,0.760200023651123,0.8830264210700989,0.6986833214759827,0.9245190620422363,0.40341168540303096,0.4381658487673663,0.8929242872706588,0.9598538386633372,0.8579395185756431,0.9426719628070803
Concerto,door_vs_wall,door,wall,0.8661500215530396,0.9594910740852356,0.9516583383083344,0.9897481203079224,0.9517750144004822,0.9970176815986633,0.7602724770243473,0.06817311183477473,0.9839987851450233,0.9984701826219495,0.9555297848673467,0.988282820535342
Concerto,counter_vs_cabinet,counter,cabinet,0.9276483952999115,0.9757379293441772,0.936561107635498,0.9898437261581421,0.930490106344223,0.9897805452346802,0.686053410191341,0.09471926340494674,0.9333543961003792,0.9853989889871818,0.8984988377397837,0.9821364307050056
Sonata,picture_vs_wall,picture,wall,0.7501083314418793,0.8413683772087097,0.8154999911785126,0.9093220233917236,0.6451500058174133,0.894575297832489,0.358235289889966,0.4783361132268297,0.7101695895720249,0.8926205879233714,0.69717993251525,0.8866834904779459
Sonata,door_vs_wall,door,wall,0.9206833243370056,0.9759374856948853,0.9506500065326691,0.9889646172523499,0.9298166632652283,0.9930404424667358,0.6544406958616196,0.11446383587959187,0.9614902221047362,0.9969928589774596,0.9135244930712363,0.9918118802648348
Sonata,counter_vs_cabinet,counter,cabinet,0.9487273395061493,0.9863359928131104,0.9483076930046082,0.9872204065322876,0.9453183114528656,0.9898205995559692,0.6269185317164515,0.08666726846001083,0.9051904675934285,0.9803800324968406,0.8567974230371589,0.9767166836787456
PTv3 supervised,picture_vs_wall,picture,wall,0.9626244008541107,0.9877650737762451,0.9528721868991852,0.986117422580719,0.8891502916812897,0.9888858795166016,0.490766240077757,0.23264967251929522,0.8790627594477415,0.9952338488976353,0.8785224793337609,0.9952338488976323
PTv3 supervised,door_vs_wall,door,wall,0.9360666573047638,0.9541416764259338,0.9267166554927826,0.959538996219635,0.9384583532810211,0.968346118927002,0.743057101858037,0.0999590709277788,0.9765871532324222,0.9984514281765655,0.9459830086672958,0.9865942777507377
PTv3 supervised,counter_vs_cabinet,counter,cabinet,0.9581583440303802,0.9846864342689514,0.9700750112533569,0.9880852699279785,0.9708999991416931,0.990531861782074,0.7777818188430827,0.02203850983675178,0.9700188363331939,0.9952909167015488,0.928695948382959,0.9907085269056884
Utonia,picture_vs_wall,picture,wall,0.8847210705280304,0.9650688171386719,0.9039306938648224,0.970615804195404,0.9319574534893036,nan,0.29520821448944456,0.12842105263157894,0.9993684210526316,1.0,0.9747433264886863,0.9999999999999789
Utonia,door_vs_wall,door,wall,0.7294166684150696,0.8528138399124146,0.9122166931629181,0.9815268516540527,0.9624083340167999,nan,0.8049200452464139,0.05857927011322661,0.990023196527411,0.9993753014400221,0.9644721386300326,0.9988797730163027
Utonia,counter_vs_cabinet,counter,cabinet,0.6740499287843704,0.9567136168479919,0.836609423160553,0.9220983982086182,0.9499191641807556,nan,0.7229960267639532,0.051882011983713526,0.9857760076809559,0.9992888003840478,0.931126561870212,0.9990578782707604
