expert,class,A,B,C,D,A_frac,B_frac,C_frac,D_frac,B_over_A
Concerto decoder,wall,328651,176493,10004895,426453,0.030050860915913438,0.016137990134313634,0.914817566729807,0.03899358221996596,0.5370225558419113
Concerto decoder,floor,56338,36566,8743139,147253,0.006271417528711066,0.004070443632270383,0.9732662710880283,0.01639186775099028,0.6490468245234122
Concerto decoder,cabinet,94062,44952,1113681,147200,0.06719218227081317,0.032110979752052835,0.7955460945285182,0.10515074344861579,0.4778975569305352
Concerto decoder,bed,52406,12644,798724,51521,0.05725585740116575,0.01381412550052169,0.8726410610786687,0.05628895601964394,0.24127008357821622
Concerto decoder,chair,67796,32632,3011000,82675,0.021225364366772144,0.010216326774684474,0.9426746726702301,0.025883636188313276,0.48132633193698743
Concerto decoder,sofa,14396,15566,720371,39436,0.018228114803189286,0.019709560643681887,0.9121287363773458,0.04993358817578305,1.0812725757154764
Concerto decoder,table,112509,23403,1227296,115679,0.07607680640914417,0.015824738468862055,0.8298781448481188,0.07822031027387488,0.2080100258645975
Concerto decoder,door,45510,88399,1363818,102464,0.02844035493262992,0.05524278039309057,0.8522845085367934,0.06403235613748609,1.942408261920457
Concerto decoder,window,103724,70759,1116515,94133,0.07488389184849664,0.051084698847979,0.8060717722728031,0.06795963703072128,0.6821854151401797
Concerto decoder,bookshelf,31338,47082,974656,72243,0.027848103515536484,0.04183880304162642,0.8661152970846488,0.06419779635818822,1.5023932605782118
Concerto decoder,picture,26528,14863,96191,69860,0.12788152833081054,0.07164894283703396,0.4637006970623114,0.3367688317698441,0.5602759348612787
Concerto decoder,counter,15103,12356,167170,26931,0.06816663657699946,0.05576818920382741,0.7545134500812422,0.12155172413793103,0.8181156061709595
Concerto decoder,desk,30409,31878,530085,62791,0.04641440374380116,0.0486565938552696,0.809088730590708,0.09584027181022127,1.0483080666907822
Concerto decoder,curtain,25145,10376,591209,30633,0.03825131624384092,0.01578427748443402,0.8993645824301033,0.04659982384162175,0.41264664943328694
Concerto decoder,refridgerator,8266,13292,187090,14610,0.037024429135798044,0.05953650037176719,0.837999086258947,0.06543998423348771,1.6080329058795064
Concerto decoder,shower curtain,2637,16411,122499,16661,0.01666793082524272,0.1037305319579288,0.7742908070388349,0.10531073017799353,6.223359878649981
Concerto decoder,toilet,727,1261,109781,1892,0.006396213300956352,0.011094394735221403,0.9658634008147033,0.016645991149118872,1.734525447042641
Concerto decoder,sink,3503,4199,82678,12109,0.03417927777615159,0.040970250465903656,0.8067012069587955,0.11814926479914918,1.1986868398515558
Concerto decoder,bathtub,1360,2900,89384,2711,0.014114472523480878,0.03009703699859893,0.9276529500285403,0.0281355404493799,2.1323529411764706
Concerto decoder,otherfurniture,40872,133069,1173785,289451,0.02496492437897674,0.08127954399554843,0.7169566882505679,0.17679884337490692,3.2557496574672147
Sonata linear,wall,456889,211991,9876657,390955,0.04177655869907828,0.019383820698629872,0.9030918689466422,0.03574775165564973,0.463987970820046
Sonata linear,floor,87458,46054,8712019,137765,0.009735624875324157,0.005126626129206919,0.9698020637414152,0.015335685254053747,0.52658418898214
Sonata linear,cabinet,224999,59706,982744,132446,0.16072562585051023,0.042650341632765314,0.7020126509488211,0.0946113815679033,0.2653611793830195
Sonata linear,bed,88831,8531,762299,55634,0.09705177019430894,0.009320492300296626,0.8328451482855255,0.060782589219869,0.09603629363623059
Sonata linear,chair,149755,21071,2929041,94236,0.04688483746454012,0.006596844247038996,0.9170151995724621,0.029503118715958752,0.1407031484758439
Sonata linear,sofa,38517,14654,696250,40348,0.04876995678483202,0.018554792603913295,0.881586894395703,0.051088356215551634,0.3804553833372277
Sonata linear,table,168802,28039,1171003,111043,0.11414124270481787,0.018959528348007657,0.7918137085524452,0.07508552039472928,0.16610585182640017
Sonata linear,door,199241,61380,1210087,129483,0.12451076152784261,0.03835792102317786,0.7562141019415807,0.0809172155073988,0.30806912231920136
Sonata linear,window,133354,54537,1086885,110355,0.09627537034403244,0.03937317120185744,0.7846802937772672,0.07967116467684283,0.40896411056286275
Sonata linear,bookshelf,49317,72594,956677,46731,0.04382490653761289,0.06450970791393373,0.8501384940625725,0.041526891485880894,1.4719873471622362
Sonata linear,picture,28161,4965,94558,79758,0.13575360823748325,0.023934400940985916,0.45582861715563866,0.38448337366589214,0.17630765952913605
Sonata linear,counter,19260,9661,163013,29626,0.08692904856472287,0.04360444123487994,0.7357510380935187,0.1337154721068785,0.5016095534787124
Sonata linear,desk,57713,50293,502781,44376,0.0880895288653358,0.07676410297895334,0.7674136054691734,0.06773276268653755,0.8714327794431064
Sonata linear,curtain,57903,13037,558451,27972,0.08808375281237307,0.01983226923328511,0.8495321458615711,0.042551832092770664,0.2251524100651089
Sonata linear,refridgerator,38181,4373,157175,23529,0.17101738795474294,0.01958720404196042,0.7040061274400021,0.10538928056329448,0.11453340666823814
Sonata linear,shower curtain,7445,9210,117691,23862,0.04705830299352751,0.05821450242718446,0.7439004348705501,0.15082675970873785,1.2370718603089321
Sonata linear,toilet,2147,1310,108361,1843,0.018889504755369036,0.011525501271324377,0.9533701093602907,0.016214884613015897,0.6101537028411738
Sonata linear,sink,9001,2963,77180,13345,0.08782405916732527,0.02891041965479222,0.7530564255676219,0.13020909561026062,0.329185646039329
Sonata linear,bathtub,3412,2686,87332,2925,0.035410720772144674,0.027876083233874735,0.9063567017798765,0.030356494214104093,0.787221570926143
Sonata linear,otherfurniture,301675,90499,912982,332021,0.1842653543263801,0.05527746847164357,0.5576562583031646,0.2028009188988118,0.29998839811054945
Utonia,wall,387241,222690,9946305,380256,0.03540815464410343,0.020362105143038555,0.909460273001617,0.034769467211241044,0.5750682391585602
Utonia,floor,93663,52128,8705814,131691,0.0104263513080277,0.005802769941010515,0.9691113373087117,0.01465954144225015,0.5565484769866436
Utonia,cabinet,118138,57153,1089605,134999,0.0843906150104115,0.04082663342607838,0.7783476617889199,0.09643508977459024,0.48378167905331054
Utonia,bed,52980,14610,798150,49555,0.05788297761923751,0.015962066874614194,0.8720139408605968,0.05414101464555143,0.2757644394110985
Utonia,chair,143926,27005,2934870,88302,0.04505991196902542,0.008454642821474448,0.9188401250679769,0.0276453201415233,0.18763114378222143
Utonia,sofa,28512,16550,706255,38452,0.0361016955590812,0.020955494581326947,0.8942551556214539,0.048687654238137985,0.5804573512906847
Utonia,table,148855,29909,1190950,109173,0.10065339677744141,0.020223992772943438,0.8053015544798217,0.0738210559697935,0.20092707668536494
Utonia,door,108660,81822,1300668,109041,0.06790439391297663,0.05113264604037893,0.8128204695564467,0.06814249049019773,0.7530093870789619
Utonia,window,111910,52509,1108329,112383,0.08079380217466796,0.037909049757748545,0.8001618619466317,0.08113528612095174,0.46920739880260925
Utonia,bookshelf,22430,72977,983564,46348,0.019932125912741187,0.06485005585082985,0.8740312746874442,0.04118654354898477,3.2535443602318326
Utonia,picture,35265,18084,87454,66639,0.16999932511256158,0.08717617454517407,0.42158290028056034,0.321241600061704,0.5128030625265845
Utonia,counter,12644,17312,169629,21975,0.05706806282722513,0.07813684780646327,0.7656120238310165,0.09918306553529518,1.3691869661499525
Utonia,desk,41068,34849,519426,59820,0.06268363750700208,0.0531913432229842,0.7928194968275071,0.09130552244250667,0.8485682283042758
Utonia,curtain,50370,10666,565984,30343,0.07662433084916553,0.01622543404481238,0.8609915678247787,0.04615866728124339,0.21175302759579115
Utonia,refridgerator,12085,13103,183271,14799,0.05413019914180007,0.05868994616094384,0.820893316252945,0.06628653844431107,1.084236657012826
Utonia,shower curtain,6507,10132,118629,22940,0.04112939927184466,0.06404227346278317,0.749829338592233,0.14499898867313915,1.5570923620716153
Utonia,toilet,1708,1502,108800,1651,0.01502714211558934,0.013214735045442148,0.9572324720000703,0.014525650838898127,0.8793911007025761
Utonia,sink,7157,3153,79024,13155,0.06983188439734996,0.030764277141937184,0.7710486003375973,0.12835523812311564,0.44054771552326394
Utonia,bathtub,4415,2673,86329,2938,0.04582014425821182,0.02774116548181205,0.8959472782938094,0.030491411966166778,0.605436013590034
Utonia,otherfurniture,82402,126797,1132255,295723,0.05033176009680077,0.07744855931887633,0.6915898525327439,0.18062982805157904,1.5387611951166233
PTv3_supervised,wall,220654,251411,10112892,351535,0.020175939414576446,0.02298826717013097,0.9246924882311439,0.03214330518414863,1.1393901764753869
PTv3_supervised,floor,48013,54324,8751464,129495,0.005344697536405346,0.006047223647088997,0.974192991080334,0.014415087736171669,1.1314435673671714
PTv3_supervised,cabinet,133041,55667,1074702,136485,0.09503641344529411,0.03976512524153597,0.7677018633540372,0.09749659795913265,0.4184198855991762
PTv3_supervised,bed,52007,11530,799123,52635,0.05681993237153049,0.012597031558131532,0.8730769861083039,0.0575060499620341,0.22170092487549753
PTv3_supervised,chair,45852,29257,3032944,86050,0.014355203949277778,0.00915969209508898,0.9495448330877245,0.026940270867908768,0.6380746750414377
PTv3_supervised,sofa,21462,23342,713305,31660,0.02717503472534374,0.029555477614340395,0.9031818164551914,0.040087671205124534,1.0875966825086198
PTv3_supervised,table,95610,36131,1244195,102951,0.06464996987599458,0.02443121076863885,0.8413049813812685,0.06961383797409809,0.37789980127601713
PTv3_supervised,door,126458,65552,1282870,125311,0.07902681617381925,0.040965109790018814,0.8016980472956041,0.07831002674055784,0.5183697354062218
PTv3_supervised,window,118880,31972,1101359,132920,0.08582581719707377,0.02308229329933414,0.795129846924226,0.09596204257936614,0.26894347240915206
PTv3_supervised,bookshelf,27369,49569,978625,69756,0.024321103615952456,0.04404884303917378,0.8696422969842329,0.06198775636064085,1.8111366874931492
PTv3_supervised,picture,29128,6355,93591,78368,0.14041515218711736,0.030635069079549947,0.4511670732060046,0.3777827055273281,0.21817495193628125
PTv3_supervised,counter,13278,6669,168995,32618,0.059929590178732624,0.030100198591803573,0.762750496479509,0.14721971474995488,0.5022593764121103
PTv3_supervised,desk,33702,31334,526792,63335,0.05144063385752858,0.047826266135297626,0.8040625004769806,0.09667059953019325,0.929737107590054
PTv3_supervised,curtain,58740,8465,557614,32544,0.08935702191939614,0.01287720787449248,0.8482588767545481,0.04950689345156329,0.14410963568266938
PTv3_supervised,refridgerator,34015,6436,161341,21466,0.15235736233416047,0.02882763439607987,0.7226661530605846,0.09614885020917503,0.18921064236366308
PTv3_supervised,shower curtain,15924,4525,109212,28547,0.10065230582524272,0.028601587783171522,0.6903064320388349,0.18043967435275082,0.2841622707862346
PTv3_supervised,toilet,828,1172,109680,1981,0.007284820650882888,0.01031136449617723,0.9649747934647769,0.017429021388163046,1.4154589371980677
PTv3_supervised,sink,8085,3156,78096,13152,0.07888651465035272,0.030793548575944737,0.7619939700845945,0.1283259666891081,0.3903525046382189
PTv3_supervised,bathtub,4307,1455,86437,4156,0.04469928908722952,0.015100409942400498,0.8970681334647916,0.04313216750557833,0.337822149988391
PTv3_supervised,otherfurniture,183822,52553,1030835,369967,0.11227985733979894,0.032099766854775016,0.6296417552897458,0.22597862051568035,0.28589069861061245
