variant,mIoU,mAcc,allAcc,weak_mean_iou,picture_iou,wall_iou,counter_iou,cabinet_iou,door_iou,picture_to_wall
avgprob::Concerto decoder+Sonata linear,0.7794340127855723,0.8710927257259623,0.9210218852545413,0.6791963948428703,0.40216599411882376,0.8770240731999565,0.6967660148141337,0.7271648179111012,0.7463719294534493,0.46691123301935
avgprob::Concerto decoder+Sonata linear+Utonia,0.7838991329587295,0.8736528765567041,0.922887075725256,0.6851432219856104,0.4067113786710004,0.8783890603424427,0.6977181117627462,0.7378152282412076,0.7681076069283382,0.4712305126252157
avgprob::Concerto decoder+Utonia,0.7861576176753199,0.8774980999517092,0.9233295376440168,0.6902114421691345,0.4164720715612618,0.8779202891723128,0.7006013681124555,0.7375124437115255,0.7776954757691257,0.44659230049845255
avgprob::Sonata linear+Utonia,0.7579118104849513,0.8568979629673054,0.9120559000301385,0.6600479628327554,0.3847333851044539,0.864170158753105,0.6757376233877156,0.705040004140402,0.7352367622946198,0.4971847552568911
avgprobT2::Concerto decoder+Sonata linear,0.779731293241176,0.8712826696058169,0.9210641638342062,0.6797377871516811,0.4026888411207903,0.8777097147315971,0.6967772540858173,0.7278128840954752,0.7439493296265688,0.46825618727162294
avgprobT2::Concerto decoder+Utonia,0.786746330322938,0.8778260831524769,0.9235253234199865,0.6906378470126867,0.4170146760529768,0.8781959845490916,0.700749450590732,0.7374812825289944,0.7782291784716243,0.4464814261335699
avgprobT2::Sonata linear+Utonia,0.7590502396701573,0.8578248098611532,0.9124474437122165,0.6611935814791645,0.3871066206770244,0.8644176280209985,0.6763199532893857,0.7064803651851653,0.7379477586682984,0.4929570675176676
maxconf::Concerto decoder+Sonata linear,0.7782285308005112,0.8712579139525213,0.9206590196597904,0.6777436276359177,0.40081020300128006,0.8763728964139013,0.6957034676390711,0.7253726797386444,0.7477071957437516,0.46363802894302986
maxconf::Concerto decoder+Sonata linear+Utonia,0.7803974781163586,0.8731953599114434,0.9217773814559628,0.6836758127871814,0.4033602958693998,0.8778486088347515,0.7011711030051155,0.7338758705069025,0.7648227496033747,0.4677452010682504
maxconf::Concerto decoder+Utonia,0.7849884063976948,0.8772184579174274,0.922941059646687,0.6879780861525381,0.4146409352384485,0.8774094462209453,0.6981807683366701,0.7362119104657708,0.7761843897014156,0.44569566433027064
maxconf::Sonata linear+Utonia,0.7562671267247273,0.8571676350266065,0.9115551064915763,0.6584536038070914,0.3855313583551309,0.8640976946134366,0.6723520975259947,0.7010432291101694,0.7353538989053083,0.48954406532910405
maxmargin::Concerto decoder+Sonata linear,0.7777201635188277,0.8706765094442053,0.9204710931847209,0.6772642216563416,0.40060580975316057,0.8761235156537506,0.6958441687763064,0.7242234330541185,0.7472935385266836,0.4645057413638511
maxmargin::Concerto decoder+Utonia,0.7847930655179745,0.8769447909971934,0.9228872708142855,0.6882135151214414,0.4143127718715927,0.8773099981996398,0.6985138880034797,0.7370167043790342,0.7761456829087285,0.44699241233694237
maxmargin::Sonata linear+Utonia,0.7558943919365244,0.8564849886568148,0.9113957744942498,0.6578863625848982,0.38376887141147853,0.8640496268999472,0.6730997699301173,0.7002656779893132,0.7333875009841766,0.493993501798093
oracle::Concerto decoder+Sonata linear,0.8331391320528976,0.9077763699829419,0.9438311371789692,0.7536732693703805,0.5242213481644109,0.9127502580970864,0.7613086555552896,0.8015788975098657,0.818979495669683,0.35155368729572606
oracle::Concerto decoder+Sonata linear+Utonia,0.8556457625443803,0.9208090385938068,0.9527872843423162,0.783382860585283,0.569021430524301,0.9256406808854675,0.7975447508466373,0.828945197438178,0.850234569104244,0.3277156988459425
oracle::Concerto decoder+Utonia,0.8301383651688342,0.905723197667984,0.9425885315409074,0.748445037745351,0.5007714719685158,0.9096335560365255,0.763809396784051,0.7898200252177531,0.8255753337782603,0.3773825936888383
oracle::Sonata linear+Utonia,0.8173746545030278,0.8940111065259101,0.9367284194048481,0.7285294736819413,0.497516249312333,0.8991067744995137,0.7442565307955433,0.7755816003102296,0.801305334846765,0.37163158858861756
picturewall_top2_gate::Concerto decoder->Utonia,0.7646871293972011,0.8618960052805915,0.9140679368002957,0.6597744127006508,0.3780213755216729,0.8559902266148129,0.6701756197204388,0.7134627063658171,0.7505205767133799,0.4821058416328419
single::Concerto decoder,0.7782430855499377,0.8743861989965854,0.9199471676612399,0.6801527044939408,0.4074863499664222,0.8730627449189375,0.6841281324039943,0.720367013355388,0.7600949148280848,0.4369173070062957
single::Sonata linear,0.7092957691613836,0.822240471077083,0.8899031784294854,0.6054072674123833,0.36074010582240196,0.8448776636140833,0.627908071618959,0.6131901531997631,0.6535981682202249,0.47554015098196123
single::Utonia,0.7569946451582845,0.8569214217824908,0.9105078407117027,0.655499046944332,0.3780213755216729,0.8559902266148129,0.6574617517487928,0.713122358262497,0.7461134976821518,0.4821058416328419
weakgate::Concerto decoder->Utonia,0.7685422474163038,0.8655732129786953,0.9173791271571899,0.655499046944332,0.3780213755216729,0.8655368867878858,0.6574617517487928,0.713122358262497,0.7461134976821518,0.4729900405896588
