variant,mIoU,mAcc,allAcc,weak_mean_iou,picture_iou,wall_iou,counter_iou,cabinet_iou,door_iou,picture_to_wall
avgprob::Concerto decoder+Sonata linear,0.37180939867650514,0.44522103845531397,0.8973517154487299,0.2876607959361067,0.591309453904839,0.9358326477846973,0.0,0.2853006681514445,0.7875071126003617,0.14817001180637543
avgprob::Concerto decoder+Sonata linear+Utonia,0.3513924661255588,0.4204417615774873,0.8941715933320407,0.21197823203185168,0.03837072018889974,0.9123819786535292,0.0,0.17108352901710644,0.8436807796974821,0.859504132231405
avgprob::Concerto decoder+Utonia,0.3565400910098632,0.42811027492785214,0.890918782709827,0.24800393047867733,0.3438967136150033,0.921393329640459,0.0,0.18452570217275904,0.7753949622485834,0.5224321133412042
avgprob::Sonata linear+Utonia,0.3513008019330763,0.4199678552826109,0.8907310040705558,0.21444134980016294,0.0,0.8961067170949224,0.0,0.28305900794983446,0.8234411157670847,0.9250295159386068
avgprobT2::Concerto decoder+Sonata linear,0.3752954898249746,0.4479800932120666,0.8996838050009687,0.2946586816078303,0.6175088131609507,0.9360280782328445,0.0,0.3046674835691177,0.7897795464594732,0.19480519480519481
avgprobT2::Concerto decoder+Utonia,0.35425111504567286,0.4261437646603518,0.8895861601085477,0.24234303715874791,0.30904817861337786,0.9187821833161677,0.0,0.1844335181504322,0.7749857224443126,0.5667060212514758
avgprobT2::Sonata linear+Utonia,0.3497217688465796,0.418793109843115,0.8894347257220386,0.20987237950230453,0.0,0.8965772858566998,0.0,0.25064368073435295,0.8243539202803277,0.9238488783943329
maxconf::Concerto decoder+Sonata linear,0.36918721012279015,0.44339412496284475,0.8952740356658262,0.2817484550734788,0.5695014662756264,0.9355328024269991,0.0,0.26458147818343425,0.7909872329667501,0.1399055489964581
maxconf::Concerto decoder+Sonata linear+Utonia,0.3629580619532276,0.4341001636791715,0.896630887768947,0.2507102199070622,0.3333333333333138,0.9290692853811461,0.0,0.21481977457872764,0.7902367987843435,0.5064935064935064
maxconf::Concerto decoder+Utonia,0.35436828473436605,0.42683156243829856,0.8888229308005423,0.24462548002177004,0.3428571428571229,0.9200515630035437,0.0,0.1750707621343938,0.776043649283081,0.5271546635182999
maxconf::Sonata linear+Utonia,0.34998010561956633,0.4191612577840835,0.8894165535956576,0.21346668245567044,0.0,0.8959814805340961,0.0,0.2695924764890252,0.82188961646398,0.9067296340023613
maxmargin::Concerto decoder+Sonata linear,0.3692239003021546,0.4433621758233418,0.8954557569296371,0.28264042076242524,0.5677419354838377,0.9349118611731795,0.0,0.27261572783044874,0.7898729376066705,0.1292798110979929
maxmargin::Concerto decoder+Utonia,0.3548402595874628,0.4268969930820309,0.8895498158557855,0.24436057158893973,0.3311953352769486,0.9197991761071048,0.0,0.17708112687989644,0.7762197830086874,0.5430932703659976
maxmargin::Sonata linear+Utonia,0.35094928065632963,0.41967880455576834,0.8901858402791234,0.2148566241231958,0.0,0.8954125627562937,0.0,0.2841799060192405,0.822320759430422,0.9173553719008265
oracle::Concerto decoder+Sonata linear,0.442006064296919,0.4934879126182271,0.9474825547586737,0.40004093232457144,0.7005882352940764,0.9588279030245082,0.0,0.7819043420762533,0.8748569975848426,0.024793388429752067
oracle::Concerto decoder+Sonata linear+Utonia,0.4517045377741888,0.49832641658402305,0.9544061349098657,0.4103038056290134,0.7030696576150707,0.9635672211363291,0.0,0.8018648018647929,0.8824316574268726,0.024793388429752067
oracle::Concerto decoder+Utonia,0.39883341155675844,0.46326156409782937,0.9186797344446593,0.3296658980145654,0.7030696576150707,0.9561194818926765,0.0,0.25831767436719066,0.8739335285877953,0.024793388429752067
oracle::Sonata linear+Utonia,0.3965356490405304,0.45121575995711627,0.927057084706338,0.28339211139699616,0.0,0.9194214074083645,0.0,0.6998209890355706,0.8427787934186418,0.5909090909090909
picturewall_top2_gate::Concerto decoder->Utonia,0.32457852281347344,0.4020567837622992,0.8668286005039731,0.18609974346800406,0.0,0.8764808626974472,0.0,0.16032217854060637,0.7987188343904993,0.9899645808736718
single::Concerto decoder,0.3600660961730683,0.43835256892762864,0.8870965787943396,0.28682467574854054,0.67098591549292,0.9364120967636299,0.0,0.22697512003491677,0.7620517991051688,0.024793388429752067
single::Sonata linear,0.3427471833935622,0.4150892268151754,0.8747879918588869,0.23390213260486573,0.0,0.8718126581628054,0.0,0.5911803713527786,0.8007887115657107,0.5909090909090909
single::Utonia,0.3365833684914227,0.40833141514277693,0.8738430412870707,0.19311351322939427,0.0,0.8764808626974472,0.0,0.1159907745531413,0.8210572742738276,0.9899645808736718
weakgate::Concerto decoder->Utonia,0.33033543991733594,0.40544897704948835,0.8767081798798212,0.19311351322939427,0.0,0.8970330022428697,0.0,0.1159907745531413,0.8210572742738276,0.7272727272727273
