variant,mIoU,mAcc,allAcc,weak_mean_iou,picture_iou,wall_iou,counter_iou,cabinet_iou,door_iou,picture_to_wall
avgprob::Concerto decoder+Concerto fullFT,0.8051033113579098,0.8845806574339784,0.9312527998759457,0.7106245175893908,0.43551376586154056,0.889116037606615,0.717741840819185,0.7824982328899611,0.7847265220755224,0.41563907019793483
avgprob::Concerto decoder+PTv3_supervised,0.7898474877559141,0.8663336656766873,0.9254278595049075,0.6906390663905065,0.3966462174214803,0.8802034909958355,0.709176336358702,0.7399433149483683,0.7625138950118597,0.512008175779254
avgprob::Concerto decoder+Sonata linear,0.7794402646351811,0.8710944589651628,0.9210222475627389,0.6791998494314706,0.40217128706891325,0.8770238708126377,0.6967744900538476,0.7271698509620194,0.7463709828820496,0.46691123301935
avgprob::Concerto decoder+Sonata linear+Utonia+Concerto fullFT+PTv3_supervised,0.806500242179238,0.883173647293976,0.9321179082420489,0.7116621283250714,0.42297815974871494,0.891175376633561,0.720981812804968,0.7708559309272904,0.790525539081409,0.465522893146036
avgprob::Concerto decoder+Utonia,0.7861591041006338,0.8774996273649203,0.9233308753973615,0.6902106200377857,0.41644814633837,0.8779217014838235,0.7005829358770532,0.7375193912886036,0.7776895710684856,0.44659230049845255
avgprob::Concerto fullFT+PTv3_supervised,0.801183761941432,0.8757641721772853,0.9298067999897662,0.707237741729177,0.43213406729667253,0.8865981530791842,0.7206306419257771,0.7769318217440342,0.7759831278641184,0.43809836002352465
avgprob::Sonata linear+Concerto fullFT,0.7992429024520501,0.8784717898045342,0.9292156244908525,0.7052812261445129,0.4386129231714856,0.8875921433254892,0.7090115953340466,0.7823790630354178,0.7768156939512714,0.4118548799182422
avgprob::Sonata linear+PTv3_supervised,0.7681231351408839,0.8491203673957257,0.9171478073080016,0.6646666060913505,0.3920118170232169,0.8707793118851483,0.7044392477450034,0.7105235496560329,0.7247660974593471,0.505273763268769
avgprob::Sonata linear+Utonia,0.7579176451771732,0.8569059063586488,0.9120597460710045,0.6600404554531368,0.38470395617679226,0.864178559899428,0.6756796690307326,0.7050291480198115,0.7352404900403819,0.4972136790042518
avgprob::Utonia+Concerto fullFT,0.8031972459604345,0.8827252541857608,0.9305314999943981,0.708513091473309,0.43716195297845584,0.8876736051272897,0.7202645111636115,0.7848888722176017,0.7850228086455575,0.41094860250094
avgprob::Utonia+PTv3_supervised,0.7837216312379957,0.860756948396609,0.923233609581257,0.6790277737608255,0.39504957568925675,0.8760714609701274,0.701270615759945,0.7286489866083958,0.7564385428943106,0.5120515614002951
avgprobT2::Concerto decoder+Concerto fullFT,0.8049021515817507,0.8841627570611112,0.9310865840228663,0.7104744104806405,0.4357728426672872,0.8886109194113135,0.7163322102267838,0.7843929006206892,0.7840064285908855,0.4126117179741807
avgprobT2::Concerto decoder+PTv3_supervised,0.7894538905585897,0.8653336721961826,0.9249245019391014,0.6900264209950303,0.39848527594441757,0.8789898104041456,0.7106085079193734,0.7393497051559901,0.7609194730625494,0.5083396804890041
avgprobT2::Concerto decoder+Sonata linear,0.7797355373621511,0.8712843234457678,0.9210667278614503,0.6797403684821817,0.4026904104629586,0.8777114803819072,0.6967872254145081,0.7278255241176852,0.7439485188726841,0.4682513666470628
