variant,mIoU,mAcc,allAcc,weak_mean_iou,picture_iou,wall_iou,counter_iou,cabinet_iou,door_iou,picture_to_wall
avgprob::Concerto decoder+PTv3_supervised,0.789849579472308,0.8663359204969184,0.9254272742378192,0.6906430119028097,0.3966485572282187,0.8802033091040006,0.7091740320657317,0.7399506822126005,0.7625017038926645,0.512012996403814
avgprob::Concerto decoder+Sonata linear,0.7794331739189493,0.8710917776318275,0.921021467206621,0.6791967795717785,0.40216599411882376,0.8770231215354348,0.696758354972386,0.7271665334144379,0.7463729871228747,0.46691123301935
avgprob::Concerto decoder+Sonata linear+Utonia+PTv3_supervised,0.7959354176830646,0.8759304170931823,0.9277846743298009,0.698684573392027,0.4043154573132055,0.8841378214683926,0.7185904533431751,0.7496591451899138,0.7773702965882678,0.5001301568631232
avgprob::Concerto decoder+Utonia,0.7861579781734431,0.8774991678345483,0.9233292589454033,0.6902066189116969,0.4164723874890425,0.877920209971685,0.700573911278653,0.7375126884018701,0.7776853968046084,0.4465730180002121
avgprob::Sonata linear+PTv3_supervised,0.7681247374442363,0.8491222075264936,0.917148559794258,0.6646615139661746,0.39200639176864904,0.8707808455214833,0.7044325488531494,0.7105258276458637,0.7247643863912253,0.5052834045178893
avgprob::Sonata linear+Utonia,0.7579170380994883,0.8569064457866263,0.9120601362490633,0.6600387279603438,0.384699541345819,0.8641783763979037,0.6757162936533676,0.7050350874786276,0.7352415958770616,0.4972088583796917
avgprob::Utonia+PTv3_supervised,0.7837216312379957,0.860756948396609,0.923233609581257,0.6790277737608255,0.39504957568925675,0.8760714609701274,0.701270615759945,0.7286489866083958,0.7564385428943106,0.5120515614002951
avgprobT2::Concerto decoder+PTv3_supervised,0.7894544998212724,0.8653356530749778,0.9249240560213198,0.6900308109773253,0.3984884427861288,0.8789898361664286,0.7106085079193734,0.7393466924802665,0.7609117563830576,0.5083396804890041
avgprobT2::Concerto decoder+Sonata linear,0.7797313435619616,0.871282566239759,0.9210642753136516,0.6797387773809609,0.4026918783563626,0.8777099066065444,0.6967734284140292,0.7278135131157007,0.7439507776874189,0.468261007896183
avgprobT2::Concerto decoder+Utonia,0.7867432008638082,0.8778225080009399,0.9235241528858099,0.6906431299459436,0.4169733442208524,0.8781929478941949,0.7007738833164278,0.7374898884466321,0.7782082295844818,0.44653927362829127
avgprobT2::Sonata linear+PTv3_supervised,0.7688161776300348,0.8493320231405104,0.9172656410817809,0.6652661034302404,0.39118913290126034,0.870644035787951,0.7054490393880398,0.7104305224333812,0.7249412805129937,0.5055340769950155
avgprobT2::Sonata linear+Utonia,0.7590479726804784,0.8578237973862184,0.9124489765545907,0.6611790681225782,0.3870593576991021,0.8644164565405155,0.6762992863836226,0.706484486243848,0.7379492700369171,0.4930197356369491
avgprobT2::Utonia+PTv3_supervised,0.7856432040060083,0.8620360309836033,0.9236900621704145,0.6804161384065824,0.3956958222995137,0.8763232970795167,0.7029780745327262,0.7283153017588221,0.7573731293068747,0.5095544778781539
maxconf::Concerto decoder+PTv3_supervised,0.7886823945738908,0.8661777192657416,0.9249462404309527,0.6891275924268483,0.39729705006184635,0.8798913646966147,0.7081960852627243,0.7362780346046526,0.7603408972520179,0.5094339622641509
maxconf::Concerto decoder+Sonata linear,0.7782285331569415,0.8712571590925137,0.9206591032693744,0.6777420845753669,0.4008064485851481,0.8763711415085403,0.6956958068877812,0.7253748512520003,0.7477040232270523,0.46364284956759
maxconf::Concerto decoder+Sonata linear+Utonia+PTv3_supervised,0.7885745479123256,0.8678689020519587,0.9256109923638252,0.6885101491305994,0.3973471833799439,0.8814961232638845,0.7043233920508495,0.7432453830202566,0.7640034109164554,0.5109428177514679
maxconf::Concerto decoder+Utonia,0.7849827630134815,0.8772137190809183,0.9229403907700148,0.6879679498356613,0.4146548748761378,0.8774085336389352,0.6981747555342249,0.7362145937806477,0.7761632018102107,0.4456522787092296
maxconf::Sonata linear+PTv3_supervised,0.7671480131095944,0.8488964294151582,0.9167156293680782,0.6637404644902282,0.3929649764320492,0.8700373903943689,0.702068255981528,0.7080610453505402,0.7244113385037002,0.501311209880352
maxconf::Sonata linear+Utonia,0.7562724444368807,0.8571730135625948,0.9115606804638459,0.6584452013814222,0.38549365818049075,0.8641059588761832,0.6722991868519551,0.7010186651372143,0.7353603410600282,0.489626015946626
maxconf::Utonia+PTv3_supervised,0.782418906763699,0.8606060723874167,0.9227977249497743,0.6772960880824825,0.3956018353985514,0.8760281810262674,0.7011161589373427,0.7262796127416532,0.7543358377155939,0.5086819448327725
maxmargin::Concerto decoder+PTv3_supervised,0.7889621105220772,0.8665015309934245,0.9251194237493693,0.6896034281428876,0.3965419128912233,0.8802094077157354,0.7083161778678657,0.7362343929442248,0.7611280899361764,0.510499320291937
maxmargin::Concerto decoder+Sonata linear,0.777720132930426,0.8706753202070698,0.9204708423559687,0.6772646033179005,0.4006012989260905,0.876122221872851,0.6958403388701009,0.724223714917659,0.7472939398013421,0.4645153826129713
maxmargin::Concerto decoder+Utonia,0.7847932086078515,0.8769434306559536,0.9228851248349617,0.6882124462122778,0.414313143265388,0.8773057918768291,0.698501921814943,0.7370077317976256,0.7761276722974819,0.4469875917123823
maxmargin::Sonata linear+PTv3_supervised,0.7669661788277778,0.8488187000587057,0.9167126194230526,0.6635591881006127,0.3927240875912407,0.8704085000957297,0.7025928587416209,0.7087524624448137,0.7239950459061415,0.5019378910731674
maxmargin::Sonata linear+Utonia,0.7558953658630851,0.8564879211979658,0.9113990631378889,0.6578808720230136,0.38373169644388033,0.8640556480811373,0.6730531786596219,0.7002565947719904,0.73338921501414,0.49399832242265307
maxmargin::Utonia+PTv3_supervised,0.7823027314981805,0.8604199745395699,0.9228225012565127,0.6772849847529105,0.3947053840734025,0.8760870107857894,0.7005889851333085,0.7272096789034181,0.7550076604901297,0.5108753290076262
oracle::Concerto decoder+PTv3_supervised,0.8484991856027687,0.9125491399371995,0.9506076660958733,0.7737850608519815,0.5402955575025016,0.9257550732870072,0.7786202801129498,0.8245232758426662,0.8471990794381219,0.3513994273098023
oracle::Concerto decoder+Sonata linear,0.8331404604712919,0.9077772169239505,0.9438313322679986,0.7536756718573265,0.52422944962713,0.9127503454395861,0.7613156751543361,0.8015800715807724,0.8189755945750082,0.3515488666711659
oracle::Concerto decoder+Sonata linear+Utonia+PTv3_supervised,0.8842981480037408,0.9346004269889743,0.9640878442422567,0.8220977857568866,0.6094578867302769,0.9450600081258006,0.8322574524515645,0.8802321692213615,0.8855475484339305,0.30805719188978126
oracle::Concerto decoder+Utonia,0.8301384220735522,0.905724222764708,0.942589869294252,0.7484403437317821,0.5008035331412333,0.9096380830269086,0.7638036208147811,0.7898214877696097,0.8255683135617747,0.3773488493169175
oracle::Sonata linear+PTv3_supervised,0.8274452086957501,0.8918441578667039,0.9431768643139635,0.7468665290552169,0.48088108010921493,0.9169808517565299,0.7672025021821353,0.8032660266304192,0.8106298187960497,0.40797909777190733
oracle::Sonata linear+Utonia,0.8173668924194546,0.89400384312542,0.9367275833090076,0.7285302369912303,0.4975590076286104,0.8991086115897144,0.7442402653987858,0.7755727705789751,0.801280747951514,0.3715882029675765
oracle::Utonia+PTv3_supervised,0.8494717560618827,0.909015326394942,0.9503336774889611,0.7718025354568897,0.5273797382287947,0.9215652811367777,0.7865618428749859,0.8418474706210327,0.8505528566847906,0.3896462625697785
picturewall_top2_gate::Concerto decoder->PTv3_supervised,0.7697272187191213,0.8516414968876003,0.9156399641994909,0.6638764752656953,0.3824264292301039,0.8612576437081958,0.6799551184740279,0.7002414201418701,0.7419387925176609,0.5067922600052063
single::Concerto decoder,0.778243323966363,0.8743860710881263,0.919947418489992,0.6801514014688074,0.4074827002248239,0.8730631094187068,0.684125513851995,0.7203641760765193,0.7600922746196606,0.43692694825541595
single::PTv3_supervised,0.7573653105836367,0.8376434831587805,0.9125971327375165,0.6482428358114144,0.3824264292301039,0.8612576437081958,0.6949943819335641,0.6870591796395393,0.7160931394468265,0.5067922600052063
single::Sonata linear,0.7092952742195956,0.8222407684002464,0.88990306695004,0.6054068598411201,0.3607424177763631,0.8448775928709389,0.6279044501100937,0.6131895650782878,0.6536019045787929,0.4755353303574011
single::Utonia,0.7569814564721075,0.8569121558672255,0.9105096243828289,0.6554828551393589,0.37802537891631,0.8559960460579362,0.6574021294712913,0.7130917065166871,0.7461130420850418,0.48210102100828184
