scene,region_size,expert,desired_B_points,danger_A_points,desired_in_defer_region,danger_in_defer_region,defer_point_frac
scene0685_00,4,Concerto decoder,854,2601,756,42,0.032408542931079865
scene0685_00,4,Sonata linear,840,5117,689,58,0.027487201616168022
scene0685_00,4,Utonia,1208,4445,1043,95,0.03273507580161095
scene0685_00,4,PTv3_supervised,1350,2335,1248,43,0.04211127758026123
scene0685_00,8,Concerto decoder,854,2601,695,54,0.060117319226264954
scene0685_00,8,Sonata linear,840,5117,614,53,0.043487388640642166
scene0685_00,8,Utonia,1208,4445,949,109,0.04991311952471733
scene0685_00,8,PTv3_supervised,1350,2335,1229,58,0.08138870447874069
scene0685_00,16,Concerto decoder,854,2601,603,58,0.0942634865641594
scene0685_00,16,Sonata linear,840,5117,505,111,0.07589592784643173
scene0685_00,16,Utonia,1208,4445,828,155,0.08633337169885635
scene0685_00,16,PTv3_supervised,1350,2335,1225,89,0.15749454498291016
scene0663_02,4,Concerto decoder,159,640,131,3,0.011919192038476467
scene0663_02,4,Sonata linear,266,5079,223,28,0.014175084419548512
scene0663_02,4,Utonia,206,2141,161,13,0.012794612906873226
scene0663_02,4,PTv3_supervised,273,735,239,7,0.02134680189192295
scene0663_02,8,Concerto decoder,159,640,116,8,0.024747474119067192
scene0663_02,8,Sonata linear,266,5079,202,36,0.02501683495938778
scene0663_02,8,Utonia,206,2141,129,16,0.02198653109371662
scene0663_02,8,PTv3_supervised,273,735,221,23,0.045185185968875885
scene0663_02,16,Concerto decoder,159,640,93,10,0.05050504952669144
scene0663_02,16,Sonata linear,266,5079,141,28,0.04400673508644104
scene0663_02,16,Utonia,206,2141,92,20,0.03808080777525902
scene0663_02,16,PTv3_supervised,273,735,215,45,0.10996633023023605
scene0357_00,4,Concerto decoder,529,4404,457,15,0.025705594569444656
scene0357_00,4,Sonata linear,5033,4602,4962,22,0.11833437532186508
scene0357_00,4,Utonia,1734,5164,1686,13,0.04939664527773857
scene0357_00,4,PTv3_supervised,639,5520,575,21,0.03281693905591965
scene0357_00,8,Concerto decoder,529,4404,446,34,0.04804689809679985
scene0357_00,8,Sonata linear,5033,4602,4925,40,0.1424686163663864
scene0357_00,8,Utonia,1734,5164,1673,46,0.07518281787633896
scene0357_00,8,PTv3_supervised,639,5520,548,26,0.05533955246210098
scene0357_00,16,Concerto decoder,529,4404,398,47,0.08438929170370102
scene0357_00,16,Sonata linear,5033,4602,4900,85,0.21857813000679016
scene0357_00,16,Utonia,1734,5164,1641,60,0.1330808401107788
scene0357_00,16,PTv3_supervised,639,5520,526,30,0.10064666718244553
scene0193_01,4,Concerto decoder,1581,1657,1412,125,0.04327480122447014
scene0193_01,4,Sonata linear,5980,3357,5716,155,0.08392585068941116
scene0193_01,4,Utonia,2837,3547,2625,131,0.05524636059999466
scene0193_01,4,PTv3_supervised,774,1213,625,82,0.02785034477710724
scene0193_01,8,Concerto decoder,1581,1657,1358,172,0.09089979529380798
scene0193_01,8,Sonata linear,5980,3357,5687,389,0.11320733278989792
scene0193_01,8,Utonia,2837,3547,2491,205,0.09383022040128708
scene0193_01,8,PTv3_supervised,774,1213,606,116,0.07125008851289749
scene0193_01,16,Concerto decoder,1581,1657,1356,221,0.19094295799732208
scene0193_01,16,Sonata linear,5980,3357,5605,446,0.14335203170776367
scene0193_01,16,Utonia,2837,3547,2311,201,0.13503782451152802
scene0193_01,16,PTv3_supervised,774,1213,573,206,0.14940597116947174
scene0607_01,4,Concerto decoder,1137,2011,1008,89,0.03645072132349014
scene0607_01,4,Sonata linear,1719,4118,1507,108,0.036085404455661774
scene0607_01,4,Utonia,1757,2470,1546,122,0.042038749903440475
scene0607_01,4,PTv3_supervised,1601,7136,1455,45,0.03785787895321846
scene0607_01,8,Concerto decoder,1137,2011,967,140,0.07387562841176987
scene0607_01,8,Sonata linear,1719,4118,1350,102,0.059547003358602524
scene0607_01,8,Utonia,1757,2470,1418,138,0.06525680422782898
scene0607_01,8,PTv3_supervised,1601,7136,1434,77,0.06470206379890442
scene0607_01,16,Concerto decoder,1137,2011,923,139,0.12263895571231842
scene0607_01,16,Sonata linear,1719,4118,1310,126,0.09321048110723495
scene0607_01,16,Utonia,1757,2470,1408,197,0.12388374656438828
scene0607_01,16,PTv3_supervised,1601,7136,1334,218,0.1366969794034958
scene0088_00,4,Concerto decoder,575,545,504,37,0.011601579375565052
scene0088_00,4,Sonata linear,579,1071,486,45,0.01204907801002264
scene0088_00,4,Utonia,626,1308,513,61,0.01250325608998537
scene0088_00,4,PTv3_supervised,602,392,546,56,0.014126274734735489
scene0088_00,8,Concerto decoder,575,545,491,53,0.027798371389508247
scene0088_00,8,Sonata linear,579,1071,447,50,0.024305207654833794
scene0088_00,8,Utonia,626,1308,453,75,0.023403530940413475
scene0088_00,8,PTv3_supervised,602,392,529,77,0.03029635176062584
scene0088_00,16,Concerto decoder,575,545,466,73,0.05836188793182373
scene0088_00,16,Sonata linear,579,1071,437,110,0.060185279697179794
scene0088_00,16,Utonia,626,1308,390,107,0.05637151747941971
scene0088_00,16,PTv3_supervised,602,392,510,121,0.06920205056667328
scene0251_00,4,Concerto decoder,1953,2889,1671,154,0.029982946813106537
scene0251_00,4,Sonata linear,3741,16487,3332,212,0.03540175408124924
scene0251_00,4,Utonia,3103,7016,2617,155,0.032333340495824814
scene0251_00,4,PTv3_supervised,3105,6266,2894,139,0.043995555490255356
scene0251_00,8,Concerto decoder,1953,2889,1601,170,0.059017881751060486
scene0251_00,8,Sonata linear,3741,16487,3169,249,0.057783786207437515
scene0251_00,8,Utonia,3103,7016,2423,165,0.052106939256191254
scene0251_00,8,PTv3_supervised,3105,6266,2870,198,0.08170843869447708
scene0251_00,16,Concerto decoder,1953,2889,1568,232,0.1222541332244873
scene0251_00,16,Sonata linear,3741,16487,2619,484,0.08750308305025101
scene0251_00,16,Utonia,3103,7016,2240,184,0.08691408485174179
scene0251_00,16,PTv3_supervised,3105,6266,2795,209,0.15565328299999237
scene0598_01,4,Concerto decoder,1632,2871,1580,9,0.05543897673487663
scene0598_01,4,Sonata linear,2291,2733,2243,11,0.06954853236675262
scene0598_01,4,Utonia,1417,2298,1375,29,0.05058256909251213
scene0598_01,4,PTv3_supervised,3005,633,2979,34,0.09047304838895798
scene0598_01,8,Concerto decoder,1632,2871,1571,14,0.07866179198026657
scene0598_01,8,Sonata linear,2291,2733,2240,26,0.10170473903417587
scene0598_01,8,Utonia,1417,2298,1354,30,0.07420508563518524
scene0598_01,8,PTv3_supervised,3005,633,2978,40,0.13462038338184357
scene0598_01,16,Concerto decoder,1632,2871,1552,29,0.1718328446149826
scene0598_01,16,Sonata linear,2291,2733,2238,46,0.19523552060127258
scene0598_01,16,Utonia,1417,2298,1336,68,0.175330251455307
scene0598_01,16,PTv3_supervised,3005,633,2968,45,0.2265123873949051
scene0583_01,4,Concerto decoder,2197,3325,2035,88,0.06570246815681458
scene0583_01,4,Sonata linear,1496,6951,1258,93,0.0425063893198967
scene0583_01,4,Utonia,1587,6695,1376,107,0.04328354448080063
scene0583_01,4,PTv3_supervised,1390,9563,1291,43,0.04720883071422577
scene0583_01,8,Concerto decoder,2197,3325,1893,123,0.10338786244392395
scene0583_01,8,Sonata linear,1496,6951,1125,146,0.07335546612739563
scene0583_01,8,Utonia,1587,6695,1247,125,0.07101082801818848
scene0583_01,8,PTv3_supervised,1390,9563,1266,57,0.08993914723396301
scene0583_01,16,Concerto decoder,2197,3325,1846,251,0.17316050827503204
scene0583_01,16,Sonata linear,1496,6951,977,206,0.1353302299976349
scene0583_01,16,Utonia,1587,6695,1053,266,0.11204194277524948
scene0583_01,16,PTv3_supervised,1390,9563,1241,115,0.16743065416812897
