variant,mIoU,mAcc,allAcc,weak_mean_iou,picture_iou,picture_to_wall
point_oracle_all,0.9005839091956819,0.9420200417466902,0.9687457341693474,0.8414054314410129,0.6427444933148753,0.28391550409271027
region_defer_oracle_s16::Concerto decoder,0.8416412597175391,0.9102952246632933,0.9458784850634544,0.7622460124664637,0.5139821458752668,0.3439274592416193
region_defer_oracle_s16::PTv3_supervised,0.8346479541381189,0.8984333299148799,0.9442347485110109,0.7510196341354837,0.5008260271856043,0.3801351703126657
region_defer_oracle_s16::Sonata linear,0.8340712261707768,0.9017430608022454,0.9439878494093289,0.7508290094314469,0.48382951797173107,0.3887399851524764
region_defer_oracle_s16::Utonia,0.8427501329664514,0.9087275920572889,0.9459172241707281,0.7630128511516526,0.5405750748009934,0.3321313909430106
region_defer_oracle_s4::Concerto decoder,0.8479321139111811,0.9131066953147349,0.9479067978326389,0.7693150672861322,0.5241729983374507,0.3386536959728502
region_defer_oracle_s4::PTv3_supervised,0.83829992884439,0.9006646624279803,0.9458370983193526,0.7564495615131526,0.508917426788286,0.3769680199766682
region_defer_oracle_s4::Sonata linear,0.8409414591366705,0.905399948697062,0.946772215777162,0.7600939619472202,0.4961571070844094,0.3834999662556281
region_defer_oracle_s4::Utonia,0.8497060895299098,0.9127594918858778,0.9487088924422343,0.77321743769859,0.5541945436895548,0.32618274023582494
region_defer_oracle_s8::Concerto decoder,0.8453349272557169,0.9118996308465892,0.9470145442215828,0.7664995928803805,0.519762058549377,0.3417244338176454
region_defer_oracle_s8::PTv3_supervised,0.8368413715700083,0.8996936279392619,0.9451336908887905,0.7542147596045429,0.5056162774492821,0.3780719430009352
region_defer_oracle_s8::Sonata linear,0.837943078279584,0.9037220509498767,0.9455146440235562,0.7557982164430868,0.4905726202235914,0.3866189103460244
region_defer_oracle_s8::Utonia,0.8464355487958606,0.9108672593725938,0.9474063108625516,0.7685943441716786,0.5477664688154138,0.3297837467822331
region_oracle_all_s16,0.8788977398870849,0.9304861099339107,0.9605814812463425,0.8120961255603303,0.5987647265507591,0.30800416501961997
region_oracle_all_s4,0.889250729678279,0.9358101772084065,0.9642882842850714,0.8263360281745715,0.6196828571305422,0.2977314140820085
region_oracle_all_s8,0.8845525257117887,0.9334199344620846,0.9626107973305355,0.8195591761557156,0.609077948796749,0.3030582042209389
single::Concerto fullFT,0.7969183262741323,0.8778517139312345,0.9275823391364144,0.701354387358596,0.42957930493859403,0.4014953577385486
