scene,region_size,expert,desired_B_points,danger_A_points,desired_in_defer_region,danger_in_defer_region,defer_point_frac
scene0685_00,4,Concerto decoder,947,2924,857,46,0.03256014734506607
scene0685_00,4,Sonata linear,826,5159,675,60,0.02692742832005024
scene0685_00,4,Utonia,1221,4569,1042,85,0.031160714104771614
scene0685_00,4,PTv3_supervised,1350,2335,1248,43,0.04211127758026123
scene0685_00,8,Concerto decoder,947,2924,808,84,0.060257263481616974
scene0685_00,8,Sonata linear,826,5159,603,60,0.044385358691215515
scene0685_00,8,Utonia,1221,4569,963,99,0.051125962287187576
scene0685_00,8,PTv3_supervised,1350,2335,1229,58,0.08138870447874069
scene0685_00,16,Concerto decoder,947,2924,663,40,0.09210602939128876
scene0685_00,16,Sonata linear,826,5159,513,100,0.07695716619491577
scene0685_00,16,Utonia,1221,4569,795,117,0.07651401311159134
scene0685_00,16,PTv3_supervised,1350,2335,1225,89,0.15749454498291016
scene0663_02,4,Concerto decoder,160,662,131,3,0.011548821814358234
scene0663_02,4,Sonata linear,248,5041,207,22,0.013670033775269985
scene0663_02,4,Utonia,198,2136,154,13,0.01164983119815588
scene0663_02,4,PTv3_supervised,273,735,239,7,0.02134680189192295
scene0663_02,8,Concerto decoder,160,662,120,8,0.024511784315109253
scene0663_02,8,Sonata linear,248,5041,179,27,0.023367002606391907
scene0663_02,8,Utonia,198,2136,123,13,0.020370369777083397
scene0663_02,8,PTv3_supervised,273,735,221,23,0.045185185968875885
scene0663_02,16,Concerto decoder,160,662,96,13,0.046700336039066315
scene0663_02,16,Sonata linear,248,5041,125,20,0.03973063826560974
scene0663_02,16,Utonia,198,2136,86,16,0.03488215431571007
scene0663_02,16,PTv3_supervised,273,735,215,45,0.10996633023023605
scene0357_00,4,Concerto decoder,411,4528,339,12,0.023247849196195602
scene0357_00,4,Sonata linear,5208,4408,5119,24,0.12250448018312454
scene0357_00,4,Utonia,1762,4974,1713,14,0.049416787922382355
scene0357_00,4,PTv3_supervised,639,5520,575,21,0.03281693905591965
scene0357_00,8,Concerto decoder,411,4528,318,19,0.04438042640686035
scene0357_00,8,Sonata linear,5208,4408,5085,43,0.14297226071357727
scene0357_00,8,Utonia,1762,4974,1700,38,0.07201998680830002
scene0357_00,8,PTv3_supervised,639,5520,548,26,0.05533955246210098
scene0357_00,16,Concerto decoder,411,4528,298,57,0.07590805739164352
scene0357_00,16,Sonata linear,5208,4408,5072,132,0.21855798363685608
scene0357_00,16,Utonia,1762,4974,1674,48,0.12165836989879608
scene0357_00,16,PTv3_supervised,639,5520,526,30,0.10064666718244553
scene0193_01,4,Concerto decoder,1467,1662,1318,99,0.042934052646160126
scene0193_01,4,Sonata linear,5687,3310,5463,119,0.08067740499973297
scene0193_01,4,Utonia,2731,3107,2522,143,0.05280434340238571
scene0193_01,4,PTv3_supervised,774,1213,625,82,0.02785034477710724
