scene,region_size,expert,desired_B_points,danger_A_points,desired_in_defer_region,danger_in_defer_region,defer_point_frac
scene0685_00,4,Sonata linear,1807,4450,1692,44,0.04626293107867241
scene0685_00,4,Utonia,2299,3691,2144,74,0.05369158834218979
scene0685_00,4,Concerto fullFT,2774,865,2685,73,0.07160433381795883
scene0685_00,4,PTv3_supervised,2903,1979,2827,71,0.07633908092975616
scene0685_00,8,Sonata linear,1807,4450,1637,80,0.0684322863817215
scene0685_00,8,Utonia,2299,3691,2057,96,0.07554607093334198
scene0685_00,8,Concerto fullFT,2774,865,2667,117,0.11580310016870499
scene0685_00,8,PTv3_supervised,2903,1979,2807,89,0.12443293631076813
scene0685_00,16,Sonata linear,1807,4450,1615,127,0.11083511263132095
scene0685_00,16,Utonia,2299,3691,1953,135,0.10224025696516037
scene0685_00,16,Concerto fullFT,2774,865,2686,222,0.20057377219200134
scene0685_00,16,PTv3_supervised,2903,1979,2807,139,0.21601417660713196
scene0663_02,4,Sonata linear,439,4765,407,31,0.024713804945349693
scene0663_02,4,Utonia,429,1747,397,23,0.025151515379548073
scene0663_02,4,Concerto fullFT,635,162,609,11,0.04020202159881592
scene0663_02,4,PTv3_supervised,620,609,593,8,0.04181818291544914
scene0663_02,8,Sonata linear,439,4765,403,56,0.0469696968793869
scene0663_02,8,Utonia,429,1747,383,43,0.05111110955476761
scene0663_02,8,Concerto fullFT,635,162,611,27,0.08659932762384415
scene0663_02,8,PTv3_supervised,620,609,561,18,0.07855218648910522
scene0663_02,16,Sonata linear,439,4765,319,36,0.07340067625045776
scene0663_02,16,Utonia,429,1747,342,51,0.09936027228832245
scene0663_02,16,Concerto fullFT,635,162,609,50,0.22067339718341827
scene0663_02,16,PTv3_supervised,620,609,539,33,0.1880808025598526
