variant,mIoU,mAcc,allAcc,weak_mean_iou,picture_iou,wall_iou,counter_iou,cabinet_iou,door_iou,picture_to_wall
single::Concerto fullFT,0.46552140492285704,0.5128969433143095,0.9031130249279024,0.363809697128285,0.9389485585075783,0.9069197404869506,0.0,0.2871152469577646,0.8565517868509556,0.015938606847697757
cv_residual_kl0.1_safe4,0.4652849112154698,0.5125756042409549,0.902824635562754,0.364014315709488,0.9437180216031299,0.9066772321957165,0.0,0.28496591316827924,0.8551159618008147,0.01652892561983471
cv_residual_kl0_safe1,0.4652514712007945,0.5126533134844966,0.9028404377197484,0.36384802050477283,0.9421112372303665,0.9066738320566179,0.0,0.2854889589905342,0.8551937420411095,0.01652892561983471
cv_residual_kl0.03_safe1,0.46525070285600056,0.5125748818715344,0.9027969817880137,0.3639879818671724,0.9437180216031299,0.9066740742090011,0.0,0.28477153719245185,0.8552841090032263,0.01652892561983471
cv_residual_kl0_safe2,0.4652322130397124,0.5126015555355353,0.9028088334057596,0.36389723909957833,0.9426462237364598,0.9066200313331139,0.0,0.28519182502688933,0.8551423115395069,0.01652892561983471
cv_residual_kl0.03_safe2,0.4652230162382335,0.5126187879852169,0.9028720420337373,0.3638276014020737,0.941576857628988,0.9067219236724647,0.0,0.28535552844944906,0.8554923811689751,0.01652892561983471
cv_residual_kl0.1_safe2,0.4652005246659511,0.5126339633554695,0.902824635562754,0.3636865617153579,0.9410430839001734,0.9066299902540319,0.0,0.2852226285222608,0.8552715364322713,0.01652892561983471
cv_residual_kl0_safe4,0.46518741695936533,0.51257257884658,0.9028364871804998,0.36374949027199216,0.941576857628988,0.9066797821374566,0.0,0.2849045774142611,0.8554014100523045,0.01652892561983471
cv_residual_kl0.1_safe1,0.46515659342588317,0.5125507624965129,0.9028167344842568,0.3637796838857249,0.9421112372303665,0.9067609046114042,0.0,0.2848528356066024,0.8552517854705871,0.01652892561983471
cv_residual_kl0.03_safe4,0.4650852093795675,0.5125393083839056,0.9027772290917707,0.3636282755485104,0.9410430839001734,0.90667808219178,0.0,0.2846992966843671,0.8553236003092698,0.01652892561983471
avgprob_all,0.41648620792033847,0.4621494432750164,0.894512700983684,0.23176148082583342,0.09445100354190705,0.8912004146448255,0.0,0.1966400867074383,0.8685407569141155,0.8990554899645808
