variant,mIoU,delta_mIoU,mAcc,allAcc,weak_mean_iou,delta_weak_mean_iou,picture_iou,delta_picture_iou,picture_to_wall_frac,delta_picture_to_wall_frac,counter_iou,desk_iou,sink_iou,cabinet_iou,door_iou,shower_curtain_iou
tau0p25_nobias,0.77780984,0.00016871,0.87241414,0.91971660,0.67920126,-0.00040106,0.40254048,-0.00251522,0.45155754,0.01083194,0.68498209,0.70460935,0.70851206,0.72186607,0.75929016,0.77260860
tau0p25_bias,0.77777101,0.00012988,0.87214833,0.91976456,0.67914838,-0.00045394,0.40228958,-0.00276612,0.45311943,0.01239383,0.68545805,0.70489124,0.70780734,0.72155394,0.75926423,0.77277427
mix_crt_balanced_softmax_lam0p05,0.77770106,0.00005993,0.87930717,0.91937556,0.67955771,-0.00004462,0.40448907,-0.00056663,0.41461710,-0.02610850,0.68854400,0.70508805,0.70249180,0.72043265,0.75643030,0.77942807
tau0p5_bias,0.77768780,0.00004668,0.87005010,0.91967368,0.67842294,-0.00117938,0.39890180,-0.00615390,0.46593747,0.02521187,0.68245069,0.70469774,0.71080183,0.72192212,0.75923921,0.77094720
mix_crt_ce_lam0p05,0.77767181,0.00003069,0.87921278,0.91938821,0.67951539,-0.00008693,0.40440081,-0.00065489,0.41552338,-0.02520223,0.68881546,0.70512899,0.70246494,0.72053724,0.75639795,0.77886237
tau0p5_nobias,0.77765018,0.00000906,0.87027536,0.91959484,0.67838501,-0.00121732,0.39944647,-0.00560923,0.46411527,0.02338967,0.68214091,0.70415571,0.71078870,0.72234517,0.75911871,0.77069936
base_head,0.77764112,0.00000000,0.87408563,0.91976323,0.67960232,0.00000000,0.40505570,0.00000000,0.44072560,0.00000000,0.68788793,0.70518352,0.70502218,0.72096825,0.75921767,0.77388101
tau0p75_bias,0.77719131,-0.00044981,0.86769882,0.91947873,0.67694387,-0.00265846,0.39528402,-0.00977168,0.47871212,0.03798652,0.67870617,0.70410303,0.71043563,0.72240235,0.75906598,0.76860989
tau0p75_nobias,0.77713283,-0.00050829,0.86788356,0.91938422,0.67682164,-0.00278068,0.39563546,-0.00942023,0.47718880,0.03646320,0.67781522,0.70373444,0.71019817,0.72258469,0.75900118,0.76878235
tau1_bias,0.77655532,-0.00108580,0.86529880,0.91922127,0.67519273,-0.00440960,0.39082361,-0.01423209,0.49175191,0.05102631,0.67398474,0.70346618,0.71006979,0.72258624,0.75887073,0.76654779
tau1_nobias,0.77642934,-0.00121178,0.86542314,0.91908075,0.67502828,-0.00457405,0.39127868,-0.01377702,0.49014182,0.04941622,0.67313534,0.70301818,0.70980721,0.72267600,0.75868851,0.76659400
mix_crt_ce_lam0p1,0.77634541,-0.00129571,0.88319423,0.91821584,0.67779814,-0.00180418,0.39845999,-0.00659571,0.39232171,-0.04840389,0.68921438,0.70151660,0.70013375,0.71943822,0.75230833,0.78351573
mix_crt_balanced_softmax_lam0p1,0.77632352,-0.00131760,0.88333959,0.91815279,0.67780346,-0.00179887,0.39792658,-0.00712912,0.39052362,-0.05020198,0.68884071,0.70156897,0.70022017,0.71925289,0.75241473,0.78440016
base_logit_adjust_alpha0p25,0.77522748,-0.00241364,0.88457461,0.91848280,0.67789755,-0.00170477,0.40350250,-0.00155320,0.38910153,-0.05162407,0.69264567,0.70231125,0.69327642,0.71911438,0.75351402,0.78091863
mix_crt_ce_lam0p2,0.77069507,-0.00694605,0.88879525,0.91403820,0.67000884,-0.00959349,0.36922125,-0.03583444,0.35266725,-0.08805835,0.68911188,0.68813105,0.69393750,0.71564143,0.74223682,0.79178193
mix_crt_balanced_softmax_lam0p2,0.77064562,-0.00699550,0.88903124,0.91385509,0.66995261,-0.00964972,0.36714068,-0.03791502,0.34998216,-0.09074344,0.68888050,0.68793030,0.69422550,0.71516492,0.74268266,0.79364367
base_logit_adjust_alpha0p5,0.76781037,-0.00983075,0.89212624,0.91533822,0.66761470,-0.01198762,0.37765957,-0.02739612,0.34404797,-0.09667763,0.68753640,0.69622215,0.67749267,0.71538578,0.74391698,0.77508933
mix_crt_ce_lam0p4,0.75163025,-0.02601087,0.89315058,0.89982627,0.64360117,-0.03600116,0.27041262,-0.13464308,0.30304856,-0.13767704,0.68475520,0.64845002,0.67652189,0.69918268,0.72093492,0.80495083
mix_crt_balanced_softmax_lam0p4,0.75128865,-0.02635248,0.89339266,0.89908457,0.64297153,-0.03663079,0.26522609,-0.13982961,0.29993444,-0.14079116,0.68465350,0.64677385,0.67610490,0.69762757,0.72175627,0.80865855
base_logit_adjust_alpha1,0.73731141,-0.04032971,0.90029853,0.90138486,0.61908926,-0.06051306,0.24895230,-0.15610340,0.27557582,-0.16514978,0.65312194,0.67364640,0.61677705,0.70330346,0.71651932,0.72130435
crt_ce,0.66696242,-0.11067870,0.88351977,0.82355064,0.54249947,-0.13710285,0.10547032,-0.29958538,0.19047252,-0.25025308,0.63847721,0.51709937,0.53112736,0.54023240,0.65952592,0.80556372
crt_balanced_softmax,0.66573932,-0.11190180,0.88365251,0.81983369,0.54068771,-0.13891462,0.10338674,-0.30166895,0.18215694,-0.25856866,0.64551575,0.51216617,0.53049154,0.52608202,0.66273513,0.80443661
