variant,mIoU,delta_mIoU,mAcc,allAcc,weak_mean_iou,delta_weak_mean_iou,picture_iou,delta_picture_iou,picture_to_wall_frac,delta_picture_to_wall_frac,counter_iou,desk_iou,sink_iou,cabinet_iou,door_iou,shower_curtain_iou
base_head,0.41104211,0.00000000,0.47034563,0.87583455,0.29639013,0.00000000,0.67163355,0.00000000,0.02302243,0.00000000,0.00000000,0.40040445,0.00000000,0.19632649,0.80636641,0.00000000
crt_balanced_softmax,0.41063762,-0.00040448,0.47649077,0.87532098,0.28848746,-0.00790267,0.56611111,-0.10552244,0.02125148,-0.00177096,0.00000000,0.42501433,0.00000000,0.20834581,0.81994094,0.00000000
tau0p25_bias,0.40911189,-0.00193022,0.46877303,0.87513531,0.29390017,-0.00248996,0.65326633,-0.01836722,0.02597403,0.00295159,0.00000000,0.40192182,0.00000000,0.19652582,0.80558720,0.00000000
tau0p25_nobias,0.40896977,-0.00207233,0.46932441,0.87457038,0.29576749,-0.00062264,0.66573816,-0.00589539,0.02479339,0.00177096,0.00000000,0.40304430,0.00000000,0.19788746,0.80370252,0.00000000
crt_ce,0.40762871,-0.00341339,0.47411280,0.87417928,0.28352749,-0.01286264,0.53455964,-0.13707391,0.02361275,0.00059032,0.00000000,0.42604153,0.00000000,0.20498449,0.81910677,0.00000000
tau0p5_bias,0.40745791,-0.00358420,0.46752443,0.87442026,0.29194573,-0.00444440,0.64076577,-0.03086779,0.03010626,0.00708383,0.00000000,0.40312463,0.00000000,0.19550075,0.80422895,0.00000000
tau0p5_nobias,0.40710905,-0.00393306,0.46777973,0.87378817,0.29286380,-0.00352633,0.64699269,-0.02464086,0.02892562,0.00590319,0.00000000,0.40353157,0.00000000,0.19683194,0.80269038,0.00000000
base_logit_adjust_alpha0p25,0.40640799,-0.00463411,0.47285302,0.87003121,0.29863486,0.00224473,0.73067332,0.05903976,0.01298701,-0.01003542,0.00000000,0.37933279,0.00000000,0.17405242,0.80638550,0.00000000
tau0p75_bias,0.40543286,-0.00560925,0.46587424,0.87365780,0.28841660,-0.00797353,0.61712989,-0.05450366,0.03364817,0.01062574,0.00000000,0.40384729,0.00000000,0.19495846,0.80298059,0.00000000
tau0p75_nobias,0.40500076,-0.00604134,0.46612683,0.87304152,0.28988416,-0.00650597,0.62641723,-0.04521632,0.03364817,0.01062574,0.00000000,0.40513787,0.00000000,0.19623883,0.80139516,0.00000000
tau1_nobias,0.40286062,-0.00818148,0.46445825,0.87214080,0.28605988,-0.01033025,0.60216895,-0.06946460,0.03896104,0.01593861,0.00000000,0.40527677,0.00000000,0.19508289,0.79989058,0.00000000
tau1_bias,0.40279546,-0.00824665,0.46384997,0.87266227,0.28418474,-0.01220539,0.58961187,-0.08202168,0.03837072,0.01534829,0.00000000,0.40490617,0.00000000,0.19337121,0.80140389,0.00000000
base_logit_adjust_alpha0p5,0.38187912,-0.02916298,0.46020623,0.85302019,0.27434170,-0.02204843,0.65142617,-0.02020738,0.00885478,-0.01416765,0.00000000,0.32461377,0.00000000,0.14088953,0.80346241,0.00000000
base_logit_adjust_alpha1,0.26892233,-0.14211977,0.38022667,0.72486864,0.15076794,-0.14562219,0.11366503,-0.55796852,0.00295159,-0.02007084,0.00000000,0.22898616,0.00000000,0.00941704,0.70330735,0.00000000
