variant,mIoU,delta_mIoU,mAcc,allAcc,weak_mean_iou,delta_weak_mean_iou,picture_iou,delta_picture_iou,picture_to_wall_frac,delta_picture_to_wall_frac,counter_iou,desk_iou,sink_iou,cabinet_iou,door_iou,shower_curtain_iou
knn_k5_tau0p05_lam0p05,0.77851850,0.00019328,0.87640221,0.91978154,0.68122768,0.00040196,0.40992072,0.00021852,0.43074209,-0.00516771,0.68745392,0.70327882,0.70425152,0.72104919,0.75807809,0.78456148
knn_k5_tau0p1_lam0p05,0.77851833,0.00019311,0.87640263,0.91978106,0.68123255,0.00040683,0.40993240,0.00023021,0.43074209,-0.00516771,0.68747947,0.70327882,0.70423866,0.72104725,0.75807401,0.78457724
knn_k10_tau0p1_lam0p05,0.77850530,0.00018008,0.87640548,0.91977981,0.68121561,0.00038990,0.40993009,0.00022789,0.43074209,-0.00516771,0.68741908,0.70327144,0.70416414,0.72104304,0.75808729,0.78459422
knn_k10_tau0p05_lam0p05,0.77850523,0.00018001,0.87640495,0.91978045,0.68121448,0.00038877,0.40992647,0.00022428,0.43074209,-0.00516771,0.68740643,0.70327706,0.70416983,0.72104201,0.75808535,0.78459422
knn_k50_tau0p1_lam0p05,0.77850465,0.00017942,0.87639668,0.91978059,0.68122311,0.00039740,0.40995400,0.00025181,0.43072280,-0.00518699,0.68723318,0.70324099,0.70423036,0.72100556,0.75811989,0.78477781
knn_k20_tau0p1_lam0p05,0.77849967,0.00017445,0.87640041,0.91977853,0.68122208,0.00039637,0.40991858,0.00021639,0.43074209,-0.00516771,0.68745584,0.70326064,0.70413785,0.72102500,0.75808683,0.78466982
knn_k50_tau0p05_lam0p05,0.77849888,0.00017365,0.87639707,0.91977878,0.68121625,0.00039054,0.40994000,0.00023781,0.43072280,-0.00518699,0.68726826,0.70324528,0.70419053,0.72099261,0.75811181,0.78476527
knn_k20_tau0p05_lam0p05,0.77849861,0.00017339,0.87639929,0.91977908,0.68120906,0.00038335,0.40990968,0.00020749,0.43074209,-0.00516771,0.68744558,0.70324252,0.70412170,0.72104007,0.75808136,0.78462253
knn_k5_tau0p05_lam0p1,0.77849556,0.00017033,0.87786520,0.91959957,0.68121616,0.00039044,0.40985908,0.00015688,0.42483682,-0.01107297,0.68799008,0.70260568,0.70289419,0.72135318,0.75681563,0.78699526
knn_k5_tau0p1_lam0p1,0.77849205,0.00016683,0.87786564,0.91960030,0.68121917,0.00039345,0.40987487,0.00017268,0.42483682,-0.01107297,0.68799844,0.70259409,0.70288854,0.72134992,0.75682171,0.78700660
knn_k50_tau0p1_lam0p1,0.77849096,0.00016574,0.87786440,0.91960465,0.68128051,0.00045479,0.40989942,0.00019723,0.42484646,-0.01106333,0.68763148,0.70277735,0.70289255,0.72121768,0.75697735,0.78756773
knn_k50_tau0p05_lam0p1,0.77848554,0.00016032,0.87786169,0.91960281,0.68126660,0.00044088,0.40989290,0.00019071,0.42484164,-0.01106815,0.68765317,0.70276942,0.70288516,0.72119458,0.75697126,0.78749972
knn_k10_tau0p05_lam0p1,0.77848518,0.00015995,0.87787139,0.91960153,0.68123816,0.00041244,0.40985532,0.00015313,0.42485128,-0.01105851,0.68797044,0.70269578,0.70289267,0.72130709,0.75685537,0.78709041
knn_k20_tau0p05_lam0p1,0.77847875,0.00015353,0.87786484,0.91960314,0.68121705,0.00039133,0.40986366,0.00016146,0.42484646,-0.01106333,0.68780713,0.70273201,0.70273788,0.72131154,0.75689409,0.78717302
knn_k10_tau0p1_lam0p1,0.77847824,0.00015301,0.87786932,0.91960122,0.68122584,0.00040012,0.40984816,0.00014596,0.42486092,-0.01104887,0.68791560,0.70270546,0.70285489,0.72131095,0.75686914,0.78707666
knn_k20_tau0p1_lam0p1,0.77847468,0.00014946,0.87785978,0.91960289,0.68121597,0.00039025,0.40984787,0.00014567,0.42484164,-0.01106815,0.68776280,0.70275070,0.70271703,0.72130518,0.75691553,0.78721270
knn_adapt_k5_tau0p1_lam0p1,0.77840552,0.00008029,0.87584009,0.91982404,0.68101076,0.00018504,0.40981820,0.00011601,0.43302224,-0.00288755,0.68701400,0.70286260,0.70420485,0.72109823,0.75832393,0.78375350
knn_adapt_k5_tau0p05_lam0p1,0.77840462,0.00007940,0.87583992,0.91982376,0.68100659,0.00018087,0.40981457,0.00011237,0.43302224,-0.00288755,0.68701543,0.70285698,0.70419346,0.72109221,0.75831752,0.78375595
knn_adapt_k50_tau0p1_lam0p2,0.77840420,0.00007898,0.87674462,0.91976155,0.68104927,0.00022355,0.40966990,-0.00003229,0.43030823,-0.00560157,0.68699150,0.70239090,0.70321390,0.72129794,0.75789857,0.78588215
knn_adapt_k10_tau0p05_lam0p1,0.77840274,0.00007752,0.87584215,0.91982435,0.68100291,0.00017719,0.40982678,0.00012458,0.43301742,-0.00289237,0.68695077,0.70287074,0.70417398,0.72109088,0.75832542,0.78378180
knn_adapt_k50_tau0p1_lam0p1,0.77840218,0.00007696,0.87583929,0.91982262,0.68099612,0.00017040,0.40981808,0.00011589,0.43301742,-0.00289237,0.68686610,0.70287079,0.70409104,0.72100651,0.75835621,0.78396410
knn_adapt_k50_tau0p05_lam0p2,0.77840021,0.00007498,0.87674543,0.91975974,0.68103371,0.00020800,0.40966463,-0.00003756,0.43031305,-0.00559675,0.68699721,0.70237875,0.70312651,0.72129452,0.75787118,0.78590319
knn_adapt_k10_tau0p1_lam0p1,0.77839996,0.00007473,0.87583877,0.91982295,0.68099891,0.00017319,0.40982529,0.00012309,0.43301742,-0.00289237,0.68694290,0.70287686,0.70416919,0.72107028,0.75832601,0.78378180
knn_adapt_k20_tau0p1_lam0p1,0.77839887,0.00007364,0.87584036,0.91982368,0.68099294,0.00016723,0.40979474,0.00009255,0.43303188,-0.00287791,0.68693433,0.70288895,0.70410928,0.72105294,0.75832954,0.78384083
knn_adapt_k50_tau0p05_lam0p1,0.77839813,0.00007291,0.87583862,0.91982170,0.68099036,0.00016464,0.40980915,0.00010695,0.43301742,-0.00289237,0.68687038,0.70285861,0.70409343,0.72101776,0.75835057,0.78393259
knn_adapt_k20_tau0p05_lam0p1,0.77839743,0.00007221,0.87583843,0.91982329,0.68098977,0.00016405,0.40979540,0.00009320,0.43303188,-0.00287791,0.68694722,0.70288306,0.70408980,0.72105668,0.75833035,0.78382584
knn_adapt_k20_tau0p1_lam0p2,0.77838998,0.00006476,0.87674395,0.91976013,0.68097797,0.00015225,0.40963041,-0.00007178,0.43033715,-0.00557264,0.68707753,0.70229761,0.70302430,0.72135625,0.75784651,0.78561316
knn_adapt_k20_tau0p05_lam0p2,0.77838831,0.00006308,0.87674311,0.91976069,0.68097225,0.00014653,0.40963337,-0.00006882,0.43033715,-0.00557264,0.68706250,0.70230195,0.70300970,0.72136096,0.75783787,0.78559940
knn_adapt_k5_tau0p05_lam0p2,0.77838408,0.00005886,0.87673508,0.91975835,0.68093925,0.00011353,0.40966702,-0.00003517,0.43036126,-0.00554854,0.68706286,0.70226841,0.70298984,0.72134603,0.75780297,0.78543760
knn_adapt_k5_tau0p1_lam0p2,0.77838221,0.00005699,0.87673717,0.91975843,0.68094176,0.00011604,0.40965666,-0.00004553,0.43036126,-0.00554854,0.68705117,0.70225670,0.70300116,0.72135670,0.75780844,0.78546146
knn_adapt_k10_tau0p05_lam0p2,0.77837488,0.00004965,0.87673672,0.91975804,0.68092786,0.00010214,0.40961805,-0.00008414,0.43033233,-0.00557746,0.68694534,0.70227921,0.70294869,0.72133999,0.75782176,0.78554195
knn_adapt_k10_tau0p1_lam0p2,0.77837443,0.00004921,0.87673650,0.91975818,0.68093140,0.00010568,0.40961083,-0.00009137,0.43032751,-0.00558228,0.68695918,0.70227861,0.70294717,0.72133777,0.75782161,0.78556460
