variant,mIoU,delta_mIoU,mAcc,allAcc,weak_mean_iou,delta_weak_mean_iou,picture_iou,delta_picture_iou,picture_to_wall_frac,delta_picture_to_wall_frac,counter_iou,desk_iou,sink_iou,cabinet_iou,door_iou,shower_curtain_iou
subcenter_tau0p1_lam0p4,0.77877109,0.00110944,0.87742355,0.91942330,0.68090199,0.00167209,0.40597896,0.00165367,0.40958437,-0.02519740,0.68995674,0.70137834,0.70117918,0.71853699,0.75769178,0.79159196
subcenter_tau0p1_lam0p2,0.77851569,0.00085404,0.87597776,0.91979748,0.68050307,0.00127317,0.40546044,0.00113515,0.42389680,-0.01088497,0.68888246,0.70274410,0.70424278,0.71967943,0.75835394,0.78415836
subcenter_tau0p05_lam0p2,0.77848436,0.00082271,0.87804701,0.91966368,0.68060023,0.00137032,0.40523151,0.00090622,0.41418324,-0.02059853,0.68943303,0.70225123,0.70257343,0.71958842,0.75731136,0.78781260
subcenter_tau0p2_lam0p4,0.77843532,0.00077367,0.87371328,0.91963831,0.68009330,0.00086340,0.40497104,0.00064574,0.43115184,-0.00362993,0.68738367,0.70269022,0.70460182,0.71886580,0.75898719,0.78315337
subcenter_adapt_tau0p1_lam0p4,0.77827989,0.00061824,0.87548227,0.91981852,0.67994893,0.00071903,0.40437900,0.00005371,0.42977796,-0.00500381,0.68779218,0.70253355,0.70428803,0.71905622,0.75832407,0.78326949
subcenter_adapt_tau0p05_lam0p4,0.77822731,0.00056566,0.87671919,0.91977084,0.67990156,0.00067166,0.40335775,-0.00096754,0.42493805,-0.00984372,0.68783633,0.70227764,0.70298507,0.71911277,0.75775111,0.78599025
subcenter_tau0p05_lam0p1,0.77822318,0.00056153,0.87626551,0.91979330,0.68017550,0.00094560,0.40496405,0.00063876,0.42539119,-0.00939058,0.68859005,0.70289623,0.70432673,0.71960849,0.75804510,0.78279789
subcenter_tau0p2_lam0p2,0.77814383,0.00048218,0.87433398,0.91981030,0.67977644,0.00054654,0.40457688,0.00025159,0.43340789,-0.00137388,0.68751601,0.70291226,0.70507518,0.71947649,0.75868032,0.78019796
subcenter_tau0p1_lam0p1,0.77812368,0.00046203,0.87522107,0.91981197,0.67992880,0.00069890,0.40486074,0.00053544,0.42991776,-0.00486401,0.68815058,0.70269656,0.70489107,0.71957021,0.75842480,0.78090767
subcenter_adapt_tau0p2_lam0p4,0.77804804,0.00038639,0.87448627,0.91981141,0.67952888,0.00029898,0.40424098,-0.00008432,0.43427078,-0.00051099,0.68726081,0.70271253,0.70498463,0.71907114,0.75854516,0.77988693
subcenter_adapt_tau0p05_lam0p2,0.77801317,0.00035152,0.87561424,0.91980107,0.67969659,0.00046669,0.40429042,-0.00003487,0.43016361,-0.00461816,0.68767511,0.70247236,0.70431961,0.71925782,0.75813513,0.78172572
subcenter_adapt_tau0p1_lam0p2,0.77797475,0.00031310,0.87498450,0.91980241,0.67959815,0.00036825,0.40435697,0.00003168,0.43238110,-0.00240067,0.68754417,0.70248867,0.70491524,0.71928912,0.75835375,0.78023915
subcenter_tau0p05_lam0p05,0.77792815,0.00026650,0.87534498,0.91979255,0.67968653,0.00045663,0.40477352,0.00044822,0.43043357,-0.00434820,0.68790585,0.70256989,0.70484392,0.71953558,0.75825192,0.77992506
subcenter_tau0p2_lam0p1,0.77789505,0.00023340,0.87443541,0.91980330,0.67946740,0.00023749,0.40441434,0.00008904,0.43411652,-0.00066525,0.68733266,0.70268517,0.70507548,0.71949583,0.75851726,0.77875104
subcenter_tau0p1_lam0p05,0.77787714,0.00021549,0.87485827,0.91979352,0.67955155,0.00032165,0.40455911,0.00023382,0.43249197,-0.00228980,0.68757381,0.70257955,0.70511979,0.71951534,0.75837439,0.77913889
subcenter_adapt_tau0p2_lam0p2,0.77785116,0.00018951,0.87450634,0.91979645,0.67936025,0.00013035,0.40429072,-0.00003457,0.43448289,-0.00029888,0.68718227,0.70260818,0.70505167,0.71925677,0.75844515,0.77868700
subcenter_adapt_tau0p05_lam0p1,0.77784196,0.00018031,0.87505183,0.91978995,0.67948033,0.00025043,0.40430996,-0.00001533,0.43257392,-0.00220785,0.68740975,0.70248541,0.70492999,0.71936435,0.75825143,0.77961144
subcenter_adapt_tau0p1_lam0p1,0.77781555,0.00015390,0.87474593,0.91979341,0.67939818,0.00016828,0.40432418,-0.00000111,0.43359590,-0.00118587,0.68734181,0.70250588,0.70510679,0.71938957,0.75833349,0.77878556
subcenter_tau0p2_lam0p05,0.77777345,0.00011180,0.87448485,0.91979238,0.67933895,0.00010905,0.40436778,0.00004248,0.43446843,-0.00031334,0.68723244,0.70264304,0.70519321,0.71944436,0.75843344,0.77805836
subcenter_adapt_tau0p2_lam0p1,0.77776485,0.00010320,0.87452414,0.91979352,0.67931312,0.00008322,0.40433231,0.00000702,0.43461787,-0.00016390,0.68726972,0.70252686,0.70526478,0.71937900,0.75839455,0.77802461
subcenter_adapt_tau0p05_lam0p05,0.77776026,0.00009861,0.87478909,0.91978834,0.67936787,0.00013797,0.40431132,-0.00001398,0.43368267,-0.00109910,0.68737071,0.70250015,0.70513392,0.71947397,0.75827736,0.77850767
subcenter_adapt_tau0p1_lam0p05,0.77775872,0.00009707,0.87464808,0.91979110,0.67936687,0.00013696,0.40439961,0.00007432,0.43415509,-0.00062668,0.68737377,0.70249318,0.70531499,0.71943252,0.75834829,0.77820571
subcenter_adapt_tau0p2_lam0p05,0.77772235,0.00006070,0.87453387,0.91978725,0.67928862,0.00005872,0.40435425,0.00002896,0.43470946,-0.00007231,0.68723335,0.70248520,0.70535446,0.71940178,0.75837344,0.77781788
base,0.77766165,0.00000000,0.87452699,0.91977805,0.67922990,0.00000000,0.40432529,0.00000000,0.43478177,0.00000000,0.68717570,0.70244946,0.70534490,0.71940629,0.75835302,0.77755466
subcenter_tau0p05_lam0p4,0.77751440,-0.00014725,0.88202399,0.91854392,0.67867282,-0.00055708,0.39495960,-0.00936569,0.38380849,-0.05097328,0.69050028,0.69720562,0.69858659,0.71761587,0.75344970,0.79839209
