variant,mIoU,delta_mIoU,mAcc,allAcc,weak_mean_iou,delta_weak_mean_iou,picture_iou,delta_picture_iou,picture_to_wall_frac,delta_picture_to_wall_frac,counter_iou,desk_iou,sink_iou,cabinet_iou,door_iou,shower_curtain_iou
subcenter_tau0p1_lam0p4,0.42198913,0.00956722,0.48268544,0.88267689,0.30627311,0.01253284,0.70127119,0.04003523,0.02066116,-0.00708383,0.00000000,0.41841031,0.00000000,0.23275625,0.79147404,0.00000000
subcenter_tau0p05_lam0p4,0.42036088,0.00793896,0.48390921,0.88221467,0.30393777,0.01019750,0.68933539,0.02809944,0.01711924,-0.01062574,0.00000000,0.41743504,0.00000000,0.22995294,0.79084104,0.00000000
subcenter_tau0p2_lam0p4,0.41962876,0.00720685,0.47810466,0.88080038,0.30461748,0.01087721,0.70400879,0.04277283,0.02361275,-0.00413223,0.00000000,0.41335493,0.00000000,0.22275963,0.79219903,0.00000000
subcenter_tau0p05_lam0p2,0.41641380,0.00399189,0.47614965,0.87931893,0.30020217,0.00646190,0.68986301,0.02862706,0.02184179,-0.00590319,0.00000000,0.40324049,0.00000000,0.21106287,0.79724886,0.00000000
subcenter_tau0p1_lam0p2,0.41593698,0.00351507,0.47502065,0.87899498,0.29932725,0.00558698,0.68461538,0.02337943,0.02302243,-0.00472255,0.00000000,0.40375189,0.00000000,0.20859126,0.79833221,0.00000000
subcenter_tau0p2_lam0p2,0.41498504,0.00256312,0.47319970,0.87844191,0.29777891,0.00403864,0.67684620,0.01561024,0.02479339,-0.00295159,0.00000000,0.40309192,0.00000000,0.20595440,0.79855985,0.00000000
subcenter_adapt_tau0p05_lam0p4,0.41472947,0.00230756,0.47395975,0.87842215,0.29759345,0.00385318,0.68083932,0.01960336,0.02420307,-0.00354191,0.00000000,0.40068308,0.00000000,0.20530554,0.79632624,0.00000000
subcenter_adapt_tau0p1_lam0p4,0.41453411,0.00211220,0.47331262,0.87823253,0.29719196,0.00345169,0.67809735,0.01686139,0.02479339,-0.00295159,0.00000000,0.40114888,0.00000000,0.20231704,0.79878049,0.00000000
subcenter_tau0p05_lam0p1,0.41414694,0.00172502,0.47305688,0.87811401,0.29653682,0.00279655,0.67331118,0.01207523,0.02420307,-0.00354191,0.00000000,0.39989255,0.00000000,0.20186720,0.80068682,0.00000000
subcenter_tau0p1_lam0p1,0.41406195,0.00164003,0.47259621,0.87801525,0.29626353,0.00252325,0.67203108,0.01079512,0.02479339,-0.00295159,0.00000000,0.40007157,0.00000000,0.20104463,0.80069740,0.00000000
