method,variant,kind,observed_keep_frac,repeats,mIoU,delta_mIoU,allAcc,weak_mean_iou,delta_weak_mean_iou,picture_iou,delta_picture_iou,wall_iou,floor_iou,picture_to_wall,delta_picture_to_wall
majority,clean_voxel,clean,1.0,312,0.015050460345729197,0.0,0.30100920691458394,0.0,0.0,0.0,0.0,0.30100920691458394,0.0,1.0,0.0
majority,random_keep0p5,random_drop,0.4998725032768188,312,0.015052289816012896,1.8294702836992027e-06,0.3010457963202579,0.0,0.0,0.0,0.0,0.3010457963202579,0.0,1.0,0.0
majority,random_keep0p3,random_drop,0.29997821773091954,312,0.015048330407100857,-2.129938628340003e-06,0.30096660814201714,0.0,0.0,0.0,0.0,0.30096660814201714,0.0,1.0,0.0
majority,random_keep0p2,random_drop,0.20000177402144823,312,0.015056326249895616,5.86590416641955e-06,0.3011265249979123,0.0,0.0,0.0,0.0,0.3011265249979123,0.0,1.0,0.0
majority,random_keep0p1,random_drop,0.09994169276876327,312,0.015039576796795243,-1.0883548933953574e-05,0.30079153593590485,0.0,0.0,0.0,0.0,0.30079153593590485,0.0,1.0,0.0
majority,structured_b64_keep0p5,structured_drop,0.501244387207314,312,0.015076480890221986,2.602054449278926e-05,0.3015296178044397,0.0,0.0,0.0,0.0,0.3015296178044397,0.0,1.0,0.0
majority,structured_b64_keep0p2,structured_drop,0.20133840288550486,312,0.014629410354671062,-0.0004210499910581346,0.29258820709342126,0.0,0.0,0.0,0.0,0.29258820709342126,0.0,1.0,0.0
majority,feature_zero1p0,feature_zero,1.0,312,0.015050460345729197,0.0,0.30100920691458394,0.0,0.0,0.0,0.0,0.30100920691458394,0.0,1.0,0.0
coord_mlp,clean_voxel,clean,1.0,312,0.07072936601472946,0.0,0.3061165432245753,0.02197608803173365,0.0,0.007007514637407217,0.0,0.17781876191879267,0.6644681362334683,0.19540921365738884,0.0
coord_mlp,random_keep0p5,random_drop,0.4998725032768188,312,0.07105308555317065,0.0003237195384411945,0.30778160314801223,0.02205187500166719,7.578696993353756e-05,0.00691267766704786,-9.483697035935629e-05,0.1789075081162567,0.6677073855657036,0.19512162559077195,-0.00028758806661688396
coord_mlp,random_keep0p3,random_drop,0.29997821773091954,312,0.07109769471189492,0.00036832869716546535,0.30859664067024395,0.021893102667118945,-8.298536461470718e-05,0.006636531396549669,-0.0003709832408575475,0.1796605243565924,0.6690104981210875,0.19408674837651543,-0.0013224652808734028
coord_mlp,random_keep0p2,random_drop,0.20000177402144823,312,0.07152089484989461,0.0007915288351651589,0.31018906586541417,0.022242421324459832,0.00026633329272618064,0.006994440316671346,-1.3074320735871094e-05,0.1804774209612362,0.6727214114951853,0.20121910375778687,0.005809890100398035
coord_mlp,random_keep0p1,random_drop,0.09994169276876327,312,0.0718871100581324,0.0011577440434029501,0.31245949037363224,0.022286477220768007,0.00031038918903435533,0.007628152969894185,0.0006206383324869683,0.18154765382018032,0.6776386555398204,0.19043489861259338,-0.004974315044795452
coord_mlp,structured_b64_keep0p5,structured_drop,0.501244387207314,312,0.07247239147551456,0.0017430254607850998,0.3154571523642048,0.02381751150814676,0.0018414234764131086,0.014292655275730815,0.007285140638323598,0.190858033999842,0.6747786739960286,0.229521128293008,0.03411191463561916
coord_mlp,structured_b64_keep0p2,structured_drop,0.20133840288550486,312,0.0702128647218815,-0.0005165012928479568,0.3172796735627014,0.023651068736006812,0.0016749807042731601,0.006897961269224855,-0.00010955336818236142,0.207774685844829,0.6607509189157712,0.30258008131625946,0.10717086765887063
coord_mlp,feature_zero1p0,feature_zero,1.0,312,0.07072936601472946,0.0,0.3061165432245753,0.02197608803173365,0.0,0.007007514637407217,0.0,0.17781876191879267,0.6644681362334683,0.19540921365738884,0.0
