method,variant,kind,observed_keep_frac,repeats,mIoU,delta_mIoU,allAcc,weak_mean_iou,delta_weak_mean_iou,picture_iou,delta_picture_iou,wall_iou,floor_iou,picture_to_wall,delta_picture_to_wall
majority,clean_voxel,clean,1.0,312,0.015050460345729197,0.0,0.30100920691458394,0.0,0.0,0.0,0.0,0.30100920691458394,0.0,1.0,0.0
majority,random_keep0p5,random_drop,0.4998952983281551,312,0.015056383493606721,5.923147877524154e-06,0.3011276698721344,0.0,0.0,0.0,0.0,0.3011276698721344,0.0,1.0,0.0
majority,random_keep0p3,random_drop,0.30004084415924853,312,0.015048363473593026,-2.096872136170616e-06,0.30096726947186053,0.0,0.0,0.0,0.0,0.30096726947186053,0.0,1.0,0.0
majority,random_keep0p2,random_drop,0.19996189870513403,312,0.015048303014980788,-2.157330748408723e-06,0.30096606029961576,0.0,0.0,0.0,0.0,0.30096606029961576,0.0,1.0,0.0
majority,random_keep0p1,random_drop,0.09992997505916999,312,0.015029849764522244,-2.0610581206953124e-05,0.30059699529044487,0.0,0.0,0.0,0.0,0.30059699529044487,0.0,1.0,0.0
majority,structured_b64_keep0p5,structured_drop,0.5022417709995539,312,0.014770103706922832,-0.0002803566388063644,0.29540207413845665,0.0,0.0,0.0,0.0,0.29540207413845665,0.0,1.0,0.0
majority,structured_b64_keep0p2,structured_drop,0.20547755993604183,312,0.01458411749387854,-0.0004663428518506575,0.2916823498775708,0.0,0.0,0.0,0.0,0.2916823498775708,0.0,1.0,0.0
majority,feature_zero1p0,feature_zero,1.0,312,0.015050460345729197,0.0,0.30100920691458394,0.0,0.0,0.0,0.0,0.30100920691458394,0.0,1.0,0.0
coord_mlp,clean_voxel,clean,1.0,312,0.07259255471197915,0.0,0.32978999843851836,0.018866481377983364,0.0,6.6747653819968186e-06,0.0,0.1993536302264412,0.6889115984507485,0.21623753375578192,0.0
coord_mlp,random_keep0p5,random_drop,0.4998952983281551,312,0.07273121939997114,0.00013866468799199339,0.3310077907082523,0.018851234710776616,-1.5246667206748193e-05,1.3425521917164512e-05,6.750756535167693e-06,0.20027577044626502,0.6913696037961852,0.21755150341563123,0.0013139696598493122
coord_mlp,random_keep0p3,random_drop,0.30004084415924853,312,0.07305620029745685,0.0004636455854777066,0.3325044089373185,0.01902378775844676,0.00015730638046339632,2.2234574763757592e-05,1.5559809381760773e-05,0.2013571988610258,0.6938412096077565,0.21835675627519543,0.002119222519413516
coord_mlp,random_keep0p2,random_drop,0.19996189870513403,312,0.07319351207008404,0.0006009573581048921,0.3333622773379077,0.01885981306442392,-6.668313559443639e-06,0.0,-6.6747653819968186e-06,0.20116443169676781,0.6958505937316232,0.22154267762850077,0.005305143872718854
coord_mlp,random_keep0p1,random_drop,0.09992997505916999,312,0.07351759235133384,0.0009250376393546977,0.33489202526624917,0.01917765459426249,0.0003111732162791245,0.0,-6.6747653819968186e-06,0.2027160815624728,0.6976921624665542,0.22626614036261458,0.010028606606832663
coord_mlp,structured_b64_keep0p5,structured_drop,0.5022417709995539,312,0.07426488330295106,0.001672328590971911,0.33914757669217427,0.01870530099701789,-0.0001611803809654748,0.0,-6.6747653819968186e-06,0.21561941171856114,0.6970547787483625,0.26559086653490066,0.04935333277911874
coord_mlp,structured_b64_keep0p2,structured_drop,0.20547755993604183,312,0.07491014788009834,0.002317593168119192,0.3451690782087468,0.018551421812185644,-0.00031505956579772065,0.0,-6.6747653819968186e-06,0.22890931434714806,0.6915119637091912,0.22643979057591623,0.010202256820134314
coord_mlp,feature_zero1p0,feature_zero,1.0,312,0.07259255471197915,0.0,0.32978999843851836,0.018866481377983364,0.0,6.6747653819968186e-06,0.0,0.1993536302264412,0.6889115984507485,0.21623753375578192,0.0
