dataset,scene,variant,kind,keep_ratio,fixed_count,base_points,masked_points,observed_keep_frac
s3dis,WC_1,clean_voxel,clean,1.0,0,180672,180672,1.0
s3dis,WC_1,random_keep0p2,random_drop,0.2,0,180672,36231,0.2005346715450287
s3dis,WC_1,random_keep0p1,random_drop,0.1,0,180672,18066,0.09999335557222366
s3dis,WC_1,fixed_points_8000,fixed_count_drop,1.0,8000,180672,8000,0.04427913576364517
s3dis,WC_1,fixed_points_4000,fixed_count_drop,1.0,4000,180672,4000,0.022139567881822586
s3dis,WC_1,structured_b64_keep0p2,structured_drop,0.2,0,180672,28281,0.15653227269649506
s3dis,WC_1,masked_model_keep0p2,masked_model_drop_raw,0.2,0,180672,21286,0.11345551805245861
s3dis,WC_2,clean_voxel,clean,1.0,0,161640,161640,1.0
s3dis,WC_2,random_keep0p2,random_drop,0.2,0,161640,32183,0.19910293817520142
s3dis,WC_2,random_keep0p1,random_drop,0.1,0,161640,16286,0.1007547602057457
s3dis,WC_2,fixed_points_8000,fixed_count_drop,1.0,8000,161640,8000,0.04949269816279411
s3dis,WC_2,fixed_points_4000,fixed_count_drop,1.0,4000,161640,4000,0.024746349081397057
s3dis,WC_2,structured_b64_keep0p2,structured_drop,0.2,0,161640,51477,0.3184669613838196
s3dis,WC_2,masked_model_keep0p2,masked_model_drop_raw,0.2,0,161640,8928,0.04946505271378368
s3dis,conferenceRoom_1,clean_voxel,clean,1.0,0,263531,263531,1.0
s3dis,conferenceRoom_1,random_keep0p2,random_drop,0.2,0,263531,52796,0.20034076273441315
s3dis,conferenceRoom_1,random_keep0p1,random_drop,0.1,0,263531,26342,0.09995788335800171
s3dis,conferenceRoom_1,fixed_points_8000,fixed_count_drop,1.0,8000,263531,8000,0.030356960371136665
s3dis,conferenceRoom_1,fixed_points_4000,fixed_count_drop,1.0,4000,263531,4000,0.015178480185568333
s3dis,conferenceRoom_1,structured_b64_keep0p2,structured_drop,0.2,0,263531,43027,0.16327111423015594
s3dis,conferenceRoom_1,masked_model_keep0p2,masked_model_drop_raw,0.2,0,263531,59120,0.22274078472326964
s3dis,conferenceRoom_2,clean_voxel,clean,1.0,0,489927,489927,1.0
s3dis,conferenceRoom_2,random_keep0p2,random_drop,0.2,0,489927,98298,0.2006380558013916
s3dis,conferenceRoom_2,random_keep0p1,random_drop,0.1,0,489927,49141,0.10030269622802734
s3dis,conferenceRoom_2,fixed_points_8000,fixed_count_drop,1.0,8000,489927,8000,0.0163289625197649
s3dis,conferenceRoom_2,fixed_points_4000,fixed_count_drop,1.0,4000,489927,4000,0.00816448125988245
s3dis,conferenceRoom_2,structured_b64_keep0p2,structured_drop,0.2,0,489927,90813,0.18536026775836945
s3dis,conferenceRoom_2,masked_model_keep0p2,masked_model_drop_raw,0.2,0,489927,31221,0.06170602026574668
s3dis,conferenceRoom_3,clean_voxel,clean,1.0,0,383319,383319,1.0
s3dis,conferenceRoom_3,random_keep0p2,random_drop,0.2,0,383319,76528,0.1996457278728485
s3dis,conferenceRoom_3,random_keep0p1,random_drop,0.1,0,383319,38448,0.10030288249254227
s3dis,conferenceRoom_3,fixed_points_8000,fixed_count_drop,1.0,8000,383319,8000,0.02087034471333027
s3dis,conferenceRoom_3,fixed_points_4000,fixed_count_drop,1.0,4000,383319,4000,0.010435172356665134
s3dis,conferenceRoom_3,structured_b64_keep0p2,structured_drop,0.2,0,383319,88087,0.2298007607460022
s3dis,conferenceRoom_3,masked_model_keep0p2,masked_model_drop_raw,0.2,0,383319,44157,0.11336511792516978
