dataset,scene,variant,kind,keep_ratio,fixed_count,base_points,masked_points,observed_keep_frac
scannet,scene0011_00,clean_voxel,clean,1.0,0,164772,164772,1.0
scannet,scene0011_00,random_keep0p2,random_drop,0.2,0,164772,32921,0.19979730248451233
scannet,scene0011_00,random_keep0p1,random_drop,0.1,0,164772,16658,0.10109727084636688
scannet,scene0011_00,fixed_points_8000,fixed_count_drop,1.0,8000,164772,8000,0.04855193942785263
scannet,scene0011_00,fixed_points_4000,fixed_count_drop,1.0,4000,164772,4000,0.024275969713926315
scannet,scene0011_00,structured_b64_keep0p2,structured_drop,0.2,0,164772,24180,0.14674822986125946
scannet,scene0011_00,masked_model_keep0p2,masked_model_drop_raw,0.2,0,164772,57317,0.3032777216043141
scannet,scene0011_01,clean_voxel,clean,1.0,0,163792,163792,1.0
scannet,scene0011_01,random_keep0p2,random_drop,0.2,0,163792,32868,0.20066913962364197
scannet,scene0011_01,random_keep0p1,random_drop,0.1,0,163792,16310,0.09957751631736755
scannet,scene0011_01,fixed_points_8000,fixed_count_drop,1.0,8000,163792,8000,0.04884243384003639
scannet,scene0011_01,fixed_points_4000,fixed_count_drop,1.0,4000,163792,4000,0.024421216920018196
scannet,scene0011_01,structured_b64_keep0p2,structured_drop,0.2,0,163792,23205,0.14167357981204987
scannet,scene0011_01,masked_model_keep0p2,masked_model_drop_raw,0.2,0,163792,23897,0.15251963337108848
scannet,scene0015_00,clean_voxel,clean,1.0,0,147944,147944,1.0
scannet,scene0015_00,random_keep0p2,random_drop,0.2,0,147944,29443,0.19901448488235474
scannet,scene0015_00,random_keep0p1,random_drop,0.1,0,147944,14810,0.10010544210672379
scannet,scene0015_00,fixed_points_8000,fixed_count_drop,1.0,8000,147944,8000,0.05407451465725899
scannet,scene0015_00,fixed_points_4000,fixed_count_drop,1.0,4000,147944,4000,0.027037257328629494
scannet,scene0015_00,structured_b64_keep0p2,structured_drop,0.2,0,147944,19494,0.13176608085632324
scannet,scene0015_00,masked_model_keep0p2,masked_model_drop_raw,0.2,0,147944,67055,0.4121822687782722
scannet,scene0019_00,clean_voxel,clean,1.0,0,92713,92713,1.0
scannet,scene0019_00,random_keep0p2,random_drop,0.2,0,92713,18628,0.20092111825942993
scannet,scene0019_00,random_keep0p1,random_drop,0.1,0,92713,9406,0.10145287215709686
scannet,scene0019_00,fixed_points_8000,fixed_count_drop,1.0,8000,92713,8000,0.08628778904676437
scannet,scene0019_00,fixed_points_4000,fixed_count_drop,1.0,4000,92713,4000,0.04314389452338219
scannet,scene0019_00,structured_b64_keep0p2,structured_drop,0.2,0,92713,20318,0.2191494107246399
scannet,scene0019_00,masked_model_keep0p2,masked_model_drop_raw,0.2,0,92713,18791,0.19704757657071412
scannet,scene0019_01,clean_voxel,clean,1.0,0,113300,113300,1.0
scannet,scene0019_01,random_keep0p2,random_drop,0.2,0,113300,22769,0.20096205174922943
scannet,scene0019_01,random_keep0p1,random_drop,0.1,0,113300,11371,0.10036186873912811
scannet,scene0019_01,fixed_points_8000,fixed_count_drop,1.0,8000,113300,8000,0.07060900330543518
scannet,scene0019_01,fixed_points_4000,fixed_count_drop,1.0,4000,113300,4000,0.03530450165271759
scannet,scene0019_01,structured_b64_keep0p2,structured_drop,0.2,0,113300,1686,0.014880847185850143
scannet,scene0019_01,masked_model_keep0p2,masked_model_drop_raw,0.2,0,113300,49035,0.41768064055734294
