dataset,scene,variant,kind,keep_ratio,fixed_count,base_points,masked_points,observed_keep_frac
scannet200,scene0011_00,clean_voxel,clean,1.0,0,164772,164772,1.0
scannet200,scene0011_00,random_keep0p2,random_drop,0.2,0,164772,33077,0.20074406266212463
scannet200,scene0011_00,random_keep0p1,random_drop,0.1,0,164772,16568,0.1005510613322258
scannet200,scene0011_00,fixed_points_8000,fixed_count_drop,1.0,8000,164772,8000,0.04855193942785263
scannet200,scene0011_00,fixed_points_4000,fixed_count_drop,1.0,4000,164772,4000,0.024275969713926315
scannet200,scene0011_00,structured_b64_keep0p2,structured_drop,0.2,0,164772,43545,0.2642742693424225
scannet200,scene0011_00,masked_model_keep0p2,masked_model_drop_raw,0.2,0,164772,21870,0.138907145264577
scannet200,scene0011_01,clean_voxel,clean,1.0,0,163792,163792,1.0
scannet200,scene0011_01,random_keep0p2,random_drop,0.2,0,163792,32725,0.19979608058929443
scannet200,scene0011_01,random_keep0p1,random_drop,0.1,0,163792,16500,0.10073751956224442
scannet200,scene0011_01,fixed_points_8000,fixed_count_drop,1.0,8000,163792,8000,0.04884243384003639
scannet200,scene0011_01,fixed_points_4000,fixed_count_drop,1.0,4000,163792,4000,0.024421216920018196
scannet200,scene0011_01,structured_b64_keep0p2,structured_drop,0.2,0,163792,28832,0.17602813243865967
scannet200,scene0011_01,masked_model_keep0p2,masked_model_drop_raw,0.2,0,163792,9586,0.05142919238822875
scannet200,scene0015_00,clean_voxel,clean,1.0,0,147944,147944,1.0
scannet200,scene0015_00,random_keep0p2,random_drop,0.2,0,147944,29446,0.19903476536273956
scannet200,scene0015_00,random_keep0p1,random_drop,0.1,0,147944,15008,0.10144378989934921
scannet200,scene0015_00,fixed_points_8000,fixed_count_drop,1.0,8000,147944,8000,0.05407451465725899
scannet200,scene0015_00,fixed_points_4000,fixed_count_drop,1.0,4000,147944,4000,0.027037257328629494
scannet200,scene0015_00,structured_b64_keep0p2,structured_drop,0.2,0,147944,18812,0.12715622782707214
scannet200,scene0015_00,masked_model_keep0p2,masked_model_drop_raw,0.2,0,147944,25279,0.17407386934210406
scannet200,scene0019_00,clean_voxel,clean,1.0,0,92713,92713,1.0
scannet200,scene0019_00,random_keep0p2,random_drop,0.2,0,92713,18655,0.2012123465538025
scannet200,scene0019_00,random_keep0p1,random_drop,0.1,0,92713,9299,0.10029876977205276
scannet200,scene0019_00,fixed_points_8000,fixed_count_drop,1.0,8000,92713,8000,0.08628778904676437
scannet200,scene0019_00,fixed_points_4000,fixed_count_drop,1.0,4000,92713,4000,0.04314389452338219
scannet200,scene0019_00,structured_b64_keep0p2,structured_drop,0.2,0,92713,7987,0.08614757657051086
scannet200,scene0019_00,masked_model_keep0p2,masked_model_drop_raw,0.2,0,92713,10163,0.10654461171756757
scannet200,scene0019_01,clean_voxel,clean,1.0,0,113300,113300,1.0
scannet200,scene0019_01,random_keep0p2,random_drop,0.2,0,113300,22538,0.19892321527004242
scannet200,scene0019_01,random_keep0p1,random_drop,0.1,0,113300,11220,0.09902912378311157
scannet200,scene0019_01,fixed_points_8000,fixed_count_drop,1.0,8000,113300,8000,0.07060900330543518
scannet200,scene0019_01,fixed_points_4000,fixed_count_drop,1.0,4000,113300,4000,0.03530450165271759
scannet200,scene0019_01,structured_b64_keep0p2,structured_drop,0.2,0,113300,22161,0.19559575617313385
scannet200,scene0019_01,masked_model_keep0p2,masked_model_drop_raw,0.2,0,113300,36892,0.29241152422651734
