dataset,scene,variant,kind,keep_ratio,fixed_count,base_points,masked_points,observed_keep_frac
s3dis,WC_1,clean_voxel,clean,1.0,0,180672,180672,1.0
s3dis,WC_1,random_keep0p2,random_drop,0.2,0,180672,36206,0.20039629936218262
s3dis,WC_1,random_keep0p1,random_drop,0.1,0,180672,18103,0.10019814968109131
s3dis,WC_1,fixed_points_4000,fixed_count_drop,1.0,4000,180672,4000,0.022139567881822586
s3dis,WC_1,masked_model_keep0p2,masked_model_drop_raw,0.2,0,180672,66877,0.3721981572201494
s3dis,WC_2,clean_voxel,clean,1.0,0,161640,161640,1.0
s3dis,WC_2,random_keep0p2,random_drop,0.2,0,161640,32544,0.2013363093137741
s3dis,WC_2,random_keep0p1,random_drop,0.1,0,161640,16428,0.10163325816392899
s3dis,WC_2,fixed_points_4000,fixed_count_drop,1.0,4000,161640,4000,0.024746349081397057
s3dis,WC_2,masked_model_keep0p2,masked_model_drop_raw,0.2,0,161640,50091,0.30729402577118314
s3dis,conferenceRoom_1,clean_voxel,clean,1.0,0,263531,263531,1.0
s3dis,conferenceRoom_1,random_keep0p2,random_drop,0.2,0,263531,52819,0.2004280388355255
s3dis,conferenceRoom_1,random_keep0p1,random_drop,0.1,0,263531,26304,0.09981368482112885
s3dis,conferenceRoom_1,fixed_points_4000,fixed_count_drop,1.0,4000,263531,4000,0.015178480185568333
s3dis,conferenceRoom_1,masked_model_keep0p2,masked_model_drop_raw,0.2,0,263531,10743,0.0402384984449489
s3dis,conferenceRoom_2,clean_voxel,clean,1.0,0,489927,489927,1.0
s3dis,conferenceRoom_2,random_keep0p2,random_drop,0.2,0,489927,98117,0.20026861131191254
s3dis,conferenceRoom_2,random_keep0p1,random_drop,0.1,0,489927,49124,0.10026799887418747
s3dis,conferenceRoom_2,fixed_points_4000,fixed_count_drop,1.0,4000,489927,4000,0.00816448125988245
s3dis,conferenceRoom_2,masked_model_keep0p2,masked_model_drop_raw,0.2,0,489927,61438,0.12297767792350744
s3dis,conferenceRoom_3,clean_voxel,clean,1.0,0,383319,383319,1.0
s3dis,conferenceRoom_3,random_keep0p2,random_drop,0.2,0,383319,76872,0.20054315030574799
s3dis,conferenceRoom_3,random_keep0p1,random_drop,0.1,0,383319,38293,0.09989851713180542
s3dis,conferenceRoom_3,fixed_points_4000,fixed_count_drop,1.0,4000,383319,4000,0.010435172356665134
s3dis,conferenceRoom_3,masked_model_keep0p2,masked_model_drop_raw,0.2,0,383319,32968,0.08304680985432909
