dataset,scene,variant,kind,keep_ratio,fixed_count,base_points,masked_points,observed_keep_frac
scannet,scene0011_00,clean_voxel,clean,1.0,0,164772,164772,1.0
scannet,scene0011_00,random_keep0p2,random_drop,0.2,0,164772,32995,0.2002463936805725
scannet,scene0011_00,random_keep0p1,random_drop,0.1,0,164772,16447,0.0998167172074318
scannet,scene0011_00,fixed_points_4000,fixed_count_drop,1.0,4000,164772,4000,0.024275969713926315
scannet,scene0011_00,masked_model_keep0p2,masked_model_drop_raw,0.2,0,164772,22486,0.13155544320862825
scannet,scene0011_01,clean_voxel,clean,1.0,0,163792,163792,1.0
scannet,scene0011_01,random_keep0p2,random_drop,0.2,0,163792,33049,0.20177419483661652
scannet,scene0011_01,random_keep0p1,random_drop,0.1,0,163792,16219,0.09902193397283554
scannet,scene0011_01,fixed_points_4000,fixed_count_drop,1.0,4000,163792,4000,0.024421216920018196
scannet,scene0011_01,masked_model_keep0p2,masked_model_drop_raw,0.2,0,163792,58235,0.30848320453396083
scannet,scene0015_00,clean_voxel,clean,1.0,0,147944,147944,1.0
scannet,scene0015_00,random_keep0p2,random_drop,0.2,0,147944,29762,0.20117071270942688
scannet,scene0015_00,random_keep0p1,random_drop,0.1,0,147944,14983,0.10127480328083038
scannet,scene0015_00,fixed_points_4000,fixed_count_drop,1.0,4000,147944,4000,0.027037257328629494
scannet,scene0015_00,masked_model_keep0p2,masked_model_drop_raw,0.2,0,147944,10639,0.07369890273900666
scannet,scene0019_00,clean_voxel,clean,1.0,0,92713,92713,1.0
scannet,scene0019_00,random_keep0p2,random_drop,0.2,0,92713,18525,0.19981016218662262
scannet,scene0019_00,random_keep0p1,random_drop,0.1,0,92713,9277,0.10006148368120193
scannet,scene0019_00,fixed_points_4000,fixed_count_drop,1.0,4000,92713,4000,0.04314389452338219
scannet,scene0019_00,masked_model_keep0p2,masked_model_drop_raw,0.2,0,92713,45118,0.47009190679174373
scannet,scene0019_01,clean_voxel,clean,1.0,0,113300,113300,1.0
scannet,scene0019_01,random_keep0p2,random_drop,0.2,0,113300,22647,0.1998852640390396
scannet,scene0019_01,random_keep0p1,random_drop,0.1,0,113300,11227,0.09909091144800186
scannet,scene0019_01,fixed_points_4000,fixed_count_drop,1.0,4000,113300,4000,0.03530450165271759
scannet,scene0019_01,masked_model_keep0p2,masked_model_drop_raw,0.2,0,113300,56842,0.4642649798011563
