dataset,scene,variant,kind,keep_ratio,fixed_count,base_points,masked_points,observed_keep_frac
scannet200,scene0011_00,clean_voxel,clean,1.0,0,164772,164772,1.0
scannet200,scene0011_00,random_keep0p2,random_drop,0.2,0,164772,32977,0.2001371532678604
scannet200,scene0011_00,random_keep0p1,random_drop,0.1,0,164772,16404,0.09955575317144394
scannet200,scene0011_00,fixed_points_4000,fixed_count_drop,1.0,4000,164772,4000,0.024275969713926315
scannet200,scene0011_00,masked_model_keep0p2,masked_model_drop_raw,0.2,0,164772,60842,0.3243596225143242
scannet200,scene0011_01,clean_voxel,clean,1.0,0,163792,163792,1.0
scannet200,scene0011_01,random_keep0p2,random_drop,0.2,0,163792,32898,0.20085230469703674
scannet200,scene0011_01,random_keep0p1,random_drop,0.1,0,163792,16406,0.10016362369060516
scannet200,scene0011_01,fixed_points_4000,fixed_count_drop,1.0,4000,163792,4000,0.024421216920018196
scannet200,scene0011_01,masked_model_keep0p2,masked_model_drop_raw,0.2,0,163792,20215,0.10996359624008928
scannet200,scene0015_00,clean_voxel,clean,1.0,0,147944,147944,1.0
scannet200,scene0015_00,random_keep0p2,random_drop,0.2,0,147944,29807,0.2014748752117157
scannet200,scene0015_00,random_keep0p1,random_drop,0.1,0,147944,14872,0.10052452236413956
scannet200,scene0015_00,fixed_points_4000,fixed_count_drop,1.0,4000,147944,4000,0.027037257328629494
scannet200,scene0015_00,masked_model_keep0p2,masked_model_drop_raw,0.2,0,147944,13577,0.08911214910219913
scannet200,scene0019_00,clean_voxel,clean,1.0,0,92713,92713,1.0
scannet200,scene0019_00,random_keep0p2,random_drop,0.2,0,92713,18320,0.19759903848171234
scannet200,scene0019_00,random_keep0p1,random_drop,0.1,0,92713,9250,0.09977025538682938
scannet200,scene0019_00,fixed_points_4000,fixed_count_drop,1.0,4000,92713,4000,0.04314389452338219
scannet200,scene0019_00,masked_model_keep0p2,masked_model_drop_raw,0.2,0,92713,16202,0.17242942479655476
scannet200,scene0019_01,clean_voxel,clean,1.0,0,113300,113300,1.0
scannet200,scene0019_01,random_keep0p2,random_drop,0.2,0,113300,22634,0.19977052509784698
scannet200,scene0019_01,random_keep0p1,random_drop,0.1,0,113300,11252,0.09931156039237976
scannet200,scene0019_01,fixed_points_4000,fixed_count_drop,1.0,4000,113300,4000,0.03530450165271759
scannet200,scene0019_01,masked_model_keep0p2,masked_model_drop_raw,0.2,0,113300,29652,0.23304264737898836
