method,score_space,variant,kind,keep_ratio,feature_zero_ratio,block_size,repeats,observed_keep_frac,mIoU,delta_mIoU,mAcc,allAcc,focus_iou,delta_focus_iou,confusion_iou,focus_to_confusion,delta_focus_to_confusion
ptv3_s3dis_v151_fullscene,retained,clean_voxel,clean,1.0,0.0,64,68,1.0,0.7051768372437481,0.0,0.7673041238037394,0.9035714585495086,0.8264360843927818,0.0,0.841933854078794,0.06619907845091176,0.0
ptv3_s3dis_v151_fullscene,retained,random_keep0p5,random_drop,0.5,0.0,64,68,0.5000684966935831,0.6470033052821366,-0.05817353196161157,0.7134050442258697,0.8803476401389961,0.7399339480889942,-0.08650213630378767,0.8067382289215572,0.12178615154400761,0.05558707309309585
ptv3_s3dis_v151_fullscene,retained,random_keep0p3,random_drop,0.3,0.0,64,68,0.30021973348715725,0.5548551001089372,-0.1503217371348109,0.6257323079683371,0.8337347612491656,0.6334043576878127,-0.19303172670496915,0.7384926424497672,0.3101307882644044,0.2439317098134926
ptv3_s3dis_v151_fullscene,retained,random_keep0p2,random_drop,0.2,0.0,64,68,0.19998017895747633,0.4512928218824641,-0.253884015361284,0.5288621869248314,0.7796729943224328,0.3332629400460365,-0.4931731443467453,0.6812085521778344,0.5528596554427752,0.4866605769918634
ptv3_s3dis_v151_fullscene,retained,random_keep0p1,random_drop,0.1,0.0,64,68,0.1000443261993282,0.22209686115610947,-0.48307997608763864,0.3136975529853502,0.4385822552705523,0.0023360516479782436,-0.8241000327448036,0.28889072510738045,0.2212874442319949,0.15508836578108315
ptv3_s3dis_v151_fullscene,retained,classwise_keep0p2,classwise_random_drop,0.2,0.0,64,68,0.19984100978164113,0.45356322815874495,-0.2516136090850032,0.5284191460328038,0.7808670635094214,0.3484628832132342,-0.4779732011795476,0.6828572755253661,0.548709284171354,0.48251020572044223
ptv3_s3dis_v151_fullscene,retained,structured_b64_keep0p5,structured_drop,0.5,0.0,64,68,0.48386570986579447,0.6616197099100781,-0.04355712733367001,0.7289642020146504,0.8873027888912598,0.7239681796911551,-0.1024679047016267,0.8221916446538855,0.11724117241172412,0.05104209396081236
ptv3_s3dis_v151_fullscene,retained,structured_b64_keep0p2,structured_drop,0.2,0.0,64,68,0.20383565062109163,0.6373896125709978,-0.06778722467275033,0.700531415700534,0.8718182749128673,0.7733119640329681,-0.05312412035981373,0.8006788032905993,0.15869416866621172,0.09249509021529996
ptv3_s3dis_v151_fullscene,retained,feature_zero1p0,feature_zero,1.0,1.0,64,68,1.0,0.11375686696089257,-0.5914199702828555,0.18454261544365,0.5400592586700604,0.0,-0.8264360843927818,0.48238238280446216,0.9978707276149594,0.9316716491640477
ptv3_s3dis_v151_fullscene,full_nn,clean_voxel,clean,1.0,0.0,64,68,1.0,0.7051768372437481,0.0,0.7673041238037394,0.9035714585495086,0.8264360843927818,0.0,0.841933854078794,0.06619907845091176,0.0
ptv3_s3dis_v151_fullscene,full_nn,random_keep0p5,random_drop,0.5,0.0,64,68,0.5000684966935831,0.6451866020920339,-0.0599902351517142,0.712368893187121,0.8790048716378583,0.7355428919933672,-0.09089319239941462,0.8044202797222131,0.12497551336757204,0.05877643491666028
ptv3_s3dis_v151_fullscene,full_nn,random_keep0p3,random_drop,0.3,0.0,64,68,0.30021973348715725,0.5514826257499559,-0.15369421149379225,0.6233081813541543,0.8311367727917347,0.6254570997665432,-0.20097898462623864,0.7359226313357881,0.31561778708979565,0.24941870863888388
ptv3_s3dis_v151_fullscene,full_nn,random_keep0p2,random_drop,0.2,0.0,64,68,0.19998017895747633,0.4444945466123149,-0.2606822906314332,0.5241898751689427,0.7731422783660588,0.3297243468864545,-0.4967117375063273,0.6766539067201645,0.5450809549360792,0.47888187648516745
ptv3_s3dis_v151_fullscene,full_nn,random_keep0p1,random_drop,0.1,0.0,64,68,0.1000443261993282,0.20435359159230326,-0.5008232456514449,0.2976006159339045,0.40235984448171497,0.0017751630425528286,-0.824660921350229,0.2554377128489502,0.1830748396657894,0.11687576121487765
ptv3_s3dis_v151_fullscene,full_nn,classwise_keep0p2,classwise_random_drop,0.2,0.0,64,68,0.19984100978164113,0.4467550515497371,-0.25842178569401103,0.5227289288660913,0.7745694847927196,0.3434020976945708,-0.483033986698211,0.6784566049181994,0.5429346483719584,0.4767355699210466
ptv3_s3dis_v151_fullscene,full_nn,structured_b64_keep0p5,structured_drop,0.5,0.0,64,68,0.48386570986579447,0.48373248485930603,-0.2214443523844421,0.5888058091867721,0.7769670816698829,0.46913333799119644,-0.3573027464015854,0.6703616739415866,0.2500745245334764,0.18387544608256462
ptv3_s3dis_v151_fullscene,full_nn,structured_b64_keep0p2,structured_drop,0.2,0.0,64,68,0.20383565062109163,0.28813902460008173,-0.4170378126436664,0.40402698561024636,0.5954708916840007,0.2643500474177862,-0.5620860369749956,0.47386835368175684,0.24231545596238854,0.1761163775114768
ptv3_s3dis_v151_fullscene,full_nn,feature_zero1p0,feature_zero,1.0,1.0,64,68,1.0,0.11375686696089257,-0.5914199702828555,0.18454261544365,0.5400592586700604,0.0,-0.8264360843927818,0.48238238280446216,0.9978707276149594,0.9316716491640477
