method,score_space,variant,kind,keep_ratio,feature_zero_ratio,block_size,repeats,observed_keep_frac,mIoU,delta_mIoU,mAcc,allAcc,focus_iou,delta_focus_iou,confusion_iou,focus_to_confusion,delta_focus_to_confusion
ptv3_scannet200_v151_fullscene,retained,clean_voxel,clean,1.0,0.0,64,312,1.0,0.34584174878107093,0.0,0.45976478903048124,0.8367550141070698,0.3770745272525026,0.0,0.8061221170348277,0.4595371905677266,0.0
ptv3_scannet200_v151_fullscene,retained,random_keep0p5,random_drop,0.5,0.0,64,312,0.49997846065805507,0.3323022970721298,-0.013539451708941108,0.4321415004837829,0.8359343985196117,0.35848534783761005,-0.018589179414892576,0.8056534050699861,0.5177315379080456,0.05819434734031903
ptv3_scannet200_v151_fullscene,retained,random_keep0p3,random_drop,0.3,0.0,64,312,0.30008050579673207,0.30108058393865583,-0.0447611648424151,0.3894437421236938,0.8255462947306411,0.31599912366308763,-0.06107540358941499,0.7912456320618574,0.5725772943908102,0.1130401038230836
ptv3_scannet200_v151_fullscene,retained,random_keep0p2,random_drop,0.2,0.0,64,312,0.19998730107759818,0.2668929087944455,-0.07894883998662544,0.34729077015525844,0.8118416192669469,0.24180608246781443,-0.1352684447846882,0.7655215297163122,0.6540273891915771,0.19449019862385053
ptv3_scannet200_v151_fullscene,retained,random_keep0p1,random_drop,0.1,0.0,64,312,0.09999374653666447,0.1593697384285095,-0.18647201035256145,0.21004595725089892,0.7529677816088698,0.08136908962596978,-0.29570543762653284,0.6906231887961485,0.8531238582389478,0.3935866676712212
ptv3_scannet200_v151_fullscene,retained,classwise_keep0p2,classwise_random_drop,0.2,0.0,64,312,0.19995483861137658,0.2645905151950303,-0.08125123358604064,0.3409716397074989,0.8111758309969463,0.24531905567036058,-0.13175547158214204,0.7703367838835881,0.6492758936755271,0.1897387031078005
ptv3_scannet200_v151_fullscene,retained,structured_b64_keep0p5,structured_drop,0.5,0.0,64,312,0.5031594863304725,0.29430385987101154,-0.05153788891005939,0.38705114530762236,0.8141762568275733,0.39963685773721436,0.022562330484711735,0.7751713740723993,0.4192738832190062,-0.040263307348720356
ptv3_scannet200_v151_fullscene,retained,structured_b64_keep0p2,structured_drop,0.2,0.0,64,312,0.19774703933552912,0.2424949087358528,-0.10334684004521813,0.3234115178258651,0.7869782118492352,0.3609289754241945,-0.016145551828308125,0.7422247831804146,0.5432634220390966,0.08372623147137004
ptv3_scannet200_v151_fullscene,retained,feature_zero1p0,feature_zero,1.0,1.0,64,312,1.0,0.0018621541759775984,-0.3439795946050933,0.005584831953166264,0.2761003447802509,0.0,-0.3770745272525026,0.25638440682651364,1.0,0.5404628094322734
ptv3_scannet200_v151_fullscene,full_nn,clean_voxel,clean,1.0,0.0,64,312,1.0,0.34584174878107093,0.0,0.45976478903048124,0.8367550141070698,0.3770745272525026,0.0,0.8061221170348277,0.4595371905677266,0.0
ptv3_scannet200_v151_fullscene,full_nn,random_keep0p5,random_drop,0.5,0.0,64,312,0.49997846065805507,0.32787998925566086,-0.01796175952541007,0.42841301542246785,0.8324284684266852,0.35049168317058355,-0.026582844081919077,0.7995267436695266,0.5246078445758559,0.06507065400812928
ptv3_scannet200_v151_fullscene,full_nn,random_keep0p3,random_drop,0.3,0.0,64,312,0.30008050579673207,0.29427327749359333,-0.0515684712874776,0.3834399803053853,0.8197066835658301,0.30453899105766985,-0.07253553619483277,0.780811030290335,0.5830459727949053,0.12350878222717876
ptv3_scannet200_v151_fullscene,full_nn,random_keep0p2,random_drop,0.2,0.0,64,312,0.19998730107759818,0.2579310887640678,-0.08791066001700315,0.33893599646851164,0.8039349861994608,0.23238337333489625,-0.14469115391760637,0.7521824289743757,0.6647566361942215,0.20521944562649497
ptv3_scannet200_v151_fullscene,full_nn,random_keep0p1,random_drop,0.1,0.0,64,312,0.09999374653666447,0.14991752349514081,-0.19592422528593012,0.1992851252335944,0.7400982630378778,0.07191914323582982,-0.3051553840166728,0.6714831134892824,0.8627859543060059,0.40324876373827934
ptv3_scannet200_v151_fullscene,full_nn,classwise_keep0p2,classwise_random_drop,0.2,0.0,64,312,0.19995483861137658,0.2561039170559772,-0.08973783172509375,0.33297730006900506,0.8032543550663506,0.23658410892902587,-0.14049041832347675,0.7570561188978673,0.6559597352859177,0.1964225447181911
ptv3_scannet200_v151_fullscene,full_nn,structured_b64_keep0p5,structured_drop,0.5,0.0,64,312,0.5031594863304725,0.18486451307439242,-0.16097723570667852,0.2661319405444481,0.6876979954233654,0.21569990473983666,-0.16137462251266596,0.6043084488471806,0.5420475722314341,0.0825103816637075
ptv3_scannet200_v151_fullscene,full_nn,structured_b64_keep0p2,structured_drop,0.2,0.0,64,312,0.19774703933552912,0.07720586599677846,-0.26863588278429246,0.11918475207975421,0.4930267627839906,0.08950030491085838,-0.28757422234164426,0.3938372000180087,0.5035877268925443,0.0440505363248177
ptv3_scannet200_v151_fullscene,full_nn,feature_zero1p0,feature_zero,1.0,1.0,64,312,1.0,0.0018621541759775984,-0.3439795946050933,0.005584831953166264,0.2761003447802509,0.0,-0.3770745272525026,0.25638440682651364,1.0,0.5404628094322734
