method,score_space,variant,keep,mIoU,delta_mIoU,focus_iou,delta_focus_iou,focus_to_confusion,source_csv
Concerto decoder,retained,clean_voxel,1.0,0.7863010825422089,0.0,0.42020371795391015,0.0,0.4177034100556867,tools/concerto_projection_shortcut/results_masking_fullscene_concerto_decoder.csv
Concerto decoder,full_nn,clean_voxel,1.0,0.7863010825422089,0.0,0.42020371795391015,0.0,0.4177034100556867,tools/concerto_projection_shortcut/results_masking_fullscene_concerto_decoder.csv
Concerto decoder,retained,random_keep0p2,0.19988918743836573,0.7632239408757372,-0.02307714166647168,0.3091157332093879,-0.11108798474452225,0.6323231652670362,tools/concerto_projection_shortcut/results_masking_fullscene_concerto_decoder.csv
Concerto decoder,full_nn,random_keep0p2,0.19988918743836573,0.7527138055426545,-0.03358727699955433,0.29479880174482753,-0.12540491620908262,0.6478169894442699,tools/concerto_projection_shortcut/results_masking_fullscene_concerto_decoder.csv
Concerto decoder,retained,classwise_keep0p2,0.19987397774671897,0.7614887759255987,-0.024812306616610158,0.3152275107645749,-0.10497620718933526,0.620294929634368,tools/concerto_projection_shortcut/results_masking_fullscene_concerto_decoder.csv
Concerto decoder,full_nn,classwise_keep0p2,0.19987397774671897,0.7505540496163932,-0.035747032925815714,0.29875535463432384,-0.1214483633195863,0.6393603722248591,tools/concerto_projection_shortcut/results_masking_fullscene_concerto_decoder.csv
Concerto decoder,retained,structured_b64_keep0p2,0.20867774735401887,0.7388350330222562,-0.0474660495199527,0.4380487188664538,0.01784500091254365,0.41553429720621804,tools/concerto_projection_shortcut/results_masking_fullscene_concerto_decoder.csv
Concerto decoder,full_nn,structured_b64_keep0p2,0.20867774735401887,0.3011714538834566,-0.48512962865875225,0.13869640579013284,-0.28150731216377733,0.6178076971929379,tools/concerto_projection_shortcut/results_masking_fullscene_concerto_decoder.csv
Concerto decoder,retained,feature_zero1p0,1.0,0.06828169218615016,-0.7180193903560588,0.0,-0.42020371795391015,0.9798712454959322,tools/concerto_projection_shortcut/results_masking_fullscene_concerto_decoder.csv
Concerto decoder,full_nn,feature_zero1p0,1.0,0.06828169218615016,-0.7180193903560588,0.0,-0.42020371795391015,0.9798712454959322,tools/concerto_projection_shortcut/results_masking_fullscene_concerto_decoder.csv
Concerto linear,retained,clean_voxel,1.0,0.7695935068628212,0.0,0.419406514993784,0.0,0.40628635615998715,tools/concerto_projection_shortcut/results_masking_fullscene_concerto_linear.csv
Concerto linear,full_nn,clean_voxel,1.0,0.7695935068628212,0.0,0.419406514993784,0.0,0.40628635615998715,tools/concerto_projection_shortcut/results_masking_fullscene_concerto_linear.csv
Concerto linear,retained,random_keep0p2,0.200077336281538,0.7597449996677155,-0.009848507195105771,0.35033667175917965,-0.06906984323460436,0.5458363890926061,tools/concerto_projection_shortcut/results_masking_fullscene_concerto_linear.csv
Concerto linear,full_nn,random_keep0p2,0.200077336281538,0.751895872208322,-0.01769763465449925,0.34416256213031043,-0.07524395286347357,0.5501932309008973,tools/concerto_projection_shortcut/results_masking_fullscene_concerto_linear.csv
Concerto linear,retained,classwise_keep0p2,0.20010079801655734,0.7587698431552157,-0.010823663707605569,0.35271657663263184,-0.06668993836115217,0.5494644823329218,tools/concerto_projection_shortcut/results_masking_fullscene_concerto_linear.csv
Concerto linear,full_nn,classwise_keep0p2,0.20010079801655734,0.7511028013429277,-0.018490705519893513,0.3467359360104692,-0.0726705789833148,0.5549136812826787,tools/concerto_projection_shortcut/results_masking_fullscene_concerto_linear.csv
Concerto linear,retained,structured_b64_keep0p2,0.19282760147773212,0.7409325391658859,-0.02866096769693538,0.3851194649695259,-0.03428705002425808,0.4571198300179507,tools/concerto_projection_shortcut/results_masking_fullscene_concerto_linear.csv
Concerto linear,full_nn,structured_b64_keep0p2,0.19282760147773212,0.2906674195966984,-0.47892608726612285,0.10397523804236178,-0.31543127695142226,0.6650753533651595,tools/concerto_projection_shortcut/results_masking_fullscene_concerto_linear.csv
Concerto linear,retained,feature_zero1p0,1.0,0.03879421364704365,-0.7307992932157776,0.0,-0.419406514993784,0.00917345314986427,tools/concerto_projection_shortcut/results_masking_fullscene_concerto_linear.csv
Concerto linear,full_nn,feature_zero1p0,1.0,0.03879421364704365,-0.7307992932157776,0.0,-0.419406514993784,0.00917345314986427,tools/concerto_projection_shortcut/results_masking_fullscene_concerto_linear.csv
Sonata linear,retained,clean_voxel,1.0,0.7169693789962841,0.0,0.3626784179488579,0.0,0.4642355678581458,tools/concerto_projection_shortcut/results_masking_fullscene_sonata_linear.csv
Sonata linear,full_nn,clean_voxel,1.0,0.7169693789962841,0.0,0.3626784179488579,0.0,0.4642355678581458,tools/concerto_projection_shortcut/results_masking_fullscene_sonata_linear.csv
Sonata linear,retained,random_keep0p2,0.20008530873709765,0.6950708917034825,-0.02189848729280164,0.23645305334298744,-0.12622536460587047,0.6857775838340439,tools/concerto_projection_shortcut/results_masking_fullscene_sonata_linear.csv
Sonata linear,full_nn,random_keep0p2,0.20008530873709765,0.6864641760464331,-0.03050520294985104,0.2239388048652779,-0.13873961308358002,0.6971958117703695,tools/concerto_projection_shortcut/results_masking_fullscene_sonata_linear.csv
Sonata linear,retained,classwise_keep0p2,0.20000963968535265,0.6954902853834838,-0.021479093612800315,0.2271251653240344,-0.1355532526248235,0.6898340248962656,tools/concerto_projection_shortcut/results_masking_fullscene_sonata_linear.csv
Sonata linear,full_nn,classwise_keep0p2,0.20000963968535265,0.6874055331734975,-0.029563845822786594,0.2177782330222272,-0.1449001849266307,0.7010136264559179,tools/concerto_projection_shortcut/results_masking_fullscene_sonata_linear.csv
