method,variant,kind,keep_ratio,fixed_count,feature_zero_ratio,block_size,repeats,observed_keep_frac,mIoU,delta_mIoU,mAcc,allAcc,weak_mean_iou,delta_weak_mean_iou,picture_iou,delta_picture_iou,wall_iou,floor_iou,picture_to_wall,delta_picture_to_wall,score_space
concerto_decoder_origin_maskedmodel_full,clean_voxel,clean,1.0,0,0.0,64,312,1.0,0.7868631998871061,0.0,0.8793568022651609,0.9274382054198957,0.6877853832781259,0.0,0.4212749750687799,0.0,0.8838127099863474,0.9667277205568847,0.41385949313777265,0.0,retained
concerto_decoder_origin_maskedmodel_full,random_keep0p2,random_drop,0.2,0,0.0,64,312,0.1999224521792852,0.7636268755091515,-0.02323632437795453,0.8423728521570043,0.9208023773853131,0.6411810617383272,-0.046604321539798654,0.3172500511740787,-0.10402492389470125,0.8761426777905004,0.9576410372607908,0.6186335819148581,0.20477408877708542,retained
concerto_decoder_origin_maskedmodel_full,fixed_points_4000,fixed_count_drop,1.0,4000,0.0,64,312,0.048796060629403934,0.5147712728403115,-0.2720919270467945,0.6183377997109083,0.7989499220275569,0.4046420889906024,-0.2831432942875235,0.07453142227122217,-0.34674355279755775,0.7527360236739389,0.8387092589169007,0.7953072625698324,0.38144776943205977,retained
concerto_decoder_origin_maskedmodel_full,classwise_keep0p2,classwise_random_drop,0.2,0,0.0,64,312,0.20010908067417452,0.7620043124155521,-0.02485888747155396,0.8416327110128128,0.9206893484615266,0.6387599196735971,-0.04902546360452875,0.3170439957988087,-0.10423097926997121,0.8765630641975234,0.9573651898676978,0.6216552373268791,0.20779574418910646,retained
concerto_decoder_origin_maskedmodel_full,structured_b64_keep0p2,structured_drop,0.2,0,0.0,64,312,0.20678650113777855,0.7505028002173448,-0.036360399669761234,0.8442308113886738,0.9157215614169256,0.636558599273415,-0.051226784004710924,0.4205570812083159,-0.0007178938604640028,0.8673726797852,0.9657579700982206,0.4939752204360523,0.08011572729827965,retained
concerto_decoder_origin_maskedmodel_full,masked_model_keep0p2,masked_model_drop_raw,0.2,0,0.0,64,312,0.20297733944294977,0.786557091397974,-0.0003061084891320398,0.863038091470051,0.9307109509210783,0.680295565771777,-0.007489817506348917,0.4654173967273469,0.044142421658566966,0.8900957016180364,0.978965282298969,0.40586860555699816,-0.007990887580774486,retained
concerto_decoder_origin_maskedmodel_full,feature_zero1p0,feature_zero,1.0,0,1.0,64,312,1.0,0.06818651841694068,-0.7186766814701654,0.11112269637541232,0.5075732598864989,0.0015208577912744089,-0.6862645254868515,0.0,-0.4212749750687799,0.5135119993405929,0.6487960684836579,0.984316818974911,0.5704573258371384,retained
concerto_decoder_origin_maskedmodel_full,clean_voxel,clean,1.0,0,0.0,64,312,1.0,0.7868631998871061,0.0,0.8793568022651609,0.9274382054198957,0.6877853832781259,0.0,0.4212749750687799,0.0,0.8838127099863474,0.9667277205568847,0.41385949313777265,0.0,full_nn
concerto_decoder_origin_maskedmodel_full,random_keep0p2,random_drop,0.2,0,0.0,64,312,0.1999224521792852,0.7522198244981506,-0.034643375388955455,0.8341662701846102,0.9152032301446571,0.6284024837867725,-0.059382899491353336,0.3036866197595325,-0.11758835530924744,0.8667439383792075,0.9458119593420826,0.6341994959455033,0.22034000280773064,full_nn
concerto_decoder_origin_maskedmodel_full,fixed_points_4000,fixed_count_drop,1.0,4000,0.0,64,312,0.048796060629403934,0.3930000293023915,-0.3938631705847146,0.49985102064153447,0.727416818948162,0.2841918259812503,-0.40359355729687557,0.019530579647010667,-0.40174439542176926,0.6791041090839772,0.7566599245229176,0.8231530814843536,0.40929358834658097,full_nn
concerto_decoder_origin_maskedmodel_full,classwise_keep0p2,classwise_random_drop,0.2,0,0.0,64,312,0.20010908067417452,0.751234992476072,-0.03562820741103412,0.8338558406983649,0.915174528491686,0.6265537088199683,-0.06123167445815758,0.3046553872308712,-0.11661958783790871,0.8671216236478475,0.9457937056681865,0.6355899911088531,0.2217304979710804,full_nn
concerto_decoder_origin_maskedmodel_full,structured_b64_keep0p2,structured_drop,0.2,0,0.0,64,312,0.20678650113777855,0.3030411953109978,-0.48382200457610824,0.4489999954904884,0.6152618224628349,0.2189459513906939,-0.468839431887432,0.13978712718281558,-0.28148784788596437,0.5101825856449057,0.6236149216536512,0.6704994417964127,0.2566399486586401,full_nn
concerto_decoder_origin_maskedmodel_full,masked_model_keep0p2,masked_model_drop_raw,0.2,0,0.0,64,312,0.20297733944294977,0.19815521993917737,-0.5887079799479287,0.326409795430309,0.45895376214889,0.14230141081389835,-0.5454839724642275,0.09498137337737149,-0.3262936016914084,0.401040119591601,0.39150288421102747,0.6166779198727163,0.2028184267349436,full_nn
concerto_decoder_origin_maskedmodel_full,feature_zero1p0,feature_zero,1.0,0,1.0,64,312,1.0,0.06818651841694068,-0.7186766814701654,0.11112269637541232,0.5075732598864989,0.0015208577912744089,-0.6862645254868515,0.0,-0.4212749750687799,0.5135119993405929,0.6487960684836579,0.984316818974911,0.5704573258371384,full_nn
