method,score_space,variant,kind,class_id,class_name,observed_keep_frac,iou,delta_iou,acc,base_iou,support,pred_support,intersection
concerto_decoder_origin_maskedmodel_full,retained,clean_voxel,clean,0,wall,1.0,0.8838127099863474,0.0,0.9379741158371938,0.8838127099863474,7645679,7639988,7171449
concerto_decoder_origin_maskedmodel_full,retained,clean_voxel,clean,1,floor,1.0,0.9667277205568847,0.0,0.98430751174888,0.9667277205568847,6968111,6985478,6858764
concerto_decoder_origin_maskedmodel_full,retained,clean_voxel,clean,2,cabinet,1.0,0.7324911390358638,0.0,0.8342691653765827,0.7324911390358638,999289,972525,833676
concerto_decoder_origin_maskedmodel_full,retained,clean_voxel,clean,3,bed,1.0,0.8511884707877829,0.0,0.8918084567387495,0.8511884707877829,657251,617507,586142
concerto_decoder_origin_maskedmodel_full,retained,clean_voxel,clean,4,chair,1.0,0.9188549976105577,0.0,0.9561696198367341,0.9188549976105577,2091312,2084577,1999649
concerto_decoder_origin_maskedmodel_full,retained,clean_voxel,clean,5,sofa,1.0,0.8035487043675339,0.0,0.9382572568384476,0.8035487043675339,580797,642303,544937
concerto_decoder_origin_maskedmodel_full,retained,clean_voxel,clean,6,table,1.0,0.7949416181507678,0.0,0.8521752253038242,0.7949416181507678,1060235,979840,903506
concerto_decoder_origin_maskedmodel_full,retained,clean_voxel,clean,7,door,1.0,0.769825257273139,0.0,0.9072310087562709,0.769825257273139,1086764,1179922,985946
concerto_decoder_origin_maskedmodel_full,retained,clean_voxel,clean,8,window,1.0,0.7447979514931025,0.0,0.8476523831858523,0.7447979514931025,829373,817554,703020
concerto_decoder_origin_maskedmodel_full,retained,clean_voxel,clean,9,bookshelf,1.0,0.8168164653265897,0.0,0.9050939135705722,0.8168164653265897,732482,742128,662965
concerto_decoder_origin_maskedmodel_full,retained,clean_voxel,clean,10,picture,1.0,0.4212749750687799,0.0,0.561980653399025,0.4212749750687799,149587,134027,84065
concerto_decoder_origin_maskedmodel_full,retained,clean_voxel,clean,11,counter,1.0,0.6950677956066075,0.0,0.8166002656042493,0.6950677956066075,158130,156778,129129
concerto_decoder_origin_maskedmodel_full,retained,clean_voxel,clean,12,desk,1.0,0.7152034487123586,0.0,0.8718618058681067,0.7152034487123586,466590,509004,406802
concerto_decoder_origin_maskedmodel_full,retained,clean_voxel,clean,13,curtain,1.0,0.8612228731521966,0.0,0.9205468770555126,0.8612228731521966,418083,413664,384865
concerto_decoder_origin_maskedmodel_full,retained,clean_voxel,clean,14,refridgerator,1.0,0.7748342849265335,0.0,0.9002055416155031,0.7748342849265335,149848,159140,134894
concerto_decoder_origin_maskedmodel_full,retained,clean_voxel,clean,15,shower curtain,1.0,0.7751131382959762,0.0,0.8617127690128841,0.7751131382959762,100971,98289,87008
concerto_decoder_origin_maskedmodel_full,retained,clean_voxel,clean,16,toilet,1.0,0.9529273501573289,0.0,0.9798718765024611,0.9529273501573289,76957,77584,75408
concerto_decoder_origin_maskedmodel_full,retained,clean_voxel,clean,17,sink,1.0,0.7055219289541567,0.0,0.8457032411537305,0.7055219289541567,67260,70246,56882
concerto_decoder_origin_maskedmodel_full,retained,clean_voxel,clean,18,bathtub,1.0,0.8512993028131236,0.0,0.967649870460936,0.8512993028131236,72179,79709,69844
concerto_decoder_origin_maskedmodel_full,retained,clean_voxel,clean,19,otherfurniture,1.0,0.7017938654664898,0.0,0.8060644874377031,0.7017938654664898,1088336,1038971,877269
concerto_decoder_origin_maskedmodel_full,retained,random_keep0p2,random_drop,0,wall,0.1999224521792852,0.8761426777905004,-0.007670032195847054,0.9442195955335393,0.8838127099863474,1529175,1562695,1443877
concerto_decoder_origin_maskedmodel_full,retained,random_keep0p2,random_drop,1,floor,0.1999224521792852,0.9576410372607908,-0.009086683296093967,0.9885624947981988,0.9667277205568847,1393748,1422810,1377807
concerto_decoder_origin_maskedmodel_full,retained,random_keep0p2,random_drop,2,cabinet,0.1999224521792852,0.7191428072625695,-0.013348331773294309,0.8242002851211762,0.7324911390358638,199915,193975,164770
concerto_decoder_origin_maskedmodel_full,retained,random_keep0p2,random_drop,3,bed,0.1999224521792852,0.8451272546844896,-0.006061216103293354,0.8837672445366859,0.8511884707877829,131056,121815,115823
concerto_decoder_origin_maskedmodel_full,retained,random_keep0p2,random_drop,4,chair,0.1999224521792852,0.9022281556394258,-0.016626841971131845,0.9453703614988835,0.9188549976105577,417484,414640,394677
concerto_decoder_origin_maskedmodel_full,retained,random_keep0p2,random_drop,5,sofa,0.1999224521792852,0.8265297900114416,0.02298108564390766,0.8813410778113823,0.8035487043675339,116384,110292,102574
concerto_decoder_origin_maskedmodel_full,retained,random_keep0p2,random_drop,6,table,0.1999224521792852,0.7650366912771255,-0.029904926873642323,0.805791921942364,0.7949416181507678,211536,181723,170454
concerto_decoder_origin_maskedmodel_full,retained,random_keep0p2,random_drop,7,door,0.1999224521792852,0.7503051107503591,-0.01952014652277989,0.8881225034510272,0.769825257273139,218051,233708,193656
concerto_decoder_origin_maskedmodel_full,retained,random_keep0p2,random_drop,8,window,0.1999224521792852,0.7312297424087338,-0.013568209084368621,0.8250745873634566,0.7447979514931025,166248,158503,137167
