method,variant,kind,keep_ratio,fixed_count,feature_zero_ratio,block_size,repeats,observed_keep_frac,mIoU,delta_mIoU,mAcc,allAcc,weak_mean_iou,delta_weak_mean_iou,picture_iou,delta_picture_iou,wall_iou,floor_iou,picture_to_wall,delta_picture_to_wall,score_space
concerto_linear_origin_maskedmodel_full,clean_voxel,clean,1.0,0,0.0,64,312,1.0,0.7695185038229851,0.0,0.8687567523766611,0.9198172848920491,0.6636361666022438,0.0,0.4196887795235884,0.0,0.8736749158882725,0.9577918568205597,0.40773057327395995,0.0,retained
concerto_linear_origin_maskedmodel_full,random_keep0p2,random_drop,0.2,0,0.0,64,312,0.20000277029780242,0.7596931708927498,-0.009825332930235353,0.8474715955859715,0.9178909570927982,0.6433156849000496,-0.020320481702194138,0.3556043584762216,-0.06408442104736678,0.8706116809009191,0.9536667291263281,0.544602348545503,0.1368717752715431,retained
concerto_linear_origin_maskedmodel_full,fixed_points_4000,fixed_count_drop,1.0,4000,0.0,64,312,0.048796060629403934,0.5688816578392085,-0.20063684598377662,0.7033701765156041,0.8230967476120005,0.46736325539102463,-0.19627291121121915,0.1222199551111993,-0.2974688244123891,0.7677018595584233,0.9114680586204942,0.6879286694101509,0.2801980961361909,retained
concerto_linear_origin_maskedmodel_full,classwise_keep0p2,classwise_random_drop,0.2,0,0.0,64,312,0.1999828809251388,0.758889692870778,-0.010628810952207135,0.8464768407403918,0.9175883397599939,0.6421560288485212,-0.021480137753722595,0.351957195156293,-0.06773158436729543,0.8693444541461318,0.9539142381770428,0.5596602265156563,0.15192965324169633,retained
concerto_linear_origin_maskedmodel_full,structured_b64_keep0p2,structured_drop,0.2,0,0.0,64,312,0.2050910441328317,0.7412662048915913,-0.028252298931393804,0.844453459169752,0.9042087746151263,0.6746471660198923,0.011010999417648493,0.48279952550415034,0.06311074598056193,0.8572194772021802,0.9544809453066334,0.4161028919782916,0.008372318704331638,retained
concerto_linear_origin_maskedmodel_full,masked_model_keep0p2,masked_model_drop_raw,0.2,0,0.0,64,312,0.2029067175503525,0.7833511190100466,0.01383261518706147,0.861305088447061,0.9277433093855535,0.6666508400378388,0.0030146734355950278,0.37729826037464953,-0.04239051914893888,0.8879361947320858,0.9737838771873676,0.4735472679965308,0.06581669472257085,retained
concerto_linear_origin_maskedmodel_full,feature_zero1p0,feature_zero,1.0,0,1.0,64,312,1.0,0.03894528209076005,-0.730573221732225,0.09185130370791102,0.1894931017243189,0.009882040984756351,-0.6537541256174875,0.0,-0.4196887795235884,0.015950932541484972,0.4490142580458126,0.012529920701782538,-0.3952006525721774,retained
concerto_linear_origin_maskedmodel_full,clean_voxel,clean,1.0,0,0.0,64,312,1.0,0.7695185038229851,0.0,0.8687567523766611,0.9198172848920491,0.6636361666022438,0.0,0.4196887795235884,0.0,0.8736749158882725,0.9577918568205597,0.40773057327395995,0.0,full_nn
concerto_linear_origin_maskedmodel_full,random_keep0p2,random_drop,0.2,0,0.0,64,312,0.20000277029780242,0.7516295020483778,-0.017889001774607394,0.8424922328572221,0.913536325096759,0.6340201832096045,-0.029615983392639267,0.34670977664763747,-0.07297900287595094,0.8631809437433945,0.9436919258362473,0.5527741003730894,0.14504352709912943,full_nn
concerto_linear_origin_maskedmodel_full,fixed_points_4000,fixed_count_drop,1.0,4000,0.0,64,312,0.048796060629403934,0.4683639356288225,-0.30115456819416264,0.6144625990731052,0.7617597711627847,0.36295560152707085,-0.30068056507517293,0.06212885667981528,-0.35755992284377314,0.6960467984970043,0.8419903602326102,0.7128949866944813,0.3051644134205213,full_nn
concerto_linear_origin_maskedmodel_full,classwise_keep0p2,classwise_random_drop,0.2,0,0.0,64,312,0.1999828809251388,0.7512484414001314,-0.018270062422853783,0.8417381091818926,0.9132528456415782,0.6337405681436491,-0.029895598458594685,0.34425641198174234,-0.07543236754184607,0.8620309428135526,0.9437982649805249,0.5647290087054199,0.15699843543145992,full_nn
concerto_linear_origin_maskedmodel_full,structured_b64_keep0p2,structured_drop,0.2,0,0.0,64,312,0.2050910441328317,0.29250779176598213,-0.477010712057003,0.4214688513087704,0.6103035883853113,0.2150089371743363,-0.44862722942790745,0.11083751575415883,-0.30885126376942956,0.5019721384140651,0.6060642531017859,0.5911929500809029,0.18346237680694294,full_nn
concerto_linear_origin_maskedmodel_full,masked_model_keep0p2,masked_model_drop_raw,0.2,0,0.0,64,312,0.2029067175503525,0.19896152264112552,-0.5705569811818596,0.3253709728290661,0.4631721603016473,0.15211637156528982,-0.511519795036954,0.08208555647403619,-0.3376032230495522,0.40348909295462815,0.38734872489683275,0.7047244620959869,0.296993888822027,full_nn
concerto_linear_origin_maskedmodel_full,feature_zero1p0,feature_zero,1.0,0,1.0,64,312,1.0,0.03894528209076005,-0.730573221732225,0.09185130370791102,0.1894931017243189,0.009882040984756351,-0.6537541256174875,0.0,-0.4196887795235884,0.015950932541484972,0.4490142580458126,0.012529920701782538,-0.3952006525721774,full_nn
