method,score_space,variant,kind,class_id,class_name,observed_keep_frac,iou,delta_iou,acc,base_iou,support,pred_support,intersection
concerto_linear_origin_maskedmodel_full,retained,clean_voxel,clean,0,wall,1.0,0.8736749158882725,0.0,0.9312754037791563,0.8736749158882725,7645516,7624142,7120081
concerto_linear_origin_maskedmodel_full,retained,clean_voxel,clean,1,floor,1.0,0.9577918568205597,0.0,0.9816256366254235,0.9577918568205597,6968187,7013548,6840151
concerto_linear_origin_maskedmodel_full,retained,clean_voxel,clean,2,cabinet,1.0,0.6950382806061423,0.0,0.8153449521708757,0.6950382806061423,999182,987630,814678
concerto_linear_origin_maskedmodel_full,retained,clean_voxel,clean,3,bed,1.0,0.8595981947086385,0.0,0.9096289579266557,0.8595981947086385,657257,636114,597860
concerto_linear_origin_maskedmodel_full,retained,clean_voxel,clean,4,chair,1.0,0.8958336204575795,0.0,0.9324896350881555,0.8958336204575795,2091190,2035581,1950013
concerto_linear_origin_maskedmodel_full,retained,clean_voxel,clean,5,sofa,1.0,0.7777982459422662,0.0,0.9306422283754182,0.7777982459422662,580728,654568,540450
concerto_linear_origin_maskedmodel_full,retained,clean_voxel,clean,6,table,1.0,0.7802225596533054,0.0,0.846632386284326,0.7802225596533054,1060276,987911,897664
concerto_linear_origin_maskedmodel_full,retained,clean_voxel,clean,7,door,1.0,0.7423008023394742,0.0,0.8838584887082852,0.7423008023394742,1086726,1167752,960512
concerto_linear_origin_maskedmodel_full,retained,clean_voxel,clean,8,window,1.0,0.7382551462439974,0.0,0.8483627957344536,0.7382551462439974,829249,827183,703504
concerto_linear_origin_maskedmodel_full,retained,clean_voxel,clean,9,bookshelf,1.0,0.819000413960355,0.0,0.9157358368457054,0.819000413960355,732411,757203,670695
concerto_linear_origin_maskedmodel_full,retained,clean_voxel,clean,10,picture,1.0,0.4196887795235884,0.0,0.5564983083938431,0.4196887795235884,149562,131985,83231
concerto_linear_origin_maskedmodel_full,retained,clean_voxel,clean,11,counter,1.0,0.6668180471912328,0.0,0.8541727264679468,0.6668180471912328,158146,179518,135084
