method,score_space,variant,kind,keep_ratio,fixed_count,feature_zero_ratio,block_size,repeats,observed_keep_frac,mIoU,delta_mIoU,mAcc,allAcc,focus_iou,delta_focus_iou,confusion_iou,focus_to_confusion,delta_focus_to_confusion
ptv3_s3dis_maskedmodel_full,retained,clean_voxel,clean,1.0,0,0.0,64,68,1.0,0.704047229148503,0.0,0.7664357642267027,0.9033126977554012,0.8236594849199756,0.0,0.8413494019432789,0.06776932707621813,0.0
ptv3_s3dis_maskedmodel_full,retained,random_keep0p2,random_drop,0.2,0,0.0,64,68,0.20026509135084994,0.44974498224581605,-0.254302246902687,0.5270048619581865,0.7810054775767705,0.3111533857729131,-0.5125060991470625,0.6805909811199661,0.5819858460218743,0.5142165189456562
ptv3_s3dis_maskedmodel_full,retained,fixed_points_4000,fixed_count_drop,1.0,4000,0.0,64,68,0.017520666810656515,0.00195866213665874,-0.7020885670118443,0.07891075567667714,0.003595588235294116,0.0,-0.8236594849199756,0.0016448207272912714,0.0,-0.06776932707621813
ptv3_s3dis_maskedmodel_full,retained,classwise_keep0p2,classwise_random_drop,0.2,0,0.0,64,68,0.20003869296873317,0.45560272412502734,-0.2484445050234757,0.5324711447145309,0.7803467529502626,0.3361629523528661,-0.48749653256710956,0.6797839910571236,0.5656845533957994,0.49791522631958124
ptv3_s3dis_maskedmodel_full,retained,structured_b64_keep0p2,structured_drop,0.2,0,0.0,64,68,0.1886132275685668,0.590545269139693,-0.11350196000881008,0.6670700669715658,0.8549731385507222,0.4203307607497234,-0.40332872417025223,0.7836278711697992,0.31037802301009626,0.24260869593387813
ptv3_s3dis_maskedmodel_full,retained,masked_model_keep0p2,masked_model_drop_raw,0.2,0,0.0,64,68,0.18750636397134154,0.6755466047487668,-0.02850062439973622,0.7471977106394718,0.8923668100663698,0.7330458450842776,-0.09061363983569803,0.8522104876540028,0.12889727319499228,0.061127946118774146
ptv3_s3dis_maskedmodel_full,retained,feature_zero1p0,feature_zero,1.0,0,1.0,64,68,1.0,0.11498329477796786,-0.5890639343705352,0.18559510652683164,0.5423111620782883,0.0,-0.8236594849199756,0.48249267080330427,0.9977728190234472,0.9300034919472291
ptv3_s3dis_maskedmodel_full,full_nn,clean_voxel,clean,1.0,0,0.0,64,68,1.0,0.704047229148503,0.0,0.7664357642267027,0.9033126977554012,0.8236594849199756,0.0,0.8413494019432789,0.06776932707621813,0.0
ptv3_s3dis_maskedmodel_full,full_nn,random_keep0p2,random_drop,0.2,0,0.0,64,68,0.20026509135084994,0.44344010838356673,-0.2606071207649363,0.5238357856641314,0.7748074108212075,0.3057332671949259,-0.5179262177250498,0.6765202930582287,0.5748298740343915,0.5070605469581733
ptv3_s3dis_maskedmodel_full,full_nn,fixed_points_4000,fixed_count_drop,1.0,4000,0.0,64,68,0.017520666810656515,0.0005381783256228043,-0.7035090508228803,0.0774455981643712,0.0009834309153147218,0.0,-0.8236594849199756,0.0002653600428757711,0.0,-0.06776932707621813
ptv3_s3dis_maskedmodel_full,full_nn,classwise_keep0p2,classwise_random_drop,0.2,0,0.0,64,68,0.20003869296873317,0.4489465357652262,-0.25510069338327684,0.5282994746704798,0.774131005408845,0.3329396325459316,-0.49071985237404403,0.6757358206474134,0.5572168328890327,0.48944750581281454
ptv3_s3dis_maskedmodel_full,full_nn,structured_b64_keep0p2,structured_drop,0.2,0,0.0,64,68,0.1886132275685668,0.29426618908167984,-0.4097810400668232,0.40890236126001206,0.6076677733241453,0.20389314234197012,-0.6197663425780056,0.48721406627040337,0.35757965472307157,0.28981032764685344
ptv3_s3dis_maskedmodel_full,full_nn,masked_model_keep0p2,masked_model_drop_raw,0.2,0,0.0,64,68,0.18750636397134154,0.10829895997119723,-0.5957482691773058,0.2001523821079935,0.2707459805390299,0.10477602131736927,-0.7188834636026064,0.23385785498761155,0.20903988485091088,0.14127055777469275
ptv3_s3dis_maskedmodel_full,full_nn,feature_zero1p0,feature_zero,1.0,0,1.0,64,68,1.0,0.11498329477796786,-0.5890639343705352,0.18559510652683164,0.5423111620782883,0.0,-0.8236594849199756,0.48249267080330427,0.9977728190234472,0.9300034919472291
