method,score_space,variant,kind,class_id,class_name,observed_keep_frac,iou,delta_iou,acc,base_iou,support,pred_support,intersection
ptv3_s3dis_maskedmodel_full,retained,clean_voxel,clean,0,ceiling,1.0,0.9109985859786258,0.0,0.947518229060766,0.9109985859786258,3860731,3812880,3658113
ptv3_s3dis_maskedmodel_full,retained,clean_voxel,clean,1,floor,1.0,0.9801739635550937,0.0,0.9901266491585212,0.9801739635550937,3217550,3218453,3185782
ptv3_s3dis_maskedmodel_full,retained,clean_voxel,clean,2,wall,1.0,0.8413494019432789,0.0,0.9682470722856412,0.8413494019432789,5733739,6416475,5551676
ptv3_s3dis_maskedmodel_full,retained,clean_voxel,clean,3,beam,1.0,0.0,0.0,0.0,0.0,6166,22546,0
ptv3_s3dis_maskedmodel_full,retained,clean_voxel,clean,4,column,1.0,0.4161672178094522,0.0,0.5033196448515889,0.4161672178094522,354556,252705,178455
ptv3_s3dis_maskedmodel_full,retained,clean_voxel,clean,5,window,1.0,0.5754195544435488,0.0,0.5950800535110217,0.5754195544435488,704154,443087,419028
ptv3_s3dis_maskedmodel_full,retained,clean_voxel,clean,6,door,1.0,0.7316592418892152,0.0,0.8493877277470869,0.7316592418892152,626682,633133,532296
ptv3_s3dis_maskedmodel_full,retained,clean_voxel,clean,7,table,1.0,0.8079437114286022,0.0,0.8771615086851481,0.8079437114286022,766999,738492,672782
ptv3_s3dis_maskedmodel_full,retained,clean_voxel,clean,8,chair,1.0,0.9210889908405009,0.0,0.9657290585950629,0.9210889908405009,413499,419368,399328
ptv3_s3dis_maskedmodel_full,retained,clean_voxel,clean,9,sofa,1.0,0.746197008472285,0.0,0.823333391795428,0.746197008472285,57017,52838,46944
ptv3_s3dis_maskedmodel_full,retained,clean_voxel,clean,10,bookcase,1.0,0.7896824094593837,0.0,0.8848914668097857,0.7896824094593837,2148329,2160054,1901038
ptv3_s3dis_maskedmodel_full,retained,clean_voxel,clean,11,board,1.0,0.8236594849199756,0.0,0.8533893180482567,0.8236594849199756,234826,208874,200398
ptv3_s3dis_maskedmodel_full,retained,clean_voxel,clean,12,clutter,1.0,0.6082744081905759,0.0,0.7054808143988286,0.6082744081905759,1890376,1635719,1333624
ptv3_s3dis_maskedmodel_full,retained,random_keep0p2,random_drop,0,ceiling,0.20026509135084994,0.8659374599678684,-0.0450611260107574,0.9521931349274554,0.9109985859786258,773801,813886,736808
ptv3_s3dis_maskedmodel_full,retained,random_keep0p2,random_drop,1,floor,0.20026509135084994,0.9611678236014698,-0.01900613995362388,0.9853443223783963,0.9801739635550937,645006,651777,635553
ptv3_s3dis_maskedmodel_full,retained,random_keep0p2,random_drop,2,wall,0.20026509135084994,0.6805909811199661,-0.16075842082331282,0.8968617880649771,0.8413494019432789,1146927,1393093,1028635
