method,score_space,variant,kind,keep_ratio,fixed_count,feature_zero_ratio,block_size,repeats,observed_keep_frac,mIoU,delta_mIoU,mAcc,allAcc,focus_iou,delta_focus_iou,confusion_iou,focus_to_confusion,delta_focus_to_confusion
ptv3_scannet20_maskedmodel_full,retained,clean_voxel,clean,1.0,0,0.0,64,312,1.0,0.7699436947732208,0.0,0.8462808617749861,0.9213500642152783,0.38812405485874535,0.0,0.8725047316134511,0.49395399824869823,0.0
ptv3_scannet20_maskedmodel_full,retained,random_keep0p2,random_drop,0.2,0,0.0,64,312,0.20008098486906442,0.7092785007201258,-0.060665194053095006,0.7922695169989276,0.8978170472645322,0.21485313135045198,-0.17327092350829337,0.8390242375116108,0.7562177459630431,0.2622637477143449
ptv3_scannet20_maskedmodel_full,retained,fixed_points_4000,fixed_count_drop,1.0,4000,0.0,64,312,0.048796060629403934,0.3070509821982826,-0.4628927125749382,0.36180923419635036,0.6758563864558832,0.0394224157689654,-0.34870163908977997,0.559426576011514,0.915864282439248,0.42191028419054977
ptv3_scannet20_maskedmodel_full,retained,classwise_keep0p2,classwise_random_drop,0.2,0,0.0,64,312,0.20004444043987837,0.7127096292954404,-0.05723406547778043,0.7943735553308411,0.8980539712648961,0.2256913470115961,-0.16243270784714925,0.8401223599009922,0.7459222292929631,0.2519682310442649
ptv3_scannet20_maskedmodel_full,retained,structured_b64_keep0p2,structured_drop,0.2,0,0.0,64,312,0.20373856647310254,0.6482594657305237,-0.12168422904269705,0.7386715043926375,0.8757583426185007,0.3453192199681853,-0.04280483489056003,0.8208940856893824,0.573074707125024,0.07912070887632572
ptv3_scannet20_maskedmodel_full,retained,masked_model_keep0p2,masked_model_drop_raw,0.2,0,0.0,64,312,0.20283875810091415,0.6389118896075887,-0.13103180516563206,0.7147385852293962,0.8867703103569766,0.26764575318141365,-0.1204783016773317,0.8320348765786395,0.6778400780107264,0.1838860797620282
ptv3_scannet20_maskedmodel_full,retained,feature_zero1p0,feature_zero,1.0,0,1.0,64,312,1.0,0.027093128192415085,-0.7428505665808057,0.06119685173370837,0.36244433822828825,0.0,-0.38812405485874535,0.32282384607819636,1.0,0.5060460017513018
ptv3_scannet20_maskedmodel_full,full_nn,clean_voxel,clean,1.0,0,0.0,64,312,1.0,0.7699436947732208,0.0,0.8462808617749861,0.9213500642152783,0.38812405485874535,0.0,0.8725047316134511,0.49395399824869823,0.0
ptv3_scannet20_maskedmodel_full,full_nn,random_keep0p2,random_drop,0.2,0,0.0,64,312,0.20008098486906442,0.6968539802003293,-0.07308971457289148,0.7838996066710793,0.8913220394236925,0.20624293646503847,-0.18188111839370688,0.8282024158206142,0.7638148967600917,0.2698608985113935
ptv3_scannet20_maskedmodel_full,full_nn,fixed_points_4000,fixed_count_drop,1.0,4000,0.0,64,312,0.048796060629403934,0.20648914621510808,-0.5634545485581127,0.25399228004306257,0.600658688905915,0.006828127609821276,-0.3812959272489241,0.49013472744087383,0.9431027452658035,0.4491487470171053
ptv3_scannet20_maskedmodel_full,full_nn,classwise_keep0p2,classwise_random_drop,0.2,0,0.0,64,312,0.20004444043987837,0.6994207289447305,-0.07052296582849027,0.7853842745285664,0.891484250917558,0.21800178259648598,-0.17012227226225937,0.8293219300923717,0.752464856988162,0.2585108587394638
ptv3_scannet20_maskedmodel_full,full_nn,structured_b64_keep0p2,structured_drop,0.2,0,0.0,64,312,0.20373856647310254,0.25269756609650534,-0.5172461286767154,0.36367036462367297,0.5889447748606832,0.12376067114424184,-0.2643633837145035,0.48920754969261515,0.6744583998983977,0.1805044016496995
ptv3_scannet20_maskedmodel_full,full_nn,masked_model_keep0p2,masked_model_drop_raw,0.2,0,0.0,64,312,0.20283875810091415,0.13243612331546428,-0.6375075714577565,0.20786419973398168,0.41569565501552425,0.052449258909530706,-0.3356747959492146,0.361590160219279,0.6992573678335328,0.20530336958483453
ptv3_scannet20_maskedmodel_full,full_nn,feature_zero1p0,feature_zero,1.0,0,1.0,64,312,1.0,0.027093128192415085,-0.7428505665808057,0.06119685173370837,0.36244433822828825,0.0,-0.38812405485874535,0.32282384607819636,1.0,0.5060460017513018
