method,variant,kind,keep_ratio,fixed_count,feature_zero_ratio,block_size,repeats,observed_keep_frac,mIoU,delta_mIoU,mAcc,allAcc,weak_mean_iou,delta_weak_mean_iou,picture_iou,delta_picture_iou,wall_iou,floor_iou,picture_to_wall,delta_picture_to_wall,score_space
sonata_linear_maskedmodel_full,clean_voxel,clean,1.0,0,0.0,64,312,1.0,0.7167259193706992,0.0,0.8266529536216962,0.899088952152054,0.6132721587494537,0.0,0.3698848211434045,0.0,0.8576087843221933,0.959563913033847,0.4565865661063639,0.0,retained
sonata_linear_maskedmodel_full,random_keep0p2,random_drop,0.2,0,0.0,64,312,0.20002319792715403,0.6945596973862166,-0.022166221984482593,0.8026602651034743,0.8906453718021531,0.5797347151455652,-0.03353744360388855,0.23033403551008055,-0.13955078563332393,0.847950190070546,0.9454673435375222,0.6821055433552938,0.22551897724892994,retained
sonata_linear_maskedmodel_full,fixed_points_4000,fixed_count_drop,1.0,4000,0.0,64,312,0.048796060629403934,0.47500731390120504,-0.24171860546949414,0.5943282809301093,0.782211779935819,0.38371026649116413,-0.2295618922582896,0.06463115667483699,-0.3052536644685675,0.7342955913341687,0.9230813894412909,0.8577817531305904,0.40119518702422646,retained
sonata_linear_maskedmodel_full,classwise_keep0p2,classwise_random_drop,0.2,0,0.0,64,312,0.199972238821479,0.6928302589779164,-0.02389566039278279,0.8011722328587391,0.8901956584311179,0.5782938581949704,-0.034978300554483366,0.22301916737882976,-0.14686565376457472,0.8465224399456293,0.9450091763223492,0.7002511300853842,0.2436645639790203,retained
sonata_linear_maskedmodel_full,structured_b64_keep0p2,structured_drop,0.2,0,0.0,64,312,0.19808572410515923,0.6709954015900729,-0.04573051778062631,0.7897789661866335,0.8801386184711335,0.5697788742332034,-0.04349328451625034,0.2615280097375937,-0.10835681140581077,0.8317252664384013,0.9577540914928541,0.5650737907103139,0.10848722460395005,retained
sonata_linear_maskedmodel_full,masked_model_keep0p2,masked_model_drop_raw,0.2,0,0.0,64,312,0.19377077571008555,0.6863946899273686,-0.030331229443330554,0.7990302334190479,0.8856988066439476,0.5698418441834049,-0.043430314566048844,0.39725296706227325,0.02736814591886877,0.8815228083804992,0.9699046912042911,0.28499377334993775,-0.17159279275642614,retained
sonata_linear_maskedmodel_full,feature_zero1p0,feature_zero,1.0,0,1.0,64,312,1.0,0.06060138770799378,-0.6561245316627053,0.11013062096955675,0.4631427886803189,7.711378524581946e-06,-0.6132644473709291,0.0,-0.3698848211434045,0.47075769787530264,0.6277573995025745,0.7335218839009909,0.27693531779462705,retained
sonata_linear_maskedmodel_full,clean_voxel,clean,1.0,0,0.0,64,312,1.0,0.7167259193706992,0.0,0.8266529536216962,0.899088952152054,0.6132721587494537,0.0,0.3698848211434045,0.0,0.8576087843221933,0.959563913033847,0.4565865661063639,0.0,full_nn
sonata_linear_maskedmodel_full,random_keep0p2,random_drop,0.2,0,0.0,64,312,0.20002319792715403,0.6862112063002107,-0.030514713070488475,0.7965815291031254,0.8864335630855573,0.5707450802782408,-0.042527078471212953,0.22249476119529527,-0.14739005994810922,0.8404851801627625,0.9359342110370573,0.6913453952207111,0.23475882911434726,full_nn
sonata_linear_maskedmodel_full,fixed_points_4000,fixed_count_drop,1.0,4000,0.0,64,312,0.048796060629403934,0.3850402791587665,-0.3316856402119327,0.5086589140725857,0.7234664214254403,0.2795501572658032,-0.33372200148365055,0.014139958227400416,-0.35574486291600405,0.6730495299928964,0.8801222524890159,0.9107928484508097,0.45420628234444577,full_nn
sonata_linear_maskedmodel_full,classwise_keep0p2,classwise_random_drop,0.2,0,0.0,64,312,0.199972238821479,0.6850903604890547,-0.03163555888164449,0.7955968816887788,0.886085670798616,0.5692938449885139,-0.04397831376093986,0.21610920586963264,-0.15377561527377184,0.8394162482952927,0.9357471571343374,0.7049651649483157,0.24837859884195185,full_nn
sonata_linear_maskedmodel_full,structured_b64_keep0p2,structured_drop,0.2,0,0.0,64,312,0.19808572410515923,0.274294155218975,-0.4424317641517242,0.4011510394025922,0.5946549318771309,0.18734650476855283,-0.4259256539809009,0.07072054051651329,-0.2991642806268912,0.4890755519974705,0.6176373524299819,0.6894866343055054,0.2329000681991415,full_nn
sonata_linear_maskedmodel_full,masked_model_keep0p2,masked_model_drop_raw,0.2,0,0.0,64,312,0.19377077571008555,0.17235830516498324,-0.5443676142057159,0.27820723913668666,0.4385524420849504,0.1223066663160375,-0.49096549243341625,0.06376563050119817,-0.30611919064220633,0.3898099643334819,0.3697088236377955,0.6525654912344044,0.19597892512804055,full_nn
sonata_linear_maskedmodel_full,feature_zero1p0,feature_zero,1.0,0,1.0,64,312,1.0,0.06060138770799378,-0.6561245316627053,0.11013062096955675,0.4631427886803189,7.711378524581946e-06,-0.6132644473709291,0.0,-0.3698848211434045,0.47075769787530264,0.6277573995025745,0.7335218839009909,0.27693531779462705,full_nn
