method,score_space,variant,kind,class_id,class_name,observed_keep_frac,iou,delta_iou,acc,base_iou,support,pred_support,intersection
sonata_linear_maskedmodel_full,retained,clean_voxel,clean,0,wall,1.0,0.8576087843221933,0.0,0.9309073449064785,0.8576087843221933,7645516,7770718,7117267
sonata_linear_maskedmodel_full,retained,clean_voxel,clean,1,floor,1.0,0.959563913033847,0.0,0.9822065624817474,0.959563913033847,6968187,7008626,6844199
sonata_linear_maskedmodel_full,retained,clean_voxel,clean,2,cabinet,1.0,0.625668719841233,0.0,0.7547283678048643,0.625668719841233,999182,960217,754111
sonata_linear_maskedmodel_full,retained,clean_voxel,clean,3,bed,1.0,0.7790359666701824,0.0,0.8428255613861851,0.7790359666701824,657257,607771,553953
sonata_linear_maskedmodel_full,retained,clean_voxel,clean,4,chair,1.0,0.8741176651117113,0.0,0.9261678757071332,0.8741176651117113,2091190,2061315,1936793
sonata_linear_maskedmodel_full,retained,clean_voxel,clean,5,sofa,1.0,0.7880520672125213,0.0,0.9110444132192694,0.7880520672125213,580728,619704,529069
sonata_linear_maskedmodel_full,retained,clean_voxel,clean,6,table,1.0,0.7122591258864274,0.0,0.8191272838393022,0.7122591258864274,1060276,1027586,868501
sonata_linear_maskedmodel_full,retained,clean_voxel,clean,7,door,1.0,0.6724724353168453,0.0,0.8068814034080348,0.6724724353168453,1086726,1094066,876859
sonata_linear_maskedmodel_full,retained,clean_voxel,clean,8,window,1.0,0.6600791131513405,0.0,0.8149807838176469,0.6600791131513405,829249,870423,675822
sonata_linear_maskedmodel_full,retained,clean_voxel,clean,9,bookshelf,1.0,0.7591783780846482,0.0,0.9156088589603377,0.7591783780846482,732411,821517,670602
sonata_linear_maskedmodel_full,retained,clean_voxel,clean,10,picture,1.0,0.3698848211434045,0.0,0.4955737419932868,0.3698848211434045,149562,124941,74119
sonata_linear_maskedmodel_full,retained,clean_voxel,clean,11,counter,1.0,0.6443446325646557,0.0,0.7910095734321445,0.6443446325646557,158146,161092,125095
sonata_linear_maskedmodel_full,retained,clean_voxel,clean,12,desk,1.0,0.6140879603616488,0.0,0.8501593274602537,0.6140879603616488,466649,576118,396726
sonata_linear_maskedmodel_full,retained,clean_voxel,clean,13,curtain,1.0,0.8012715816391316,0.0,0.8753776127935092,0.8012715816391316,418087,404651,365984
sonata_linear_maskedmodel_full,retained,clean_voxel,clean,14,refridgerator,1.0,0.5474711134716944,0.0,0.729043364538363,0.5474711134716944,149869,158966,109261
sonata_linear_maskedmodel_full,retained,clean_voxel,clean,15,shower curtain,1.0,0.7130178850338103,0.0,0.7822813899124363,0.7130178850338103,100956,88783,78976
sonata_linear_maskedmodel_full,retained,clean_voxel,clean,16,toilet,1.0,0.9093588978353807,0.0,0.9698717698873589,0.9093588978353807,76971,79774,74652
sonata_linear_maskedmodel_full,retained,clean_voxel,clean,17,sink,1.0,0.6534286569845777,0.0,0.7786467238585159,0.6534286569845777,67259,65260,52371
sonata_linear_maskedmodel_full,retained,clean_voxel,clean,18,bathtub,1.0,0.8619719731083099,0.0,0.9474545252883749,0.8619719731083099,72128,75491,68338
sonata_linear_maskedmodel_full,retained,clean_voxel,clean,19,otherfurniture,1.0,0.5316446966404224,0.0,0.6091625877386827,0.5316446966404224,1088317,821647,662962
