method,score_space,variant,kind,keep_ratio,fixed_count,feature_zero_ratio,block_size,repeats,observed_keep_frac,mIoU,delta_mIoU,mAcc,allAcc,focus_iou,delta_focus_iou,confusion_iou,focus_to_confusion,delta_focus_to_confusion
ptv3_scannet20_maskedmodel_smoke,retained,clean_voxel,clean,1.0,0,0.0,64,2,1.0,0.42499466800763674,0.0,0.48338519869310925,0.921755471475744,0.0,0.0,0.784902441996065,nan,nan
ptv3_scannet20_maskedmodel_smoke,retained,random_keep0p2,random_drop,0.2,0,0.0,64,2,0.20001951605081558,0.3951251545863077,-0.02986951342132904,0.4640894908763766,0.895609022017591,0.0,0.0,0.769827816932815,nan,nan
ptv3_scannet20_maskedmodel_smoke,retained,fixed_points_4000,fixed_count_drop,1.0,4000,0.0,64,2,0.024348593316972256,0.05437756521253327,-0.37061710279510346,0.10119964904980341,0.48856088560884886,0.0,0.0,0.3383954154727697,nan,nan
ptv3_scannet20_maskedmodel_smoke,retained,classwise_keep0p2,classwise_random_drop,0.2,0,0.0,64,2,0.19784633070230484,0.39546069259904976,-0.029533975408586988,0.4536034680526872,0.8948037559708659,0.0,0.0,0.7697186243858797,nan,nan
ptv3_scannet20_maskedmodel_smoke,retained,structured_b64_keep0p2,structured_drop,0.2,0,0.0,64,2,0.2346240058541298,0.3671750032047886,-0.05781966480284817,0.4230844160352921,0.8523894290017787,0.0,0.0,0.5578323278552083,nan,nan
ptv3_scannet20_maskedmodel_smoke,retained,masked_model_keep0p2,masked_model_drop_raw,0.2,0,0.0,64,2,0.10782168451353258,0.22121698416794455,-0.2037776838396922,0.2547116063471599,0.7720891222696249,0.0,0.0,0.4342726580350277,nan,nan
ptv3_scannet20_maskedmodel_smoke,retained,feature_zero1p0,feature_zero,1.0,0,1.0,64,2,1.0,0.022039265551563592,-0.40295540245607314,0.06239949664803213,0.2573920167297264,0.0,0.0,0.19280642414679294,nan,nan
ptv3_scannet20_maskedmodel_smoke,full_nn,clean_voxel,clean,1.0,0,0.0,64,2,1.0,0.42499466800763674,0.0,0.48338519869310925,0.921755471475744,0.0,0.0,0.784902441996065,nan,nan
ptv3_scannet20_maskedmodel_smoke,full_nn,random_keep0p2,random_drop,0.2,0,0.0,64,2,0.20001951605081558,0.3895034033604922,-0.03549126464714453,0.4591072301895891,0.8873869503821316,0.0,0.0,0.7594945644500904,nan,nan
ptv3_scannet20_maskedmodel_smoke,full_nn,fixed_points_4000,fixed_count_drop,1.0,4000,0.0,64,2,0.024348593316972256,0.05195118533247924,-0.3730434826751575,0.09835405281416361,0.47858659681574645,0.0,0.0,0.3287570110866579,nan,nan
ptv3_scannet20_maskedmodel_smoke,full_nn,classwise_keep0p2,classwise_random_drop,0.2,0,0.0,64,2,0.19784633070230484,0.3869962487077845,-0.03799841929985226,0.4468593206729006,0.8882061895676354,0.0,0.0,0.7595583942251539,nan,nan
ptv3_scannet20_maskedmodel_smoke,full_nn,structured_b64_keep0p2,structured_drop,0.2,0,0.0,64,2,0.2346240058541298,0.1550616655218912,-0.26993300248574553,0.23311105557254058,0.5363681114740195,0.0,0.0,0.3284614487343983,nan,nan
ptv3_scannet20_maskedmodel_smoke,full_nn,masked_model_keep0p2,masked_model_drop_raw,0.2,0,0.0,64,2,0.10782168451353258,0.055690904806481714,-0.36930376320115504,0.1042657700410374,0.2997409335733559,0.0,0.0,0.2062292546163513,nan,nan
ptv3_scannet20_maskedmodel_smoke,full_nn,feature_zero1p0,feature_zero,1.0,0,1.0,64,2,1.0,0.022039265551563592,-0.40295540245607314,0.06239949664803213,0.2573920167297264,0.0,0.0,0.19280642414679294,nan,nan
