method,score_space,variant,kind,class_id,class_name,observed_keep_frac,iou,delta_iou,acc,base_iou,support,pred_support,intersection
ptv3_scannet20_maskedmodel_smoke,retained,clean_voxel,clean,0,wall,1.0,0.784902441996065,0.0,0.913501468651877,0.784902441996065,49365,53183,45095
ptv3_scannet20_maskedmodel_smoke,retained,clean_voxel,clean,1,floor,1.0,0.9828265983411919,0.0,0.9910242989821588,0.9828265983411919,89798,89741,88992
ptv3_scannet20_maskedmodel_smoke,retained,clean_voxel,clean,2,cabinet,1.0,0.6943947191765457,0.0,0.7155704156338232,0.6943947191765457,17347,12942,12413
ptv3_scannet20_maskedmodel_smoke,retained,clean_voxel,clean,3,bed,1.0,0.0,0.0,0.0,0.0,0,0,0
ptv3_scannet20_maskedmodel_smoke,retained,clean_voxel,clean,4,chair,1.0,0.9480172908120486,0.0,0.9658682365630034,0.9480172908120486,44504,43823,42985
ptv3_scannet20_maskedmodel_smoke,retained,clean_voxel,clean,5,sofa,1.0,0.0,0.0,0.0,0.0,0,0,0
ptv3_scannet20_maskedmodel_smoke,retained,clean_voxel,clean,6,table,1.0,0.8009075439591578,0.0,0.9004743114512301,0.8009075439591578,25089,25711,22592
ptv3_scannet20_maskedmodel_smoke,retained,clean_voxel,clean,7,door,1.0,0.9682825734366465,0.0,0.9901409748456557,0.9682825734366465,10853,10991,10746
ptv3_scannet20_maskedmodel_smoke,retained,clean_voxel,clean,8,window,1.0,0.589070360416232,0.0,0.9782558937971964,0.589070360416232,8738,14321,8548
ptv3_scannet20_maskedmodel_smoke,retained,clean_voxel,clean,9,bookshelf,1.0,0.0,0.0,0.0,0.0,0,0,0
ptv3_scannet20_maskedmodel_smoke,retained,clean_voxel,clean,10,picture,1.0,0.0,0.0,0.0,0.0,0,0,0
ptv3_scannet20_maskedmodel_smoke,retained,clean_voxel,clean,11,counter,1.0,0.7953861584754183,0.0,0.8472222222222132,0.7953861584754183,9360,8540,7930
ptv3_scannet20_maskedmodel_smoke,retained,clean_voxel,clean,12,desk,1.0,0.0,0.0,0.0,0.0,0,0,0
ptv3_scannet20_maskedmodel_smoke,retained,clean_voxel,clean,13,curtain,1.0,0.0,0.0,0.0,0.0,0,0,0
ptv3_scannet20_maskedmodel_smoke,retained,clean_voxel,clean,14,refridgerator,1.0,0.7637950265730545,0.0,0.8241999433588161,0.7637950265730545,14124,12758,11641
ptv3_scannet20_maskedmodel_smoke,retained,clean_voxel,clean,15,shower curtain,1.0,0.0,0.0,0.0,0.0,0,0,0
ptv3_scannet20_maskedmodel_smoke,retained,clean_voxel,clean,16,toilet,1.0,0.0,0.0,0.0,0.0,0,0,0
ptv3_scannet20_maskedmodel_smoke,retained,clean_voxel,clean,17,sink,1.0,0.611231101511835,0.0,0.9669703872436256,0.611231101511835,878,1360,849
ptv3_scannet20_maskedmodel_smoke,retained,clean_voxel,clean,18,bathtub,1.0,0.0,0.0,0.0,0.0,0,0,0
ptv3_scannet20_maskedmodel_smoke,retained,clean_voxel,clean,19,otherfurniture,1.0,0.5610795454545389,0.0,0.5744758211125854,0.5610795454545389,8251,4937,4740
ptv3_scannet20_maskedmodel_smoke,retained,random_keep0p2,random_drop,0,wall,0.20001951605081558,0.769827816932815,-0.015074625063249969,0.8756850010148074,0.784902441996065,9854,9984,8629
ptv3_scannet20_maskedmodel_smoke,retained,random_keep0p2,random_drop,1,floor,0.20001951605081558,0.9810067519350004,-0.0018198464061914832,0.9942141863699528,0.9828265983411919,17975,18113,17871
ptv3_scannet20_maskedmodel_smoke,retained,random_keep0p2,random_drop,2,cabinet,0.20001951605081558,0.48663543675942444,-0.20775928241712127,0.5084940973221852,0.6943947191765457,3473,1922,1766
ptv3_scannet20_maskedmodel_smoke,retained,random_keep0p2,random_drop,3,bed,0.20001951605081558,0.0,0.0,0.0,0.0,0,0,0
ptv3_scannet20_maskedmodel_smoke,retained,random_keep0p2,random_drop,4,chair,0.20001951605081558,0.8993765722410489,-0.04864071857099961,0.9122476148213788,0.9480172908120486,9014,8352,8223
ptv3_scannet20_maskedmodel_smoke,retained,random_keep0p2,random_drop,5,sofa,0.20001951605081558,0.0,0.0,0.0,0.0,0,343,0
ptv3_scannet20_maskedmodel_smoke,retained,random_keep0p2,random_drop,6,table,0.20001951605081558,0.7982623805386482,-0.0026451634205095775,0.9191676670668083,0.8009075439591578,4998,5351,4594
ptv3_scannet20_maskedmodel_smoke,retained,random_keep0p2,random_drop,7,door,0.20001951605081558,0.9627301302199837,-0.005552443216662817,0.9776561787505254,0.9682825734366465,2193,2178,2144
ptv3_scannet20_maskedmodel_smoke,retained,random_keep0p2,random_drop,8,window,0.20001951605081558,0.5335723598435289,-0.05549800057270304,0.9269535673838659,0.589070360416232,1766,2939,1637
ptv3_scannet20_maskedmodel_smoke,retained,random_keep0p2,random_drop,9,bookshelf,0.20001951605081558,0.0,0.0,0.0,0.0,0,0,0
ptv3_scannet20_maskedmodel_smoke,retained,random_keep0p2,random_drop,10,picture,0.20001951605081558,0.0,0.0,0.0,0.0,0,0,0
ptv3_scannet20_maskedmodel_smoke,retained,random_keep0p2,random_drop,11,counter,0.20001951605081558,0.7792272955343312,-0.016158862941087038,0.8353953738568674,0.7953861584754183,1859,1687,1553
ptv3_scannet20_maskedmodel_smoke,retained,random_keep0p2,random_drop,12,desk,0.20001951605081558,0.0,0.0,0.0,0.0,0,0,0
ptv3_scannet20_maskedmodel_smoke,retained,random_keep0p2,random_drop,13,curtain,0.20001951605081558,0.0,0.0,0.0,0.0,0,0,0
ptv3_scannet20_maskedmodel_smoke,retained,random_keep0p2,random_drop,14,refridgerator,0.20001951605081558,0.6142996108949267,-0.14949541567812785,0.8707342295759782,0.7637950265730545,2901,3737,2526
ptv3_scannet20_maskedmodel_smoke,retained,random_keep0p2,random_drop,15,shower curtain,0.20001951605081558,0.0,0.0,0.0,0.0,0,0,0
ptv3_scannet20_maskedmodel_smoke,retained,random_keep0p2,random_drop,16,toilet,0.20001951605081558,0.0,0.0,0.0,0.0,0,0,0
ptv3_scannet20_maskedmodel_smoke,retained,random_keep0p2,random_drop,17,sink,0.20001951605081558,0.5399239543724184,-0.07130714713941666,0.9044585987255387,0.611231101511835,157,248,142
ptv3_scannet20_maskedmodel_smoke,retained,random_keep0p2,random_drop,18,bathtub,0.20001951605081558,0.0,0.0,0.0,0.0,0,0,0
ptv3_scannet20_maskedmodel_smoke,retained,random_keep0p2,random_drop,19,otherfurniture,0.20001951605081558,0.5376407824540286,-0.023438763000510288,0.5567833026396221,0.5610795454545389,1629,965,907
ptv3_scannet20_maskedmodel_smoke,retained,fixed_points_4000,fixed_count_drop,0,wall,0.024348593316972256,0.3383954154727697,-0.44650702652329527,0.9792703150911294,0.784902441996065,1206,3465,1181
ptv3_scannet20_maskedmodel_smoke,retained,fixed_points_4000,fixed_count_drop,1,floor,0.024348593316972256,0.7064343163538637,-0.27639228198732824,0.97502312673446,0.9828265983411919,2162,2930,2108
ptv3_scannet20_maskedmodel_smoke,retained,fixed_points_4000,fixed_count_drop,2,cabinet,0.024348593316972256,0.0,-0.6943947191765457,0.0,0.6943947191765457,432,0,0
ptv3_scannet20_maskedmodel_smoke,retained,fixed_points_4000,fixed_count_drop,3,bed,0.024348593316972256,0.0,0.0,0.0,0.0,0,0,0
ptv3_scannet20_maskedmodel_smoke,retained,fixed_points_4000,fixed_count_drop,4,chair,0.024348593316972256,0.0,-0.9480172908120486,0.0,0.9480172908120486,1082,0,0
ptv3_scannet20_maskedmodel_smoke,retained,fixed_points_4000,fixed_count_drop,5,sofa,0.024348593316972256,0.0,0.0,0.0,0.0,0,49,0
ptv3_scannet20_maskedmodel_smoke,retained,fixed_points_4000,fixed_count_drop,6,table,0.024348593316972256,0.014218009478670739,-0.7866895344804871,0.014399999999997694,0.8009075439591578,625,17,9
ptv3_scannet20_maskedmodel_smoke,retained,fixed_points_4000,fixed_count_drop,7,door,0.024348593316972256,0.0,-0.9682825734366465,0.0,0.9682825734366465,267,98,0
ptv3_scannet20_maskedmodel_smoke,retained,fixed_points_4000,fixed_count_drop,8,window,0.024348593316972256,0.0285035629453614,-0.5605667974708706,0.05529953917048143,0.589070360416232,217,216,12
ptv3_scannet20_maskedmodel_smoke,retained,fixed_points_4000,fixed_count_drop,9,bookshelf,0.024348593316972256,0.0,0.0,0.0,0.0,0,0,0
ptv3_scannet20_maskedmodel_smoke,retained,fixed_points_4000,fixed_count_drop,10,picture,0.024348593316972256,0.0,0.0,0.0,0.0,0,0,0
ptv3_scannet20_maskedmodel_smoke,retained,fixed_points_4000,fixed_count_drop,11,counter,0.024348593316972256,0.0,-0.7953861584754183,0.0,0.7953861584754183,238,0,0
ptv3_scannet20_maskedmodel_smoke,retained,fixed_points_4000,fixed_count_drop,12,desk,0.024348593316972256,0.0,0.0,0.0,0.0,0,0,0
ptv3_scannet20_maskedmodel_smoke,retained,fixed_points_4000,fixed_count_drop,13,curtain,0.024348593316972256,0.0,0.0,0.0,0.0,0,0,0
ptv3_scannet20_maskedmodel_smoke,retained,fixed_points_4000,fixed_count_drop,14,refridgerator,0.024348593316972256,0.0,-0.7637950265730545,0.0,0.7637950265730545,325,0,0
ptv3_scannet20_maskedmodel_smoke,retained,fixed_points_4000,fixed_count_drop,15,shower curtain,0.024348593316972256,0.0,0.0,0.0,0.0,0,0,0
