method,variant,mIoU,delta_mIoU,picture_iou,delta_picture_iou,wall_iou,floor_iou,picture_to_wall,source
concerto_decoder_origin,clean_voxel,0.7874,0.0000,0.4153,0.0000,0.8839,0.9666,0.4220,results_masking_battery_full.csv
concerto_decoder_origin,random_keep0p5,0.7839,-0.0035,0.4127,-0.0026,0.8849,0.9652,0.4583,results_masking_battery_full.csv
concerto_decoder_origin,random_keep0p3,0.7773,-0.0101,0.3882,-0.0271,0.8814,0.9620,0.5172,results_masking_battery_full.csv
concerto_decoder_origin,random_keep0p2,0.7636,-0.0238,0.3215,-0.0938,0.8752,0.9574,0.6126,results_masking_battery_full.csv
concerto_decoder_origin,random_keep0p1,0.7121,-0.0753,0.1887,-0.2266,0.8522,0.9423,0.7384,results_masking_battery_full.csv
concerto_decoder_origin,structured_b64_keep0p5,0.7639,-0.0235,0.4060,-0.0093,0.8735,0.9666,0.4672,results_masking_battery_full.csv
concerto_decoder_origin,structured_b64_keep0p2,0.7569,-0.0305,0.4623,0.0470,0.8718,0.9640,0.3949,results_masking_battery_full.csv
concerto_decoder_origin,feature_zero1p0,0.0680,-0.7194,0.0000,-0.4153,0.5130,0.6497,0.9827,results_masking_battery_full.csv
concerto_linear_origin,clean_voxel,0.7691,0.0000,0.4230,0.0000,0.8735,0.9577,0.3956,results_masking_linear_origin_full.csv
concerto_linear_origin,random_keep0p5,0.7708,0.0017,0.3922,-0.0308,0.8748,0.9573,0.4802,results_masking_linear_origin_full.csv
concerto_linear_origin,random_keep0p3,0.7661,-0.0030,0.3810,-0.0420,0.8730,0.9555,0.5118,results_masking_linear_origin_full.csv
concerto_linear_origin,random_keep0p2,0.7589,-0.0103,0.3546,-0.0684,0.8703,0.9534,0.5489,results_masking_linear_origin_full.csv
concerto_linear_origin,random_keep0p1,0.7332,-0.0359,0.2656,-0.1574,0.8564,0.9482,0.6008,results_masking_linear_origin_full.csv
concerto_linear_origin,structured_b64_keep0p5,0.7542,-0.0149,0.3582,-0.0648,0.8687,0.9563,0.5252,results_masking_linear_origin_full.csv
concerto_linear_origin,structured_b64_keep0p2,0.7551,-0.0140,0.4724,0.0494,0.8595,0.9573,0.4605,results_masking_linear_origin_full.csv
concerto_linear_origin,feature_zero1p0,0.0390,-0.7302,0.0000,-0.4230,0.0160,0.4525,0.0120,results_masking_linear_origin_full.csv
sonata_linear_scannet_downloaded,clean_voxel,0.7169,0.0000,0.3662,0.0000,0.8584,0.9597,0.4588,results_masking_sonata_linear_full.csv
sonata_linear_scannet_downloaded,random_keep0p5,0.7150,-0.0019,0.3339,-0.0323,0.8562,0.9572,0.5323,results_masking_sonata_linear_full.csv
sonata_linear_scannet_downloaded,random_keep0p3,0.7038,-0.0131,0.2825,-0.0838,0.8512,0.9519,0.6183,results_masking_sonata_linear_full.csv
sonata_linear_scannet_downloaded,random_keep0p2,0.6942,-0.0227,0.2266,-0.1396,0.8462,0.9452,0.6786,results_masking_sonata_linear_full.csv
sonata_linear_scannet_downloaded,random_keep0p1,0.6650,-0.0519,0.1045,-0.2617,0.8281,0.9289,0.8535,results_masking_sonata_linear_full.csv
sonata_linear_scannet_downloaded,structured_b64_keep0p5,0.6953,-0.0216,0.3657,-0.0005,0.8481,0.9565,0.4721,results_masking_sonata_linear_full.csv
sonata_linear_scannet_downloaded,structured_b64_keep0p2,0.6752,-0.0417,0.3461,-0.0201,0.8399,0.9551,0.4752,results_masking_sonata_linear_full.csv
sonata_linear_scannet_downloaded,feature_zero1p0,0.0607,-0.6562,0.0000,-0.3662,0.4703,0.6285,0.7292,results_masking_sonata_linear_full.csv
coord_mlp,clean_voxel,0.0726,0.0000,0.0000,0.0000,0.1994,0.6889,0.2162,results_masking_coord_baselines_full.csv
coord_mlp,random_keep0p2,0.0732,0.0006,0.0000,0.0000,0.2012,0.6959,0.2215,results_masking_coord_baselines_full.csv
coord_mlp,structured_b64_keep0p2,0.0749,0.0023,0.0000,0.0000,0.2289,0.6915,0.2264,results_masking_coord_baselines_full.csv
coord_mlp,feature_zero1p0,0.0726,0.0000,0.0000,0.0000,0.1994,0.6889,0.2162,results_masking_coord_baselines_full.csv
coord_mlp_balanced,clean_voxel,0.0707,0.0000,0.0070,0.0000,0.1778,0.6645,0.1954,results_masking_coord_baselines_balanced_full.csv
coord_mlp_balanced,random_keep0p2,0.0715,0.0008,0.0070,0.0000,0.1805,0.6727,0.2012,results_masking_coord_baselines_balanced_full.csv
coord_mlp_balanced,structured_b64_keep0p2,0.0702,-0.0005,0.0069,-0.0001,0.2078,0.6608,0.3026,results_masking_coord_baselines_balanced_full.csv
coord_mlp_balanced,feature_zero1p0,0.0707,0.0000,0.0070,0.0000,0.1778,0.6645,0.1954,results_masking_coord_baselines_balanced_full.csv
train_majority_wall,clean_voxel,0.0151,0.0000,0.0000,0.0000,0.3010,0.0000,1.0000,results_masking_coord_baselines_full.csv
train_majority_wall,random_keep0p2,0.0150,0.0000,0.0000,0.0000,0.3010,0.0000,1.0000,results_masking_coord_baselines_full.csv
train_majority_wall,structured_b64_keep0p2,0.0146,-0.0005,0.0000,0.0000,0.2917,0.0000,1.0000,results_masking_coord_baselines_full.csv
train_majority_wall,feature_zero1p0,0.0151,0.0000,0.0000,0.0000,0.3010,0.0000,1.0000,results_masking_coord_baselines_full.csv
