variant,group_mode,clean_acc,delta_clean_vs_fps,random_keep20_acc,structured_keep20_acc,random20_damage,structured20_damage,structured_over_random,source
PointGPT-S official,fps_knn,0.9001721170395869,0.0,0.4440619621342513,0.20481927710843373,0.4561101549053356,0.6953528399311532,1.5245283018867926,3D-NEPA/results/ptgpt_grouping_official_objbg.csv
PointGPT-S official,radius_fps,0.9139414802065404,0.013769363166953541,0.4388984509466437,0.2289156626506024,0.4750430292598967,0.685025817555938,1.4420289855072463,3D-NEPA/results/ptgpt_grouping_official_objbg.csv
PointGPT-S official,random_center_knn,0.8950086058519794,-0.005163511187607495,0.3993115318416523,0.1944922547332186,0.4956970740103271,0.7005163511187608,1.4131944444444442,3D-NEPA/results/ptgpt_grouping_official_objbg.csv
PointGPT-S official,random_group,0.0757314974182444,-0.8244406196213425,0.07401032702237521,0.06368330464716007,0.0017211703958691926,0.012048192771084335,6.999999999999992,3D-NEPA/results/ptgpt_grouping_official_objbg.csv
PointGPT-S official,voxel_center_knn,0.9036144578313253,0.0034423407917384408,0.4423407917383821,0.2117039586919105,0.46127366609294324,0.6919104991394148,1.5,3D-NEPA/results/ptgpt_grouping_official_objbg.csv
PointGPT-S no-mask,fps_knn,0.8709122203098106,0.0,0.5180722891566265,0.21686746987951808,0.3528399311531841,0.6540447504302925,1.853658536585366,3D-NEPA/results/ptgpt_grouping_nomask_objbg.csv
PointGPT-S no-mask,radius_fps,0.8795180722891566,0.008605851979345935,0.5249569707401033,0.22375215146299485,0.3545611015490533,0.6557659208261617,1.8495145631067962,3D-NEPA/results/ptgpt_grouping_nomask_objbg.csv
PointGPT-S no-mask,random_center_knn,0.8382099827882961,-0.03270223752151458,0.45438898450946646,0.21686746987951808,0.3838209982788296,0.621342512908778,1.6188340807174888,3D-NEPA/results/ptgpt_grouping_nomask_objbg.csv
PointGPT-S no-mask,random_group,0.08777969018932874,-0.7831325301204819,0.0774526678141136,0.09294320137693632,0.010327022375215142,-0.005163511187607578,-0.5000000000000007,3D-NEPA/results/ptgpt_grouping_nomask_objbg.csv
PointGPT-S no-mask,voxel_center_knn,0.8657487091222031,-0.005163511187607495,0.5283993115318416,0.2512908777969019,0.33734939759036153,0.6144578313253013,1.8214285714285712,3D-NEPA/results/ptgpt_grouping_nomask_objbg.csv
