variant,mIoU,delta_mIoU,weak_mean_iou,delta_weak_mean_iou,picture_iou,delta_picture_iou,picture_to_wall,delta_picture_to_wall
pvd_thr0p9_b0p25,0.7784010959919674,-0.0005114163238355562,0.6796798089652,-0.001515380526341592,0.3951768892057643,-0.010903063039821304,0.4024016351558508,-0.03770692530924302
pvd_thr0p7_b0p25,0.7780678420877518,-0.0008446702280511253,0.6786890899240646,-0.002506099567476938,0.39391034567629346,-0.012169606569292168,0.3929242872706588,-0.04718427319443502
pvd_thr0p5_b0p25,0.7774923224115,-0.0014201899043029265,0.6773291930355303,-0.003865996456011267,0.3934891582743558,-0.012590793971229808,0.3910731674395735,-0.049035393025520346
pvd_thr0p9_b0p5,0.7760510200236436,-0.0028614922921593733,0.6738983639148811,-0.007296825576660448,0.37288367885826,-0.033196273387325614,0.3896318006960982,-0.05047675976899563
pvd_thr0p7_b0p5,0.7742626975741352,-0.004649814741667702,0.6692010621611025,-0.01199412733043903,0.36034480306112276,-0.045735149184462864,0.36895614195775206,-0.07115241850734177
pvd_thr0p9_b1p0,0.7727771874872842,-0.006135324828518751,0.6664524308284198,-0.014742758663121802,0.3550685420492949,-0.05101141019629074,0.38518718485166936,-0.05492137561342447
pvd_thr0p5_b0p5,0.772582758685506,-0.006329753630296975,0.665257352154815,-0.0159378373367266,0.35652569096125364,-0.04955426128433199,0.36233742443671,-0.07777113602838381
pvd_thr0p7_b1p0,0.7673619385592975,-0.011550573756505478,0.6528631381619607,-0.028332051329580832,0.31165702357236125,-0.09442292867322438,0.3486854156824558,-0.09142314478263802
pvd_thr0p5_b1p0,0.7631434378342001,-0.015769074481602807,0.6426997574030222,-0.038495432088519355,0.2892169893837789,-0.11686296286180675,0.3279278063265877,-0.11218075413850614
base,0.7789125123158029,0.0,0.6811951894915416,0.0,0.40607995224558563,0.0,0.44010856046509383,0.0
