variant,mIoU,delta_mIoU,weak_mean_iou,delta_weak_mean_iou,picture_iou,delta_picture_iou,picture_to_wall,delta_picture_to_wall
pvd_thr0p9_b0p25,0.5638841414444143,-0.00019035571678394092,0.5383490774871736,9.512898343322362e-05,0.680418041804143,0.00037406159527442195,0.025974025974025976,0.0005903187721369545
pvd_thr0p7_b0p25,0.5638734622095576,-0.0002010349516406995,0.5375092473128572,-0.0007447011908832124,0.6825919824272003,0.0025480022183317352,0.02538370720188902,0.0
pvd_thr0p9_b0p5,0.5636306710984125,-0.0004438260627858126,0.5380345793067585,-0.00021936919698195556,0.680418041804143,0.00037406159527442195,0.025974025974025976,0.0005903187721369545
pvd_thr0p9_b1p0,0.5635017411219612,-0.0005727560392371212,0.5380914951432951,-0.00016245336044529157,0.680418041804143,0.00037406159527442195,0.025974025974025976,0.0005903187721369545
pvd_thr0p5_b0p25,0.5633572320230841,-0.0007172651381142092,0.535762454907842,-0.0024914935958983975,0.6851343938562433,0.005090413647374725,0.024793388429752067,-0.0005903187721369545
pvd_thr0p7_b0p5,0.5627180753252776,-0.0013564218359206626,0.5365165243495061,-0.0017374241542342794,0.6842684268426467,0.004224446633778078,0.02538370720188902,0.0
pvd_thr0p7_b1p0,0.5619167368814169,-0.002157760279781429,0.5357369925854629,-0.002516955918277497,0.6820175438596117,0.001973563650743082,0.025974025974025976,0.0005903187721369545
pvd_thr0p5_b0p5,0.5617400801670144,-0.0023344169941839077,0.5335032186162354,-0.004750729887505023,0.6861993428258113,0.006155362616942717,0.02538370720188902,0.0
pvd_thr0p5_b1p0,0.5591364922382924,-0.004938004922905859,0.5296056176438078,-0.008648330859932662,0.6839237057220335,0.0038797255131649555,0.026564344746162927,0.0011806375442739055
base,0.5640744971611983,0.0,0.5382539485037404,0.0,0.6800439802088686,0.0,0.02538370720188902,0.0
