variant,mIoU,delta_mIoU,mAcc,allAcc,weak_mean_iou,delta_weak_mean_iou,picture_iou,delta_picture_iou,picture_to_wall_frac,delta_picture_to_wall_frac,counter_iou,desk_iou,sink_iou,cabinet_iou,door_iou,shower_curtain_iou
proto_tau0p1_lam0p2,0.77897414,0.00023095,0.87808154,0.91994042,0.67997976,0.00056746,0.40644087,0.00011060,0.41726362,-0.02043463,0.68512112,0.70370922,0.70566877,0.72261331,0.75624766,0.78005739
proto_tau0p2_lam0p4,0.77895855,0.00021536,0.87825134,0.91992270,0.67993208,0.00051977,0.40619814,-0.00013214,0.41349389,-0.02420436,0.68514609,0.70378972,0.70552757,0.72254297,0.75636873,0.77995131
proto_tau0p05_lam0p1,0.77893728,0.00019408,0.87698842,0.92001779,0.67988267,0.00047036,0.40600486,-0.00032541,0.42684702,-0.01085123,0.68469787,0.70365389,0.70635126,0.72260839,0.75657405,0.77928837
proto_tau0p1_lam0p1,0.77891500,0.00017180,0.87611057,0.92006352,0.67977689,0.00036459,0.40639792,0.00006764,0.42861137,-0.00908688,0.68425205,0.70406701,0.70690201,0.72234006,0.75716608,0.77731313
proto_tau0p2_lam0p2,0.77890547,0.00016228,0.87594574,0.92007175,0.67976553,0.00035322,0.40654680,0.00021652,0.42816787,-0.00953037,0.68414410,0.70410549,0.70691181,0.72229578,0.75732042,0.77703432
proto_tau0p05_lam0p05,0.77888869,0.00014549,0.87565108,0.92008543,0.67973296,0.00032065,0.40630253,-0.00002775,0.43250644,-0.00519181,0.68412361,0.70396874,0.70702059,0.72236422,0.75718992,0.77716110
proto_tau0p1_lam0p05,0.77888763,0.00014444,0.87523857,0.92010720,0.67968180,0.00026949,0.40642961,0.00009933,0.43336933,-0.00432892,0.68386673,0.70410852,0.70727763,0.72223048,0.75758140,0.77627824
multiproto8_tau0p2_lam0p4,0.77887764,0.00013445,0.87705424,0.91996500,0.67970062,0.00028831,0.40693920,0.00060892,0.42263380,-0.01506445,0.68477260,0.70414834,0.70582044,0.72258444,0.75693573,0.77670358
multiproto8_tau0p1_lam0p2,0.77885986,0.00011667,0.87722223,0.91992117,0.67970799,0.00029568,0.40694021,0.00060993,0.42183357,-0.01586468,0.68478720,0.70420341,0.70585854,0.72261376,0.75675436,0.77679843
proto_adapt_tau0p05_lam0p2,0.77885804,0.00011484,0.87599152,0.92009691,0.67967480,0.00026249,0.40571320,-0.00061708,0.43210632,-0.00559192,0.68397775,0.70348250,0.70642998,0.72256011,0.75696145,0.77859860
proto_adapt_tau0p2_lam0p4,0.77885644,0.00011324,0.87528109,0.92011754,0.67962808,0.00021577,0.40616760,-0.00016268,0.43316204,-0.00453621,0.68370898,0.70395654,0.70707358,0.72223736,0.75754674,0.77670578
proto_adapt_tau0p1_lam0p4,0.77885436,0.00011117,0.87653597,0.92007083,0.67969252,0.00028021,0.40552166,-0.00080862,0.42804736,-0.00965089,0.68411038,0.70343621,0.70613065,0.72253554,0.75688866,0.77922452
proto_adapt_tau0p1_lam0p2,0.77885354,0.00011035,0.87542636,0.92011327,0.67963792,0.00022561,0.40610663,-0.00022364,0.43305599,-0.00464226,0.68377519,0.70386417,0.70694094,0.72236215,0.75743929,0.77697708
proto_tau0p2_lam0p1,0.77885027,0.00010708,0.87509899,0.92010909,0.67960034,0.00018803,0.40642839,0.00009812,0.43342717,-0.00427107,0.68371836,0.70418373,0.70718744,0.72214498,0.75765735,0.77588214
multiproto4_tau0p2_lam0p2,0.77884959,0.00010640,0.87553119,0.92007568,0.67956974,0.00015743,0.40659562,0.00026534,0.43123861,-0.00645964,0.68412239,0.70421464,0.70677522,0.72224683,0.75757785,0.77545565
multiproto4_tau0p2_lam0p4,0.77884567,0.00010248,0.87729179,0.91994639,0.67963682,0.00022451,0.40714520,0.00081493,0.42062842,-0.01706983,0.68525297,0.70422989,0.70521806,0.72248607,0.75703563,0.77608989
multiproto8_tau0p05_lam0p1,0.77884066,0.00009747,0.87659551,0.91996539,0.67962812,0.00021581,0.40646096,0.00013068,0.42728088,-0.01041737,0.68423317,0.70417739,0.70625375,0.72263044,0.75678941,0.77685171
multiproto8_tau0p2_lam0p2,0.77883825,0.00009505,0.87541688,0.92008097,0.67957356,0.00016125,0.40652107,0.00019079,0.43217863,-0.00551962,0.68383899,0.70425505,0.70687555,0.72225516,0.75754032,0.77572877
proto_adapt_tau0p05_lam0p1,0.77883797,0.00009477,0.87517354,0.92011319,0.67960105,0.00018874,0.40594485,-0.00038543,0.43506619,-0.00263206,0.68370572,0.70381565,0.70709336,0.72234455,0.75746499,0.77683820
multiproto4_tau0p1_lam0p05,0.77883684,0.00009364,0.87506048,0.92010171,0.67952697,0.00011466,0.40651504,0.00018477,0.43400565,-0.00369260,0.68374166,0.70428398,0.70709057,0.72213894,0.75773491,0.77518368
multiproto4_tau0p1_lam0p1,0.77883418,0.00009098,0.87576449,0.92005263,0.67957249,0.00016018,0.40671583,0.00038555,0.43007202,-0.00762623,0.68418162,0.70420668,0.70663259,0.72228229,0.75743529,0.77555311
multiproto8_tau0p1_lam0p05,0.77883338,0.00009019,0.87501746,0.92009541,0.67955401,0.00014170,0.40644360,0.00011332,0.43430453,-0.00339372,0.68362316,0.70429922,0.70723045,0.72217387,0.75766929,0.77543846
multiproto8_tau0p1_lam0p1,0.77883333,0.00009014,0.87567679,0.92004990,0.67958926,0.00017695,0.40656918,0.00023891,0.43067942,-0.00701883,0.68403685,0.70418369,0.70679591,0.72234152,0.75738346,0.77581423
multiproto4_tau0p05_lam0p05,0.77883033,0.00008713,0.87547938,0.92007325,0.67949839,0.00008608,0.40647847,0.00014820,0.43265587,-0.00504237,0.68385110,0.70420493,0.70672566,0.72225499,0.75742056,0.77555299
multiproto8_tau0p05_lam0p05,0.77882166,0.00007846,0.87543970,0.92006327,0.67954006,0.00012775,0.40639419,0.00006391,0.43275229,-0.00494596,0.68373714,0.70421740,0.70685735,0.72232276,0.75735640,0.77589520
multiproto4_tau0p2_lam0p1,0.77882131,0.00007812,0.87490546,0.92010505,0.67951331,0.00010100,0.40641017,0.00007990,0.43473838,-0.00295986,0.68369533,0.70426091,0.70723858,0.72213262,0.75776228,0.77509325
multiproto8_tau0p2_lam0p1,0.77881916,0.00007597,0.87485697,0.92010575,0.67951425,0.00010194,0.40642239,0.00009212,0.43509511,-0.00260314,0.68353541,0.70427378,0.70723064,0.72210784,0.75773491,0.77529474
multiproto4_adapt_tau0p1_lam0p2,0.77881766,0.00007447,0.87521111,0.92010413,0.67946667,0.00005436,0.40634053,0.00001025,0.43375498,-0.00394327,0.68361459,0.70401505,0.70675782,0.72225416,0.75765530,0.77562925
multiproto8_adapt_tau0p2_lam0p4,0.77881530,0.00007211,0.87497988,0.92011252,0.67949932,0.00008702,0.40626887,-0.00006141,0.43494085,-0.00275740,0.68353768,0.70410054,0.70711889,0.72218905,0.75770002,0.77558023
multiproto8_adapt_tau0p1_lam0p2,0.77881393,0.00007073,0.87515734,0.92009775,0.67951725,0.00010494,0.40624210,-0.00008817,0.43412617,-0.00357208,0.68353425,0.70407025,0.70699726,0.72226792,0.75762607,0.77588292
