variant,mIoU,mAcc,allAcc,delta_mIoU,picture_iou,picture_delta_iou,counter_iou,counter_delta_iou,desk_iou,desk_delta_iou,sink_iou,sink_delta_iou,cabinet_iou,cabinet_delta_iou,door_iou,door_delta_iou,window_iou,window_delta_iou,bookshelf_iou,bookshelf_delta_iou
base,0.2973021408690443,0.4042355866984316,0.8305656864938357,0.0,0.46241813602015,0.0,0.4430568963906443,0.0,0.6202821246944082,0.0,0.6861886687003687,0.0,0.4096669446563868,0.0,0.6890324525779711,0.0,0.5957125236697183,0.0,0.427659807430421,0.0
pair_probe_top2,0.29497301369783213,0.4048124461915759,0.8160049393049152,-0.002329127171212142,0.137052667436271,-0.32536546858387894,0.45578263700315935,0.01272574061251508,0.6202821246944082,0.0,0.6861886687003687,0.0,0.409203504748963,-0.0004634399074238127,0.5818105914993171,-0.10722186107865395,0.5957125236697183,0.0,0.427659807430421,0.0
bias_unweighted,0.23474347663239548,0.2959833592831207,0.8108120082555834,-0.0625586642366488,0.22373538827307873,-0.23868274774707124,0.4371871908818442,-0.0058697055088000605,0.6147250328125048,-0.005557091881903453,0.7167329686723005,0.030544299971931865,0.3681249687467009,-0.04154197590968589,0.6510087979881011,-0.038023654589870004,0.607082083312841,0.011369559643122695,0.3589847116808782,-0.06867509574954278
bias_balanced,0.21344006667390944,0.3037501824873315,0.7869093651261655,-0.08386207419513483,0.19737421152999834,-0.26504392449015163,0.3834389553916659,-0.05961794099897838,0.5122061368762582,-0.10807598781815009,0.6484110445428483,-0.037777624157520395,0.3932764258779164,-0.01639051877847042,0.6763246665445991,-0.01270778603337197,0.6064318566991636,0.010719333029445277,0.34911640298945956,-0.07854340444096142
oracle_top2,0.4055191404193984,0.49586772655537986,0.9105824713297356,0.10821699955035413,0.7505170718475546,0.2880989358274046,0.623669862756156,0.18061296636551172,0.7515081457934469,0.1312260210990387,0.8047429816690147,0.11855431296864605,0.5871740166124654,0.17750707195607857,0.8670851613304705,0.17805270875249946,0.7715217958025803,0.17580927213286202,0.6881314087073989,0.2604716012769779
oracle_top3,0.46395565389907406,0.541804214062875,0.9371256593921578,0.1666535130300298,0.7883742681955147,0.32595613217536473,0.7170975075783077,0.27404061118766343,0.8041560060979084,0.18387388140350014,0.8339934426229486,0.14780477392257996,0.7101492204134897,0.3004822757571029,0.9274649599285846,0.2384325073506135,0.8402603965399361,0.24454787287021784,0.8094576428922263,0.38179783546180535
oracle_top5,0.5311443147103748,0.5911152242274461,0.9571242985817054,0.23384217384133055,0.8388304011751921,0.37641226515504217,0.8111847049981191,0.36812780860747485,0.8508410129542641,0.23055888825985582,0.8684146308397254,0.1822259621393567,0.8363181265504813,0.4266511818940945,0.9593015919535315,0.2702691393755604,0.8862894085818391,0.29057688491212086,0.9168344432398945,0.4891746358094735
oracle_top10,0.6008685792139802,0.6425128118971499,0.9735896529579204,0.3035664383449359,0.8893477340110092,0.4269295979908592,0.8927092709270904,0.44965237453644613,0.9203239543020165,0.3000418296076083,0.9175914859711999,0.23140281727083123,0.9285970215072529,0.518930076850866,0.9829123435888211,0.29387989101085,0.9170112199210458,0.32129869625132756,0.9750575708071719,0.547397763376751
oracle_graph_top1,0.30082353048154853,0.4064767203648448,0.8388338532568617,0.0035213896125042554,0.8742236024844691,0.4118054664643191,0.5366780339535908,0.09362113756294654,0.6202821246944082,0.0,0.6861886687003687,0.0,0.44689670864115,0.03722976398476319,0.8268464101670704,0.1378139575890993,0.5957125236697183,0.0,0.427659807430421,0.0
oracle_graph_top2,0.4086463470037001,0.497108784163574,0.9141236678317445,0.11134420613465584,0.9028608987442457,0.4404427627240957,0.7033052960818278,0.2602483996911835,0.7515081457934469,0.1312260210990387,0.8047429816690147,0.11855431296864605,0.614327032245767,0.2046600875893802,0.9283503541104197,0.23931790153244858,0.7928394272233118,0.19712690355359352,0.6882943922965665,0.26063458486614555
oracle_graph_top3,0.4668787907081371,0.5427072327412873,0.9388348101944445,0.16957664983909282,0.9061102831594604,0.44369214713931043,0.7910351051766811,0.3479782087860368,0.8041560060979084,0.18387388140350014,0.8355494823146034,0.1493608136142347,0.7306309672597954,0.32096402260340856,0.9518373698280331,0.26280491725006205,0.8420024187254624,0.24628989505574417,0.8096582277662734,0.3819984203358524
oracle_graph_top5,0.5330892848567711,0.5916866086691784,0.9580413009739741,0.23578714398772682,0.9148333391626704,0.45241520314252043,0.8609739760351265,0.4179170796444822,0.8508410129542641,0.23055888825985582,0.875129788513031,0.18894111981266237,0.8488892650484872,0.43922232039210035,0.9716655879970527,0.28263313541908164,0.8867000329192013,0.290987509249483,0.9170388694735802,0.4893790620431592
prior_alpha0p25,0.294703809004474,0.42754346997807846,0.8218610959135525,-0.002598331864570258,0.4462979291280403,-0.01612020689210969,0.4481965174129346,0.005139621022290319,0.6168105712897883,-0.0034715534046199092,0.6946302266275304,0.008441557927161725,0.39988466832843467,-0.009782276327952144,0.6856333629545113,-0.0033990896234598056,0.5978503021291719,0.002137778459453621,0.4093071818147144,-0.018352625615706553
prior_alpha0p5,0.27226094420137276,0.433021871725176,0.7942844906111991,-0.025041196667671517,0.42628875352304657,-0.0361293824971034,0.44855436832180945,0.0054974719311651765,0.6074662299889344,-0.01281589470547384,0.6870259381761192,0.0008372694757505794,0.3800408663026231,-0.029626078353763685,0.6728861452371302,-0.016146307340840882,0.5975773958804422,0.0018648722107239557,0.3677900238118994,-0.05986978361852158
prior_alpha0p75,0.23344856201994396,0.422538487728805,0.7038917144501267,-0.06385357884910031,0.4150866900383954,-0.047331445981754594,0.4596621257198523,0.01660522932920805,0.5440851837423709,-0.07619694095203733,0.664711502733689,-0.0214771659666797,0.31907280716144726,-0.09059413749493955,0.6192222299581485,-0.06981022261982262,0.5596485041680183,-0.03606401950170002,0.313402990185613,-0.11425681724480796
prior_alpha1p0,0.172508445418045,0.38415196294752996,0.4186277921950513,-0.12479369545099928,0.4103474272790086,-0.05207070874114139,0.3827594334568977,-0.06029746293374655,0.292375731485841,-0.32790639320856724,0.5744981041121643,-0.11169056458820437,0.06479473350862712,-0.3448722111477597,0.24208035879605813,-0.4469520937819129,0.23520105471324976,-0.3605114689564685,0.24345876021334859,-0.1842010472170724
