pair,positive_class,negative_class,stage,probe,balanced_acc,bal_acc_std,bal_acc_ci_low,bal_acc_ci_high,auc,auc_std,auc_ci_low,auc_ci_high,positive_acc,negative_acc,acc,train_positive,train_negative,val_positive,val_negative,train_samples_probe,pos_weight
picture_vs_wall,picture,wall,point_feature,unweighted,0.9097940325737,0.000973584760117423,0.908106429874897,0.9121050290763378,0.9603824615478516,0.0007163851014629531,0.9590555280447006,0.961842556297779,0.8381880521774292,0.9814000129699707,0.9379178285598755,60000,60000,26160,60000,120000,
picture_vs_wall,picture,wall,point_feature,balanced,0.9097450077533722,0.0011428751844588124,0.9074666038155556,0.9119761317968369,0.9603750705718994,0.0007009155836660082,0.9590912580490112,0.9617502242326736,0.8380733728408813,0.981416642665863,0.9378946423530579,60000,60000,26160,60000,120000,
picture_vs_wall,picture,wall,point_feature,weighted,0.9097940325737,0.0012302768171937443,0.9078930988907814,0.9127335377037525,0.9603824615478516,0.0007750486023985405,0.959235991537571,0.9619019314646721,0.8381880521774292,0.9814000129699707,0.9379178285598755,60000,60000,26160,60000,120000,1.0
picture_vs_wall,picture,wall,linear_logits,unweighted,0.9093804955482483,0.0012882218171681654,0.9070714272558689,0.9114787898957729,0.9537003636360168,0.0010122114038942213,0.9518139854073524,0.9553876221179962,0.8198776841163635,0.9988833069801331,0.9445334076881409,60000,60000,26160,60000,120000,
picture_vs_wall,picture,wall,linear_logits,balanced,0.9093804955482483,0.001301683206159263,0.9068208068609238,0.9119391702115536,0.9536750316619873,0.0010311478060155755,0.9517595618963242,0.9555170118808747,0.8198776841163635,0.9988833069801331,0.9445334076881409,60000,60000,26160,60000,120000,
picture_vs_wall,picture,wall,linear_logits,weighted,0.9093804955482483,0.0010377429518728554,0.9072788417339325,0.9113090850412846,0.9537003636360168,0.0009178108074194344,0.9520363450050354,0.9556291803717614,0.8198776841163635,0.9988833069801331,0.9445334076881409,60000,60000,26160,60000,120000,1.0
picture_vs_wall,picture,wall,linear_logits,direct_pair_margin,0.8613453209400177,0.0015206111153411286,0.8582125775516033,0.8641222372651101,0.9697278738021851,0.0006779619049162771,0.968423281610012,0.9709556549787521,0.7229740023612976,0.9997166395187378,0.9156917333602905,60000,60000,26160,60000,0,
counter_vs_cabinet,counter,cabinet,point_feature,unweighted,0.9604794979095459,0.0006404929514335338,0.9591636292636394,0.9616264402866364,0.9926329255104065,0.00022553119093760785,0.992224894464016,0.9930247411131858,0.9807923436164856,0.9401666522026062,0.9551302194595337,31430,60000,34986,60000,91430,
counter_vs_cabinet,counter,cabinet,point_feature,balanced,0.9574925303459167,0.0006215270977140792,0.956319522112608,0.9587903007864952,0.9920046329498291,0.00022221718834207244,0.9915869295597076,0.9924996733665467,0.980535089969635,0.9344499707221985,0.9514244198799133,31430,60000,34986,60000,62860,
counter_vs_cabinet,counter,cabinet,point_feature,weighted,0.957796186208725,0.0006396668847700272,0.9566589795053005,0.9590847291052341,0.9920368194580078,0.00024491108075481906,0.991562083363533,0.9925343707203865,0.9807923436164856,0.9348000288009644,0.9517402648925781,31430,60000,34986,60000,91430,1.9090041361756285
counter_vs_cabinet,counter,cabinet,linear_logits,unweighted,0.9629000127315521,0.0005623288817743049,0.9618108823895455,0.9638580568134785,0.9934585094451904,0.00021650778989875435,0.9930276915431022,0.9938572198152542,0.9822500348091125,0.9435499906539917,0.9578043222427368,31430,60000,34986,60000,91430,
counter_vs_cabinet,counter,cabinet,linear_logits,balanced,0.9649105370044708,0.0005985461124891435,0.9636089205741882,0.9661162808537483,0.9932753443717957,0.00022899975643936427,0.9928348928689956,0.9937503725290299,0.981221079826355,0.9485999941825867,0.9606152772903442,31430,60000,34986,60000,62860,
counter_vs_cabinet,counter,cabinet,linear_logits,weighted,0.9651605486869812,0.0005984328736168981,0.9639211550354958,0.9662776790559292,0.9934682846069336,0.0002265853299362228,0.9930453523993492,0.9938746362924575,0.9814211130142212,0.9488999843597412,0.9608784317970276,31430,60000,34986,60000,91430,1.9090041361756285
counter_vs_cabinet,counter,cabinet,linear_logits,direct_pair_margin,0.9728664457798004,0.0005060537242558432,0.9718164972960949,0.9738323234021664,0.9956454634666443,0.000142243310465021,0.9953503221273422,0.9959206745028496,0.9751328825950623,0.9706000089645386,0.972269594669342,31430,60000,34986,60000,0,
door_vs_wall,door,wall,point_feature,unweighted,0.8973333239555359,0.0008285529499059522,0.8959075070917606,0.8988135442137718,0.9288204312324524,0.0007419155283260457,0.927304944396019,0.9303470253944397,0.8115666508674622,0.9830999970436096,0.8973333239555359,60000,60000,60000,60000,120000,
