target_id,target_name,top3_class_id,top3_class_name,count,fraction_of_target
10,picture,0,wall,149571,0.9997526870220844
10,picture,1,floor,11673,0.07802390246510882
10,picture,2,cabinet,15527,0.1037845569755628
10,picture,3,bed,6084,0.040666274530773754
10,picture,4,chair,15874,0.10610395166033902
10,picture,5,sofa,666,0.004451633602481151
10,picture,6,table,1159,0.007746911929843324
10,picture,7,door,44961,0.3005253729747072
10,picture,8,window,43036,0.28765841398855674
10,picture,9,bookshelf,721,0.00481926100208545
10,picture,10,picture,121966,0.8152371530934175
10,picture,11,counter,284,0.001898294208865836
10,picture,12,desk,2799,0.018708892572589703
10,picture,13,curtain,2103,0.01405673493396075
10,picture,14,refridgerator,4494,0.03003850061494038
10,picture,15,shower curtain,394,0.0026335490080744346
10,picture,16,toilet,966,0.006456873963959146
10,picture,17,sink,726,0.00485268167477675
10,picture,18,bathtub,450,0.0030078605422169937
10,picture,19,otherfurniture,25370,0.16957649323565585
11,counter,0,wall,37142,0.23482774535775477
11,counter,1,floor,5179,0.03274387198340994
11,counter,2,cabinet,134675,0.8514734426270967
11,counter,3,bed,79,0.0004994720769819241
11,counter,4,chair,451,0.0028514165407449088
11,counter,5,sofa,1708,0.010798712752976284
11,counter,6,table,31314,0.19798061542546802
11,counter,7,door,147,0.000929397409067631
11,counter,8,window,4269,0.02699045945108651
11,counter,9,bookshelf,517,0.0032686970101222126
11,counter,10,picture,45,0.0002845094109390707
11,counter,11,counter,144344,0.9126050313908717
11,counter,12,desk,3242,0.020497322450321497
11,counter,13,curtain,70,0.00044257019479411003
11,counter,14,refridgerator,2625,0.016596382304779125
11,counter,15,shower curtain,2025,0.012802923492258183
11,counter,16,toilet,45,0.0002845094109390707
11,counter,17,sink,100549,0.6357141502336139
11,counter,18,bathtub,633,0.004002099047209595
11,counter,19,otherfurniture,5442,0.03440667142956495
12,desk,0,wall,134986,0.2892486896746793
12,desk,1,floor,51702,0.11078730945105619
12,desk,2,cabinet,96858,0.20754781669588024
12,desk,3,bed,15067,0.03228564449149092
12,desk,4,chair,140726,0.3015483909676479
12,desk,5,sofa,2552,0.005468438623633426
12,desk,6,table,389322,0.8342411684287667
12,desk,7,door,15908,0.03408774358337012
12,desk,8,window,32887,0.0704704314323795
12,desk,9,bookshelf,32160,0.06891261212227703
12,desk,10,picture,4272,0.009154063401317396
12,desk,11,counter,419,0.0008978353382846417
12,desk,12,desk,452705,0.9700585842915244
12,desk,13,curtain,20339,0.04358251299611295
12,desk,14,refridgerator,877,0.0018792400755981641
12,desk,17,sink,489,0.001047831695515966
12,desk,19,otherfurniture,8765,0.018781686730465118
17,sink,0,wall,38469,0.5719531958548298
17,sink,1,floor,1251,0.018599741298562275
17,sink,2,cabinet,53954,0.8021826075320775
17,sink,3,bed,94,0.0013975824796681486
17,sink,4,chair,1467,0.02181120742205504
17,sink,5,sofa,971,0.014436729656997577
17,sink,6,table,5522,0.08210053673114379
17,sink,7,door,1072,0.015938387427704842
17,sink,8,window,1647,0.024487429191632347
17,sink,10,picture,883,0.013128354569648672
17,sink,11,counter,26482,0.39373169389970114
17,sink,12,desk,968,0.014392125960837955
17,sink,13,curtain,26,0.00038656536671672194
17,sink,15,shower curtain,22,0.0003270937718372262
17,sink,16,toilet,1908,0.02836795075751944
17,sink,17,sink,63520,0.9444089266863914
17,sink,18,bathtub,337,0.005010481868597511
17,sink,19,otherfurniture,3184,0.04733938952407856
2,cabinet,0,wall,686624,0.6870974101155696
2,cabinet,1,floor,225244,0.22539930011778114
2,cabinet,2,cabinet,947749,0.9484024492875591
2,cabinet,3,bed,7024,0.007028842872739317
2,cabinet,4,chair,20346,0.02036002805933288
2,cabinet,5,sofa,6946,0.0069507890936855495
2,cabinet,6,table,135025,0.13511809636839783
2,cabinet,7,door,85869,0.08592820453292319
2,cabinet,8,window,36063,0.03608786453866714
2,cabinet,9,bookshelf,33182,0.03320487816105296
2,cabinet,10,picture,11808,0.011816141321370424
2,cabinet,11,counter,162320,0.1624319155898414
2,cabinet,12,desk,47250,0.047282577696032564
2,cabinet,13,curtain,18512,0.018524763562094284
2,cabinet,14,refridgerator,39677,0.03970435630149173
2,cabinet,15,shower curtain,727,0.0007275012483601201
2,cabinet,16,toilet,45,4.503102637717387e-05
2,cabinet,17,sink,259860,0.2600391669860534
2,cabinet,18,bathtub,204,0.00020414065290985488
2,cabinet,19,otherfurniture,273458,0.27364654246776027
15,shower curtain,0,wall,56559,0.5597961102588213
15,shower curtain,1,floor,1868,0.01848864254961152
15,shower curtain,2,cabinet,600,0.005938536150838818
15,shower curtain,3,bed,7737,0.07657742366506656
15,shower curtain,4,chair,358,0.003543326570000495
15,shower curtain,5,sofa,26,0.0002573365665363488
15,shower curtain,7,door,17205,0.17028752412530312
15,shower curtain,8,window,1982,0.019616964418270898
15,shower curtain,9,bookshelf,26,0.0002573365665363488
15,shower curtain,10,picture,63,0.0006235462958380759
15,shower curtain,11,counter,421,0.00416687286583857
15,shower curtain,12,desk,1,9.89756025139803e-06
15,shower curtain,13,curtain,89037,0.8812490721037264
15,shower curtain,14,refridgerator,479,0.004740931360419656
15,shower curtain,15,shower curtain,91644,0.9070520116791211
15,shower curtain,16,toilet,8,7.918048201118425e-05
15,shower curtain,17,sink,55,0.0005443658138268917
15,shower curtain,18,bathtub,34502,0.34148562379373487
15,shower curtain,19,otherfurniture,534,0.005285297174246548
7,door,0,wall,1019920,0.9386040390747583
7,door,1,floor,214332,0.19724378471151766
7,door,2,cabinet,137347,0.12639662812259866
7,door,3,bed,4972,0.00457559346054563
7,door,4,chair,3359,0.0030911943752962127
7,door,5,sofa,47430,0.043648511229621725
7,door,6,table,11306,0.010404597679993742
7,door,7,door,1077621,0.9917046662402739
7,door,8,window,436366,0.40157550603468506
7,door,9,bookshelf,23158,0.021311663990208302
7,door,10,picture,15865,0.01460011871511593
7,door,11,counter,180,0.00016564899897389648
7,door,12,desk,4924,0.00453142039415259
7,door,13,curtain,56139,0.051663161963308744
7,door,14,refridgerator,1351,0.0012432877645207451
7,door,15,shower curtain,5312,0.004888486014162989
7,door,16,toilet,119,0.00010951239376607601
7,door,17,sink,26360,0.02425837562751062
7,door,18,bathtub,2873,0.0026439420780666923
7,door,19,otherfurniture,170971,0.15733986113092252
