variant,mIoU,mAcc,allAcc,delta_mIoU,picture_iou,picture_delta_iou,counter_iou,counter_delta_iou,desk_iou,desk_delta_iou,sink_iou,sink_delta_iou,cabinet_iou,cabinet_delta_iou,shower_curtain_iou,shower_curtain_delta_iou,door_iou,door_delta_iou
base,0.7715960091433043,0.8480761543521851,0.9222403111274196,0.0,0.39102944605795914,0.0,0.723099618671194,0.0,0.7070854676499001,0.0,0.692297701000129,0.0,0.715021094348719,0.0,0.7024002058369471,0.0,0.7316860780682889,0.0
pair_probe_top2,0.7491063688902965,0.853468164760337,0.893422126016369,-0.022489640253007814,0.1272871328562479,-0.26374231320171126,0.7091587118658806,-0.013940906805313347,0.7070854676499001,0.0,0.692297701000129,0.0,0.7125943492915209,-0.0024267450571980875,0.7024002058369471,0.0,0.6489899917270998,-0.08269608634118908
bias_unweighted,0.7508781929663662,0.8337382299109679,0.9147079203944685,-0.02071781617693813,0.364655747674998,-0.026373698382961164,0.7212159810256885,-0.001883637645505476,0.7099606189227426,0.0028751512728425466,0.6915057660626021,-0.0007919349375269391,0.7028266023749262,-0.012194491973792743,0.5804895091688537,-0.1219106966680934,0.7194241945331893,-0.012261883535099605
bias_balanced,0.7356514365848538,0.8471821196183249,0.9107687080400831,-0.035944572558450516,0.242095127366596,-0.14893431869136314,0.6167008210750192,-0.10639879759617477,0.6972771917880223,-0.009808275861877824,0.6638450052981401,-0.02845269570198894,0.7066953605451273,-0.008325733803591695,0.5809299865903634,-0.12147021924658363,0.718946967949683,-0.012739110118605845
oracle_top2,0.8888621334385874,0.9213328203693069,0.9690499007056904,0.11726612429528316,0.6762711194806217,0.28524167342266254,0.864229701278491,0.14113008260729698,0.8889339921989134,0.18184852454901335,0.8617510870178993,0.16945338601777027,0.8462505737853139,0.1312294794365949,0.8339118226312805,0.13151161679433343,0.9208850914667543,0.18919901339846545
oracle_top3,0.9279999681548405,0.9485140480397429,0.9803157889763631,0.15640395901153625,0.8111329099191962,0.42010346386123704,0.9050574972097859,0.1819578785385919,0.9348811947843827,0.2277957271344826,0.9154188704261469,0.2231211694260179,0.8976578941884936,0.18263679983977466,0.903992029750337,0.20159182391338992,0.965573876251969,0.2338877981836801
oracle_top5,0.9646761597871322,0.9748774147009348,0.9901806117033423,0.19308015064382789,0.9547437259106358,0.5637142798526766,0.936660679963449,0.21356106129225505,0.9655191270622479,0.25843365941234775,0.9425716208702763,0.25027391987014735,0.953833040088891,0.23881194574017206,0.9716461454779202,0.2692459396409731,0.9833733265861723,0.2516872485178834
oracle_top10,0.9915486197014325,0.9935411989764493,0.9980701391065244,0.2199526105581282,0.9949669812581873,0.6039375352002281,0.9732369171254649,0.2501372984542709,0.9917786831777398,0.28469321552783966,0.9918160619068115,0.2995183609066825,0.9881478383999729,0.2731267440512539,0.9939626077575532,0.2915624019206061,0.994696531911016,0.26301045384272714
oracle_graph_top1,0.817522758580006,0.8828457749909795,0.9361341126742375,0.04592674943670172,0.9700628699439617,0.5790334238860027,0.8441528930561863,0.12105327438499236,0.7070854676499001,0.0,0.692297701000129,0.0,0.732878068869002,0.01785697452028301,0.7024002058369471,0.0,0.8945775026910656,0.16289142462277673
oracle_graph_top2,0.9120167478790133,0.9415348210356793,0.9729296230910847,0.14042073873570904,0.9840707498403118,0.5930413037823528,0.938274372097077,0.215174753425883,0.8890429735389759,0.18195750588907578,0.871233854278169,0.17893615327804002,0.8568991895951154,0.14187809524639639,0.8366362782690343,0.13423607243208724,0.951739261176694,0.22005318310840516
oracle_graph_top3,0.9413944348463714,0.9606301994702383,0.9821059606507911,0.16979842570306714,0.9948386066898569,0.6038091606318978,0.9555182832984686,0.23241866462727456,0.9350221515392477,0.22793668388934762,0.9211136890951263,0.22881598809499726,0.9048656929112602,0.1898445985625412,0.9048220844358429,0.20242187859889582,0.9732039082039844,0.2415178301356955
oracle_graph_top5,0.9699770561876688,0.9796103772038682,0.9908529546553362,0.19838104704436454,0.999445524447027,0.6084160783890677,0.98440906971175,0.26130945104055603,0.9656125501150593,0.2585270824651592,0.9432064421669093,0.2509087411667803,0.9577460646421193,0.24272497029340034,0.9718864378276774,0.2694862319907303,0.9853330866629303,0.2536470085946414
prior_alpha0p25,0.772913753917092,0.854985600032283,0.9223435819339476,0.0013177447737877657,0.39336911510264294,0.002339669044683801,0.72229977653323,-0.0007998421379640241,0.7046068034705962,-0.002478664179303869,0.689915826425633,-0.0023818745744960124,0.7137346938066984,-0.0012864005420205604,0.7485989799314551,0.04619877409450801,0.7323583486413495,0.0006722705730606293
prior_alpha0p5,0.7666805010722412,0.8603838026387434,0.9206800675925736,-0.004915508071063113,0.3982523500595788,0.007222904001619679,0.7219933175690871,-0.0011063011021068547,0.6997070404250048,-0.007378427224895345,0.6871231696813084,-0.005174531318820619,0.7129677959511107,-0.002053298397608261,0.7400074340230448,0.03760722818609774,0.7333274811067984,0.0016414030385094591
prior_alpha0p75,0.7202178105823148,0.8510390068879575,0.9065016512305093,-0.05137819856098946,0.39909142136206993,0.008061975304110791,0.7238172929056862,0.0007176742344922049,0.6942876126606855,-0.012797854989214597,0.6832167656234267,-0.009080935376702293,0.678788073449337,-0.03623302089938196,0.5332918100979316,-0.16910839573901548,0.7302441398785938,-0.001441938189695069
prior_alpha1p0,0.49514378703250667,0.6560434004801833,0.7404468007704168,-0.2764522221107976,0.3955352203232702,0.004505774265311069,0.6743865805971794,-0.048713038074014614,0.639161462151653,-0.06792400549824706,0.6868849270664497,-0.005412773933679338,0.5242379822014583,-0.19078311214726063,0.13496837418191943,-0.5674318316550276,0.5396419415029803,-0.1920441365653086
proto_tau0p05_lam0p05,0.7715544929245951,0.8485074295639432,0.9222492090314514,-4.1516218709181096e-05,0.3909710886779394,-5.8357380019746774e-05,0.7229639259740761,-0.000135692697117884,0.7067775660950075,-0.00030790155489257565,0.6921370182950555,-0.00016068270507352267,0.7150426399831443,2.1545634425357285e-05,0.700700599463057,-0.0016996063738901057,0.7323148898704687,0.000628811802179774
