class_id,class_name,kind,k,hit_count,hit_rate,ci_low,ci_high,target_count
10,picture,topk,1,73781,0.49316213036736,0.49062870537166103,0.495695555363059,149608
10,picture,topk,2,102708,0.6865140901556066,0.6841633079041328,0.6888648724070804,149608
10,picture,topk,3,121966,0.8152371530934175,0.8132704990592099,0.8172038071276251,149608
10,picture,topk,5,142928,0.9553499812844233,0.9543034053716849,0.9563965571971617,149608
10,picture,topk,10,148859,0.9949935832308433,0.9946359381113187,0.9953512283503679,149608
10,picture,topk,20,149608,1.0,1.0,1.0,149608
10,picture,topk_plus_confusion_graph,1,147662,0.9869926741885461,0.9864185185466965,0.9875668298303957,149608
10,picture,topk_plus_confusion_graph,2,149440,0.9988770653975724,0.998707353645974,0.9990467771491708,149608
10,picture,topk_plus_confusion_graph,3,149571,0.9997526870220844,0.9996730071907316,0.9998323668534372,149608
10,picture,topk_plus_confusion_graph,5,149608,1.0,1.0,1.0,149608
11,counter,topk,1,129894,0.8212458983226589,0.8193576341745809,0.823134162470737,158167
11,counter,topk,2,141617,0.895363761087964,0.8938552831963607,0.8968722389795674,158167
11,counter,topk,3,144344,0.9126050313908717,0.9112132123376155,0.9139968504441278,158167
11,counter,topk,5,148634,0.9397282619003964,0.9385553750030412,0.9409011487977516,158167
11,counter,topk,10,153969,0.9734584331750618,0.9726662600272874,0.9742506063228361,158167
11,counter,topk,20,158167,1.0,1.0,1.0,158167
11,counter,topk_plus_confusion_graph,1,141166,0.8925123445472191,0.8909858876570952,0.8940388014373429,158167
11,counter,topk_plus_confusion_graph,2,150700,0.9527904050781769,0.9517451748593144,0.9538356352970394,158167
11,counter,topk_plus_confusion_graph,3,152108,0.9616923884248927,0.9607464589467699,0.9626383179030155,158167
11,counter,topk_plus_confusion_graph,5,156208,0.9876143569771191,0.9870692884458823,0.9881594255083559,158167
12,desk,topk,1,406939,0.8719909659336844,0.8710323962041548,0.872949535663214,466678
12,desk,topk,2,442354,0.9478784086672181,0.9472406849687347,0.9485161323657014,466678
12,desk,topk,3,452705,0.9700585842915244,0.9695696139086878,0.9705475546743609,466678
12,desk,topk,5,459058,0.9836718251128187,0.9833082104857704,0.984035439739867,466678
12,desk,topk,10,463721,0.9936637253095282,0.9934360666766545,0.9938913839424018,466678
12,desk,topk,20,466678,1.0,1.0,1.0,466678
12,desk,topk_plus_confusion_graph,1,406939,0.8719909659336844,0.8710323962041548,0.872949535663214,466678
12,desk,topk_plus_confusion_graph,2,442354,0.9478784086672181,0.9472406849687347,0.9485161323657014,466678
12,desk,topk_plus_confusion_graph,3,452705,0.9700585842915244,0.9695696139086878,0.9705475546743609,466678
12,desk,topk_plus_confusion_graph,5,459058,0.9836718251128187,0.9833082104857704,0.984035439739867,466678
17,sink,topk,1,53300,0.79245900176928,0.7893940671085274,0.7955239364300325,67259
17,sink,topk,2,61043,0.9075811415572637,0.9053923525450817,0.9097699305694457,67259
17,sink,topk,3,63520,0.9444089266863914,0.9426772634388427,0.9461405899339401,67259
17,sink,topk,5,64421,0.9578049034329978,0.956285579465388,0.9593242274006077,67259
