variant,mIoU,mAcc,allAcc,delta_mIoU,picture_iou,picture_delta_iou,counter_iou,counter_delta_iou,desk_iou,desk_delta_iou,sink_iou,sink_delta_iou,cabinet_iou,cabinet_delta_iou,shower_curtain_iou,shower_curtain_delta_iou,door_iou,door_delta_iou
base,0.774501483862503,0.8688013477651744,0.9221304541270233,0.0,0.490766240077757,0.0,0.7777818188430827,0.0,0.6441824069608352,0.0,0.7267803462216214,0.0,0.7364181220596763,0.0,0.8452888924670562,0.0,0.743057101858037,0.0
pair_probe_top2,0.7458115006534394,0.8719949778003826,0.8939078858448289,-0.028689983209063574,0.09906757886049741,-0.3916986612172596,0.7638178849602519,-0.013963933882830792,0.6441824069608352,0.0,0.7267803462216214,0.0,0.7326892414794647,-0.003728880580211591,0.8452888924670562,0.0,0.6679205873890386,-0.07513651446899838
bias_unweighted,0.7552957586172198,0.8588340241601466,0.9153589957856612,-0.01920572524528319,0.3890571026483,-0.10170913742945697,0.7782949358444445,0.0005131170013618069,0.666635413411119,0.022453006450283808,0.7277587569133507,0.0009784106917293256,0.7170482204341961,-0.019369901625480135,0.7354464932315727,-0.10984239923548345,0.7392422499505432,-0.003814851907493755
bias_balanced,0.7340066748077263,0.873592669215786,0.9101080494485029,-0.04049480905477665,0.21861550649851175,-0.27215073357924524,0.6779362937582433,-0.09984552508483946,0.6363359698204122,-0.00784643714042299,0.691033992656637,-0.035746353564984346,0.7224398080966623,-0.013978313963013966,0.7405424995121386,-0.10474639295491761,0.7361278697609771,-0.0069292320970598675
oracle_top2,0.9038134515464702,0.9394394099034983,0.9709044100455255,0.12931196768396724,0.8785224793337609,0.38775623925600394,0.928695948382959,0.15091412953987626,0.8535483714578903,0.20936596449705513,0.8889081806869783,0.16212783446535695,0.8534377847493592,0.11701966268968289,0.9659273832945776,0.12063849082752143,0.9459830086672958,0.20292590680925882
oracle_top3,0.939049310353329,0.9612926434977653,0.9811330662498757,0.164547826490826,0.9696503797546172,0.4788841396768602,0.9774029445589886,0.19962112571590584,0.9052908493980971,0.26110844243726195,0.9454452343655834,0.218664888143962,0.9028664215021265,0.1664482994424502,0.991932526585989,0.14664363411893278,0.9744161183495726,0.23135901649153567
oracle_top5,0.9689590186256453,0.9795068689935917,0.9909851545374743,0.19445753476314231,0.9952338488976323,0.5044676088198754,0.9907085269056884,0.21292670806260572,0.9425736412667677,0.2983912343059325,0.9708172398994515,0.2440368936778301,0.9631390817353599,0.22672095967568362,0.9976035393879779,0.15231464692092167,0.9865942777507377,0.24353717589270074
oracle_top10,0.9935407392520854,0.9951704132867064,0.9985495326543837,0.21903925538958247,0.9954798437932383,0.5047136037154814,0.9982843932087067,0.22050257436562393,0.9847888252429775,0.34060641828214233,0.9975068484717874,0.27072650225016603,0.9921150338859844,0.25569691182630816,0.9995077680356838,0.15421887556862757,0.9990385466650139,0.25598144480697693
oracle_graph_top1,0.8146778613931325,0.8886582321689594,0.9354789902070091,0.040176377530629526,0.976300116657454,0.485533876579697,0.8690065437239729,0.09122472488089017,0.6441824069608352,0.0,0.7267803462216214,0.0,0.7567291882345775,0.020311066174901193,0.8452888924670562,0.0,0.9120330737977795,0.16897597193974256
oracle_graph_top2,0.9152273620692316,0.9476653205802694,0.973041172641927,0.14072587820672866,0.9993546602747273,0.5085884201969704,0.9690996764687689,0.1913178576256862,0.8535483714578903,0.20936596449705513,0.9062426244984632,0.1794622782768418,0.8625614686696207,0.12614334660994442,0.9680917809446955,0.12280288847763932,0.9693629202974311,0.22630581843939412
oracle_graph_top3,0.9419570523918568,0.9634520383162848,0.9816421583046665,0.16745556852935384,0.999999999999997,0.5092337599222401,0.9846120300283452,0.20683021118526246,0.9052908493980971,0.26110844243726195,0.9532270311313562,0.22644668490973485,0.9047930328724779,0.16837491081280165,0.9919931544526588,0.1467042619856026,0.9805975623960209,0.23754046053798394
oracle_graph_top5,0.9695013920235402,0.9799077623828689,0.9911234638124996,0.1949999081610373,0.999999999999997,0.5092337599222401,0.9923334930522271,0.21455167420914434,0.9425736412667677,0.2983912343059325,0.9708767627222533,0.24409641650063196,0.963950622598663,0.22753250053898677,0.9976035393879779,0.15231464692092167,0.9880491759078668,0.2449920740498298
prior_alpha0p25,0.7714124740934104,0.8730991819594177,0.9214911519889879,-0.0030890097690925433,0.48681441859550356,-0.003951821482253426,0.7729821885234862,-0.004799630319596515,0.6395463270615516,-0.004636079899283607,0.7241792719944883,-0.002601074227133071,0.7343213246760177,-0.002096797383658533,0.8366991552956443,-0.008589737171411871,0.7432243345065952,0.00016723264855822428
prior_alpha0p5,0.7596392617407042,0.8754420650455674,0.9190322017635055,-0.014862222121798774,0.4825467906763109,-0.008219449401446088,0.7692765730536787,-0.008505245789404037,0.6323363993392337,-0.011846007621601484,0.718924212746721,-0.007856133474900329,0.7366582659061766,0.00024014384650028475,0.7441502675147518,-0.10113862495230441,0.7440593206795375,0.0010022188215005334
prior_alpha0p75,0.7054467842565868,0.8620929229469846,0.9032051349943915,-0.06905469960591615,0.47537815438361675,-0.015388085694140241,0.7699884021768215,-0.00779341666626121,0.6258971291866027,-0.0182852777742325,0.7120455279703752,-0.014734818251246118,0.7235628105039034,-0.012855311555772908,0.43232756896574653,-0.41296132350130965,0.7331783077368148,-0.009878794121222167
prior_alpha1p0,0.49432097829342403,0.6714966704329608,0.7408697410545985,-0.2801805055690789,0.46718895996549903,-0.02357728011225796,0.7183613058699626,-0.05942051297312012,0.5859250089326637,-0.058257398028171425,0.7222092328475288,-0.00457111337409255,0.5789382942398424,-0.15747982781983383,0.11112672339638027,-0.7341621690706759,0.4782426059865546,-0.26481449587148237
