target_id,target_name,pred_id,pred_name,count,fraction_of_target
10,picture,10,picture,24236,0.7452415362381231
10,picture,0,wall,7566,0.23264967251929522
10,picture,19,otherfurniture,495,0.015220934165616063
10,picture,13,curtain,120,0.0036899234340887427
10,picture,4,chair,99,0.0030441868331232127
10,picture,6,table,5,0.00015374680975369762
11,counter,11,counter,85542,0.8951653411469234
11,counter,0,wall,4080,0.04269568857262453
11,counter,17,sink,2874,0.03007534533277522
11,counter,2,cabinet,2106,0.02203850983675178
11,counter,8,window,774,0.008099623273336123
11,counter,14,refridgerator,83,0.00086856425282545
11,counter,9,bookshelf,65,0.0006802009208874006
11,counter,19,otherfurniture,36,0.0003767266638760988
12,desk,12,desk,196341,0.8766240724369793
12,desk,9,bookshelf,11462,0.05117558288015573
12,desk,6,table,7024,0.03136078294802075
12,desk,0,wall,5145,0.022971416325109163
12,desk,2,cabinet,1506,0.0067239947493905544
12,desk,1,floor,708,0.003161081196924643
12,desk,19,otherfurniture,616,0.002750319233482458
12,desk,4,chair,567,0.0025315438399099895
12,desk,3,bed,371,0.0016564422656201166
12,desk,14,refridgerator,145,0.0006473965728164877
12,desk,8,window,52,0.00023216980542384384
12,desk,7,door,37,0.00016519774616696582
17,sink,17,sink,28045,0.8650257549119398
17,sink,11,counter,1896,0.058480614416581846
17,sink,2,cabinet,948,0.029240307208290923
17,sink,8,window,613,0.01890749822645816
17,sink,5,sofa,325,0.010024366922673576
17,sink,6,table,325,0.010024366922673576
17,sink,0,wall,240,0.007402609419820487
17,sink,4,chair,16,0.0004935072946546991
17,sink,19,otherfurniture,7,0.00021590944141143087
17,sink,15,shower curtain,5,0.00015422102957959348
17,sink,18,bathtub,1,3.0844205915918693e-05
2,cabinet,2,cabinet,388518,0.84947219282672
2,cabinet,0,wall,26933,0.05888745069572594
2,cabinet,11,counter,9122,0.01994472673844028
2,cabinet,19,otherfurniture,7458,0.016306486737040958
2,cabinet,14,refridgerator,5650,0.012353399043212846
2,cabinet,7,door,5028,0.010993431927305166
2,cabinet,6,table,2878,0.006292580963958685
2,cabinet,8,window,2649,0.005791885675304571
2,cabinet,1,floor,2548,0.005571055002142713
2,cabinet,9,bookshelf,2536,0.005544817694440315
2,cabinet,17,sink,1622,0.0035464094244409268
2,cabinet,12,desk,1220,0.0026674596164105615
2,cabinet,5,sofa,762,0.0016660690391023343
2,cabinet,3,bed,305,0.0006668649041026404
2,cabinet,13,curtain,78,0.00017054250006559327
2,cabinet,4,chair,54,0.00011806788466079534
2,cabinet,10,picture,2,4.372884617066494e-06
2,cabinet,15,shower curtain,1,2.186442308533247e-06
15,shower curtain,15,shower curtain,31498,0.9690201507460391
15,shower curtain,0,wall,885,0.02722658052607291
15,shower curtain,17,sink,45,0.0013844023996308261
15,shower curtain,18,bathtub,36,0.0011075219197046607
15,shower curtain,7,door,34,0.001045992924165513
15,shower curtain,1,floor,6,0.00018458698661744346
15,shower curtain,2,cabinet,1,3.076449776957391e-05
7,door,7,door,480538,0.8514274678370137
7,door,0,wall,56416,0.0999590709277788
7,door,8,window,9340,0.01654881101931108
7,door,19,otherfurniture,9256,0.016399978029415778
7,door,13,curtain,4620,0.008185814444241669
7,door,1,floor,2697,0.004778602068424195
7,door,2,cabinet,665,0.0011782611700044826
7,door,15,shower curtain,271,0.00048016357454318015
7,door,4,chair,228,0.0004039752582872512
7,door,14,refridgerator,122,0.00021616219960984495
7,door,5,sofa,104,0.00018426941606085144
7,door,3,bed,96,0.00017009484559463208
7,door,9,bookshelf,18,3.1892783548993516e-05
7,door,18,bathtub,10,1.7718213082774175e-05
7,door,12,desk,6,1.0630927849664505e-05
7,door,16,toilet,4,7.0872852331096704e-06
