variant,mIoU,mAcc,allAcc,delta_mIoU,picture_iou,picture_delta_iou,counter_iou,counter_delta_iou,desk_iou,desk_delta_iou,sink_iou,sink_delta_iou,cabinet_iou,cabinet_delta_iou,shower_curtain_iou,shower_curtain_delta_iou,door_iou,door_delta_iou
base,0.795366001651239,0.8822406128308975,0.9151970257514183,0.0,0.9087656529515368,0.0,0.7943556544608457,0.0,0.6086036671368104,0.0,0.7009936766034011,0.0,0.4460183456449378,0.0,0.9393486704511222,0.0,0.8022972396563268,0.0
pair_probe_top2,0.7407504854214266,0.8786226612125209,0.8864473730152826,-0.05461551622981242,0.019132461284017372,-0.8896331916675194,0.7958624885914126,0.0015068341305669586,0.6086036671368104,0.0,0.7009936766034011,0.0,0.44648038797913914,0.0004620423342013291,0.9393486704511222,0.0,0.6900108852492207,-0.1122863544071061
bias_unweighted,0.7686331828155902,0.873193389933171,0.9081211924320008,-0.02673281883564882,0.5981198589893539,-0.31064579396218284,0.7992328656505421,0.004877211189696418,0.5611089958810683,-0.04749467125574203,0.7136871508379556,0.01269347423455458,0.46012187643722124,0.014103530792283436,0.9260381933919088,-0.0133104770592134,0.7817291435900414,-0.020568096066285402
bias_balanced,0.7278947200967035,0.8908411478908471,0.9103368497436699,-0.06747128155453552,0.04599259058462053,-0.8627730623669162,0.7878077373974132,-0.006547917063432496,0.5826671624217619,-0.025936504715048492,0.6741803278688249,-0.026813348734576192,0.4560461737164989,0.010027828071561107,0.9251968503936727,-0.014151820057449527,0.7846151597959977,-0.017682079860329103
oracle_top2,0.918452415213699,0.9543133333091459,0.970123162917229,0.12308641356245997,0.9999999999998036,0.09123434704826683,0.8997270054598814,0.10537135099903572,0.8761632068718644,0.2675595397350541,0.8984416980117733,0.19744802140837225,0.6324985851726074,0.18648023952766957,0.975475168608186,0.0361264981570637,0.9609598853868179,0.15866264573049105
oracle_top3,0.9435647965439612,0.9701123923037567,0.9799148653223444,0.14819879489272214,0.9999999999998036,0.09123434704826683,0.9382978723404155,0.14394221787956984,0.9238775319704989,0.3152738648336886,0.9374999999999482,0.2365063233965471,0.7219721120385449,0.27595376639360714,0.9947788697788392,0.05543019932771698,0.9857107782960945,0.18341353863976773
oracle_top5,0.9730627716861436,0.9867509794771967,0.9898735580010354,0.17769677003490458,0.9999999999998036,0.09123434704826683,0.9575446476312591,0.16318899317041347,0.9813374805598709,0.37273381342306056,0.9540100953448708,0.25301641874146974,0.8543566041089954,0.4083382584640576,0.9969278033793857,0.05757913292826344,0.9977684475006595,0.1954712078443327
oracle_top10,0.992661006809185,0.9965254643654129,0.9977145103921083,0.19729500515794596,0.9999999999998036,0.09123434704826683,0.9826682357975716,0.1883125813367259,0.9994622867478077,0.3908586196109973,0.966063348416235,0.2650696718128339,0.9555194554034167,0.5095011097584788,0.9978488014750769,0.05850013102395468,0.9986110422143939,0.19631380255806707
oracle_graph_top1,0.8144284767011583,0.8915812086643881,0.9243602374905309,0.019062475049919203,0.9999999999998036,0.09123434704826683,0.877939768011058,0.08358411355021234,0.6086036671368104,0.0,0.7009936766034011,0.0,0.45964524642484406,0.013626900779906248,0.9393486704511222,0.0,0.9701378874540224,0.16784064779769559
oracle_graph_top2,0.9220200956252385,0.9565445540795723,0.9715911592312982,0.1266540939739994,0.9999999999998036,0.09123434704826683,0.9283123533176774,0.1339566988568317,0.8761632068718644,0.2675595397350541,0.8994082840236203,0.1984146074202192,0.6400340594621428,0.19401571381720495,0.975475168608186,0.0361264981570637,0.9858658971976313,0.18356865754130447
oracle_graph_top3,0.9450316349650647,0.9709480708077661,0.980305774371851,0.14966563331382565,0.9999999999998036,0.09123434704826683,0.9502992731936624,0.1559436187328167,0.9238775319704989,0.3152738648336886,0.9374999999999482,0.2365063233965471,0.7277934867394678,0.28177514109452995,0.9947788697788392,0.05543019932771698,0.9898846059415648,0.18758736628523798
oracle_graph_top5,0.973686671401968,0.9870028212987633,0.9899912102392363,0.1783206697507289,0.9999999999998036,0.09123434704826683,0.960530538025447,0.1661748835646013,0.9813374805598709,0.37273381342306056,0.9540100953448708,0.25301641874146974,0.8552079892257239,0.40918964358078613,0.9969278033793857,0.05757913292826344,0.9996859296482395,0.19738868999191272
prior_alpha0p25,0.7873343161289207,0.8830247739654544,0.913845163582154,-0.008031685522318366,0.8867595818813786,-0.022006071070158173,0.7970561548543119,0.002700500393466254,0.6175082823009718,0.008904615164161411,0.6967799642217936,-0.004213712381607504,0.4217053947823953,-0.02431295086254248,0.9314988290397853,-0.007849841411336933,0.8029268292682914,0.0006295896119645761
prior_alpha0p5,0.7682953629309843,0.8802500725776292,0.9106078294148813,-0.027070638720254725,0.8700854700853213,-0.03868018286621544,0.7965846308387665,0.002228976377920855,0.6288937531570951,0.020290086020284703,0.6845814977973267,-0.016412178806074373,0.4165488991295434,-0.029469446515394404,0.9093723613847197,-0.029976309066402584,0.8036564522036369,0.0013592125473100847
prior_alpha0p75,0.7116155569053999,0.8564793962228936,0.8928362690729459,-0.08375044474583915,0.8316993464050928,-0.07706630654644397,0.7922222222222142,-0.002133432238631494,0.6182540484126162,0.009650381275805864,0.6908447589561835,-0.010148917647217592,0.4371788883699196,-0.008839457275018225,0.6981661272923259,-0.2411825431587964,0.8129277093442814,0.010630469687954558
prior_alpha1p0,0.5023218191456091,0.6744028052260522,0.7514448453897781,-0.2930441825056299,0.8003144654086791,-0.10845118754285765,0.6882149228670302,-0.10614073159381543,0.6011675216699077,-0.007436145466902633,0.6783216783216467,-0.02267199828175437,0.3433900299004942,-0.10262831574444359,0.19185633001422364,-0.7474923404368986,0.5951958729646936,-0.20710136669163326
