target_id,target_name,pred_id,pred_name,count,fraction_of_target
10,picture,10,picture,508,0.9980353634577603
10,picture,0,wall,1,0.0019646365422396855
11,counter,11,counter,7853,0.8401626190221462
11,counter,8,window,498,0.05327912699261795
11,counter,17,sink,488,0.052209265004814376
11,counter,2,cabinet,397,0.04247352091580186
11,counter,0,wall,109,0.011661495667058949
11,counter,14,refridgerator,2,0.00021397239756071467
12,desk,12,desk,18123,0.8863836447226842
12,desk,2,cabinet,1076,0.052626430597671914
12,desk,6,table,408,0.01995500342365255
12,desk,19,otherfurniture,279,0.013645700870585933
12,desk,8,window,260,0.01271642375036682
12,desk,1,floor,128,0.006260393230949819
12,desk,4,chair,101,0.004939841533796342
12,desk,0,wall,71,0.0034725618702924777
17,sink,17,sink,1552,0.9086651053864169
17,sink,2,cabinet,138,0.08079625292740047
17,sink,0,wall,11,0.006440281030444965
17,sink,15,shower curtain,6,0.00351288056206089
17,sink,11,counter,1,0.000585480093676815
2,cabinet,2,cabinet,21978,0.5699245390659441
2,cabinet,0,wall,6224,0.16139823146539428
2,cabinet,9,bookshelf,3016,0.07820968285662422
2,cabinet,8,window,1626,0.04216476933848508
2,cabinet,6,table,1589,0.04120530041749864
2,cabinet,14,refridgerator,1152,0.029873194512875036
2,cabinet,12,desk,1100,0.028524751705002203
2,cabinet,19,otherfurniture,654,0.016959261468246764
2,cabinet,11,counter,489,0.012680548712496435
2,cabinet,1,floor,425,0.011020926795114488
2,cabinet,5,sofa,309,0.00801286206985971
2,cabinet,17,sink,1,2.5931592459092913e-05
15,shower curtain,15,shower curtain,3144,0.9661954517516902
15,shower curtain,0,wall,63,0.01936078672403196
15,shower curtain,7,door,26,0.007990165949600492
15,shower curtain,17,sink,9,0.0027658266748617085
15,shower curtain,2,cabinet,8,0.002458512599877074
15,shower curtain,18,bathtub,4,0.001229256299938537
7,door,7,door,52666,0.87084346115052
7,door,0,wall,7208,0.11918580617424807
7,door,1,floor,359,0.005936141012285662
7,door,19,otherfurniture,119,0.0019676901962729634
7,door,8,window,113,0.0018684789258726457
7,door,9,bookshelf,9,0.00014881690560047622
7,door,16,toilet,3,4.960563520015874e-05
