class_id,class_name,kind,k,hit_count,hit_rate,ci_low,ci_high,target_count
10,picture,topk,1,24236,0.7452415362381231,0.7405058059249909,0.7499772665512552,32521
10,picture,topk,2,28588,0.8790627594477415,0.8755190011416362,0.8826065177538468,32521
10,picture,topk,3,31534,0.9696503797546201,0.9677858971224339,0.9715148623868063,32521
10,picture,topk,5,32366,0.9952338488976353,0.9944852992707394,0.9959823985245313,32521
10,picture,topk,10,32374,0.9954798437932413,0.9947507773946548,0.9962089101918278,32521
10,picture,topk,20,32521,1.0,1.0,1.0,32521
10,picture,topk_plus_confusion_graph,1,31802,0.9778912087574183,0.9762931163209398,0.9794893011938968,32521
10,picture,topk_plus_confusion_graph,2,32520,0.9999692506380493,0.9999089828152459,1.0,32521
10,picture,topk_plus_confusion_graph,3,32521,1.0,1.0,1.0,32521
10,picture,topk_plus_confusion_graph,5,32521,1.0,1.0,1.0,32521
11,counter,topk,1,85542,0.8951653411469234,0.8932230153717344,0.8971076669221123,95560
11,counter,topk,2,92695,0.9700188363331939,0.9689375708801733,0.9711001017862144,95560
11,counter,topk,3,94336,0.9871912934282127,0.986478323360591,0.9879042634958343,95560
11,counter,topk,5,95110,0.9952909167015488,0.9948568452661852,0.9957249881369123,95560
11,counter,topk,10,95429,0.9986291335286731,0.9983945390999666,0.9988637279573797,95560
11,counter,topk,20,95560,1.0,1.0,1.0,95560
11,counter,topk_plus_confusion_graph,1,87648,0.9172038509836752,0.9154565971408173,0.9189511048265331,95560
11,counter,topk_plus_confusion_graph,2,94055,0.9842507325240687,0.983461325377856,0.9850401396702814,95560
11,counter,topk_plus_confusion_graph,3,94827,0.9923294265383006,0.9917762549670108,0.9928825981095903,95560
11,counter,topk_plus_confusion_graph,5,95266,0.9969233989116785,0.9965722555276144,0.9972745422957425,95560
12,desk,topk,1,196341,0.8766240724369793,0.8752620659381299,0.8779860789358286,223974
12,desk,topk,2,211272,0.9432880602212756,0.9423301679084919,0.9442459525340594,223974
12,desk,topk,3,215079,0.9602855688606713,0.9594767865527492,0.9610943511685934,223974
12,desk,topk,5,218104,0.9737916008108084,0.9731299779117634,0.9744532237098534,223974
12,desk,topk,10,221091,0.987127970210828,0.9866611307968514,0.9875948096248046,223974
12,desk,topk,20,223974,1.0,1.0,1.0,223974
12,desk,topk_plus_confusion_graph,1,196341,0.8766240724369793,0.8752620659381299,0.8779860789358286,223974
12,desk,topk_plus_confusion_graph,2,211272,0.9432880602212756,0.9423301679084919,0.9442459525340594,223974
12,desk,topk_plus_confusion_graph,3,215079,0.9602855688606713,0.9594767865527492,0.9610943511685934,223974
12,desk,topk_plus_confusion_graph,5,218104,0.9737916008108084,0.9731299779117634,0.9744532237098534,223974
17,sink,topk,1,28045,0.8650257549119398,0.8613062696610652,0.8687452401628144,32421
17,sink,topk,2,30718,0.9474723173251904,0.9450439171580858,0.9499007174922951,32421
17,sink,topk,3,31385,0.9680454026711083,0.9661308936975999,0.9699599116446167,32421
17,sink,topk,5,31670,0.9768360013571451,0.9751985799562596,0.9784734227580306,32421
17,sink,topk,10,32408,0.9995990253230931,0.9993810967108421,0.9998169539353441,32421
17,sink,topk,20,32421,1.0,1.0,1.0,32421
17,sink,topk_plus_confusion_graph,1,28045,0.8650257549119398,0.8613062696610652,0.8687452401628144,32421
17,sink,topk_plus_confusion_graph,2,30718,0.9474723173251904,0.9450439171580858,0.9499007174922951,32421
