pair,target_id,target_name,pred_id,pred_name,count,fraction_of_target
counter_vs_cabinet,11,counter,0,wall,133,0.014210919970082274
counter_vs_cabinet,11,counter,2,cabinet,391,0.041777967731595256
counter_vs_cabinet,11,counter,8,window,478,0.05107383267443103
counter_vs_cabinet,11,counter,11,counter,7840,0.837696335078534
counter_vs_cabinet,11,counter,14,refridgerator,3,0.000320547066994337
counter_vs_cabinet,11,counter,17,sink,514,0.054920397478363074
counter_vs_cabinet,2,cabinet,0,wall,7353,0.19053665362390196
counter_vs_cabinet,2,cabinet,1,floor,315,0.008162524941048431
counter_vs_cabinet,2,cabinet,2,cabinet,21606,0.5598714726231505
counter_vs_cabinet,2,cabinet,5,sofa,312,0.00808478660827654
counter_vs_cabinet,2,cabinet,6,table,146,0.0037832655282319713
counter_vs_cabinet,2,cabinet,8,window,1896,0.04913062631183437
counter_vs_cabinet,2,cabinet,9,bookshelf,2828,0.07328133502630146
counter_vs_cabinet,2,cabinet,11,counter,516,0.01337099323676505
counter_vs_cabinet,2,cabinet,12,desk,1936,0.05016713741545956
counter_vs_cabinet,2,cabinet,14,refridgerator,1467,0.038014044725454124
counter_vs_cabinet,2,cabinet,17,sink,7,0.00018138944313440957
counter_vs_cabinet,2,cabinet,19,otherfurniture,209,0.005415770516441657
door_vs_wall,7,door,0,wall,6837,0.1702101175064728
door_vs_wall,7,door,1,floor,306,0.007618004381597291
door_vs_wall,7,door,7,door,32764,0.8156741684923322
door_vs_wall,7,door,8,window,122,0.003037243576976698
door_vs_wall,7,door,9,bookshelf,5,0.00012447719577773352
door_vs_wall,7,door,19,otherfurniture,134,0.0033359888468432585
door_vs_wall,0,wall,0,wall,52988,0.8831333333333333
door_vs_wall,0,wall,1,floor,159,0.00265
door_vs_wall,0,wall,2,cabinet,75,0.00125
door_vs_wall,0,wall,4,chair,60,0.001
door_vs_wall,0,wall,6,table,57,0.00095
door_vs_wall,0,wall,7,door,216,0.0036
door_vs_wall,0,wall,8,window,4420,0.07366666666666667
door_vs_wall,0,wall,11,counter,35,0.0005833333333333334
door_vs_wall,0,wall,14,refridgerator,28,0.00046666666666666666
door_vs_wall,0,wall,19,otherfurniture,1962,0.0327
