variant,mIoU,delta_mIoU,weak_mean_iou,delta_weak_mean_iou,picture_iou,delta_picture_iou,picture_to_wall,delta_picture_to_wall
phrd_s8_pred_agreement_thr0p8_a0p1,0.7789879877022104,0.00018125612744912534,0.6819285261665974,8.262474145415144e-05,0.40750207214345424,-8.85667000988799e-05,0.43936136365827555,0.0015425998592377699
phrd_s8_pred_agreement_thr0p7_a0p1,0.7789734009762384,0.00016666940147702647,0.6819093387757313,6.343735058811362e-05,0.4074839973109635,-0.00010664153258960196,0.4398193229914868,0.002000559192449014
phrd_s8_pred_agreement_thr0p9_a0p1,0.7789722660350878,0.00016553446032652186,0.6819687117029493,0.00012281027780602916,0.40762614176904877,3.5502925495645155e-05,0.43857560185497635,0.000756838055938569
phrd_s8_pred_agreement_thr0p9_a0p25,0.7789685411311281,0.00016180955636679872,0.6819255081253522,7.960670020901173e-05,0.40763884577317916,4.82069296260379e-05,0.4392649511670732,0.0014461873680354231
phrd_s8_pred_agreement_thr0p6_a0p1,0.7789608130553092,0.00015408148054785187,0.6818800702345102,3.416880936701894e-05,0.4074671052631577,-0.0001235335803954074,0.44002660984757186,0.002207846048534079
phrd_s8_pred_agreement_thr0p95_a0p25,0.77893512958921,0.00012839801444863852,0.6819248949928743,7.899356773111155e-05,0.40751244905547557,-7.818978807755395e-05,0.4383201087532901,0.000501344954252303
phrd_s8_pred_agreement_thr0p95_a0p1,0.7789065287860464,9.979721128505759e-05,0.681931343459606,8.544203446281262e-05,0.40749500721584847,-9.563162770465095e-05,0.43818513126560676,0.0003663674665689842
phrd_s4_pred_agreement_thr0p8_a0p1,0.7788931484289068,8.641685414545464e-05,0.6819092812885527,6.337986340942958e-05,0.40739863239389373,-0.00019200644965938762,0.43842616249361266,0.0006073986945748788
phrd_s4_pred_agreement_thr0p7_a0p1,0.7788921617543759,8.543017961459842e-05,0.6818563049359803,1.0403510837031504e-05,0.40721230437207656,-0.0003783344714765602,0.4387732474619412,0.0009544836629034048
phrd_s4_pred_agreement_thr0p6_a0p1,0.7788810706229304,7.433904816911419e-05,0.6818629848492141,1.708342407091834e-05,0.40732636799591543,-0.00026427084763769315,0.43881663308298224,0.0009978692839444636
phrd_s8_pred_agreement_thr0p95_a0p5,0.7788659006957454,5.916912098402616e-05,0.6818673156484376,2.1414223294380363e-05,0.40751717978162977,-7.345906192335327e-05,0.43833939125153054,0.0005206274524927612
phrd_s8_region_entropy_score_thr0p6_a0p1,0.7788573259822049,5.059440744359378e-05,0.681726938400103,-0.0001189630250402196,0.40748540320782084,-0.00010523563573228145,0.4401182017142141,0.002299437915176339
phrd_s4_pred_agreement_thr0p9_a0p1,0.7788454452941066,3.871371934527357e-05,0.6818746872060364,2.8785780893159085e-05,0.40747016489022486,-0.0001204739533282595,0.43815138689368593,0.00033262309464815454
phrd_s4_region_entropy_score_thr0p6_a0p1,0.7788407844534551,3.405287869373552e-05,0.6817948416107555,-5.105981438768836e-05,0.40724478594950586,-0.0003458528940472605,0.4388503774549031,0.0010316136558652933
phrd_s8_mean_conf_thr0p6_a0p1,0.7788383208683106,3.158929354929452e-05,0.6816750092854746,-0.00017089213966858807,0.4074912255045333,-9.941333901980487e-05,0.4400989192159736,0.002280155416935825
phrd_s4_pred_agreement_thr0p9_a0p25,0.7788278031804371,2.1071605675770932e-05,0.6818310061636199,-1.4895261523317771e-05,0.4073849989247976,-0.0002056399187554958,0.43841652124449243,0.0005977574454546497
phrd_s8_pred_agreement_thr0p95_a0p75,0.7788276537666532,2.0922191891870057e-05,0.6818356448588665,-1.0256566276733992e-05,0.40752447093563715,-6.616790791597049e-05,0.4383297500024103,0.0005109862033725321
phrd_s8_pred_agreement_thr0p95_a1p0,0.7788260655237899,1.9333949028532693e-05,0.6818343571109073,-1.154431423588953e-05,0.40752447093563715,-6.616790791597049e-05,0.4383297500024103,0.0005109862033725321
phrd_s4_pred_agreement_thr0p8_a0p25,0.778817075824776,1.0344250014671097e-05,0.6817874464048691,-5.845502027412852e-05,0.4068181652433286,-0.0007724736002245325,0.4394818792722785,0.0016631154732407172
phrd_s4_pred_agreement_thr0p95_a0p1,0.7788168249445415,1.009336978019526e-05,0.6818517417599658,5.840334822537763e-06,0.40754800843768085,-4.2630405872268184e-05,0.43790553504111995,8.677124208217313e-05
phrd_s8_region_conf_thr0p6_a0p1,0.7788158883945528,9.156819791522608e-06,0.6816447746763628,-0.00020112674878047798,0.40742148941615164,-0.00016914942740148264,0.44015676671069504,0.0023380029116572554
phrd_s8_pred_agreement_thr0p8_a0p25,0.7788145060365232,7.774461761922424e-06,0.6816230237953445,-0.0002228776297987789,0.40686888210444605,-0.0007217567391070712,0.441829523433056,0.004010759634018202
phrd_s4_mean_conf_thr0p6_a0p1,0.7788144843984395,7.75282367815322e-06,0.6817485892363601,-9.731218878317183e-05,0.407158901951632,-0.0004317368919211084,0.43890340432506436,0.0010846405260265812
phrd_s4_pred_agreement_thr0p95_a0p25,0.7788141624793726,7.430904611305245e-06,0.6818435331237312,-2.3683014119812995e-06,0.40754180784785204,-4.883099570107685e-05,0.43794410003760087,0.00012533623856308962
phrd_s4_region_conf_thr0p6_a0p1,0.7788134207653195,6.689190558128999e-06,0.6817475858201568,-9.831560498640979e-05,0.40720469081600635,-0.0003859480275467675,0.438888942451384,0.0010701786523462098
phrd_s8_mean_top_gap_thr0p95_a0p1,0.7788102997097937,3.5681350323280014e-06,0.6818509743910769,5.072965933661244e-06,0.4075915887033311,9.498597779988849e-07,0.43782840504815806,9.641249120284634e-06
