variant,mIoU,delta_mIoU,weak_mean_iou,delta_weak_mean_iou,picture_iou,delta_picture_iou,picture_to_wall,delta_picture_to_wall
phrd_s8_mean_conf_low_thr0p7_a0p5,0.7795766019087168,0.0007698703339554802,0.6831083727901381,0.0012624713649949104,0.4083816317432009,0.0007909928996477911,0.4391637180513107,0.001344954252272934
phrd_s8_mean_conf_low_thr0p7_a0p75,0.7794953260445884,0.000688594469827053,0.6830865045158817,0.001240603090738479,0.40805997440117003,0.00046933555761691226,0.4397807579950058,0.001961994195968042
phrd_s8_mean_top_gap_low_thr0p6_a0p25,0.7793787525900483,0.000572021015286972,0.6827563974315253,0.0009104960063820444,0.4088461060010682,0.0012554671575150667,0.4393517224091553,0.0015329586101175408
phrd_s8_region_entropy_score_low_thr0p8_a0p25,0.779375455600224,0.000568724025462708,0.6827939599695906,0.0009480585444473499,0.4086385903341374,0.0010479514905842868,0.4388985837005042,0.001079819901466439
phrd_s8_region_conf_low_thr0p8_a0p25,0.7793611888704414,0.0005544572956800442,0.6827378715130653,0.0008919700879220782,0.4083673931958264,0.0007767543522732567,0.43929869553899403,0.0014799317399562528
phrd_s4_mean_conf_low_thr0p7_a0p5,0.779351501517892,0.0005447699431306852,0.682654183191332,0.0008082817661887454,0.40833853670292575,0.000747897859372626,0.4387346824654602,0.0009159186664224328
phrd_s8_mean_conf_low_thr0p7_a0p25,0.7793444245512434,0.0005376929764820959,0.6827610941747667,0.0009151927496234835,0.40812715046210973,0.0005365116185566121,0.4384936512374543,0.0006748874384165382
phrd_s8_mean_top_gap_low_thr0p6_a0p5,0.7793251016149922,0.0005183700402309199,0.6825842303784277,0.0007383289532845172,0.4094590871521717,0.0018684483086185977,0.44107750600167756,0.003258742202639775
phrd_s8_mean_conf_low_thr0p8_a0p25,0.7793153948771102,0.0005086633023488885,0.6826343614706717,0.0007884600455284607,0.4088811467760645,0.0012905079325113977,0.4394240317775571,0.0016052679785193424
phrd_s8_region_conf_low_thr0p7_a0p25,0.7792730220248334,0.00046629045007207104,0.682536513472767,0.0006906120476237732,0.4080315747620766,0.00044093591852345515,0.438358673749771,0.0005399099507332195
phrd_s4_mean_conf_low_thr0p7_a0p75,0.7792548500011485,0.00044811842638714516,0.6824913794107139,0.000645477985570686,0.4083965142408241,0.0008058753972710053,0.43902874056362745,0.0012099767645896709
phrd_s8_mean_conf_low_thr0p6_a0p75,0.7792526856610946,0.0004459540863333,0.6826606215336403,0.0008147201084970357,0.40762908831265326,3.8449469100143574e-05,0.438276723132249,0.00045795933321124416
phrd_s4_mean_conf_low_thr0p6_a0p75,0.779242921850263,0.00043619027550168,0.682443953152343,0.0005980517271997332,0.4083770588042252,0.0007864199606720801,0.43785732879551875,3.8564996480972e-05
phrd_s8_mean_conf_low_thr0p6_a1p0,0.7792366216378125,0.00042989006305116373,0.6826713365829383,0.0008254351577950958,0.4069511946683739,-0.000639444175179249,0.4381706693919264,0.0003519055928886128
phrd_s8_region_conf_low_thr0p7_a0p5,0.7792186775031026,0.00041194592834126187,0.682400800912272,0.0005548994871287238,0.4083444182953032,0.0007537794517500918,0.4390239199390673,0.0012051561400295285
phrd_s8_mean_top_gap_low_thr0p7_a0p25,0.7792163587400954,0.00040962716533410326,0.6823488635716698,0.0005029621465265643,0.4085378368076933,0.0009471979641401673,0.4406918560368681,0.0028730922378303325
phrd_s8_region_conf_low_thr0p9_a0p25,0.7791919061689495,0.0003851745941881868,0.682459961663991,0.0006140602388478023,0.4080282376030257,0.0004375987594725794,0.4406532910403872,0.002834527241349416
phrd_s4_mean_conf_low_thr0p7_a0p25,0.7791826016956366,0.0003758701208752546,0.6824273972575101,0.0005814958323668851,0.40808517778199255,0.0004945389384394261,0.4382188756375276,0.0004001118384898139
phrd_s8_region_entropy_score_low_thr0p7_a0p25,0.7791791663019765,0.000372434727215154,0.6825053419252881,0.0006594405001448811,0.40799451671236053,0.00040387786880741183,0.43816102814280616,0.00034226434376838366
phrd_s8_mean_conf_low_thr0p6_a0p5,0.7791681579461777,0.00036142637141634015,0.6824307344232675,0.000584832998124285,0.407628736754653,3.8097911099876924e-05,0.43842616249361266,0.0006073986945748788
phrd_s4_mean_conf_low_thr0p6_a0p5,0.7791678400211299,0.0003611084463686076,0.6823312366617541,0.0004853352366108732,0.40818409846584597,0.0005934596222928468,0.4378910731674396,7.230936840180169e-05
phrd_s4_region_conf_low_thr0p6_a0p5,0.7791547467542317,0.0003480151794703623,0.6823300924103533,0.00048419098521002013,0.40803501413330884,0.0004443752897557163,0.43822369626208774,0.0004049324630499562
phrd_s4_region_entropy_score_low_thr0p7_a0p5,0.779153158132051,0.00034642655728966965,0.6823577184803332,0.0005118170551899892,0.4081965240787932,0.0006058852352400779,0.4381176425217651,0.00029887872272732485
phrd_s4_region_conf_low_thr0p7_a0p5,0.7791368725838063,0.0003301410090449375,0.6823408792340366,0.0004949778088934043,0.40821134291725086,0.000620704073697742,0.4389130455741846,0.0010942817751468104
